,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
0,30/06/2024,"R$ 839,38 M","R$ 196,11 M","R$ 48,31 M","- R$ 200,06 M","R$ 248,37 M","R$ 4,04 M","R$ 0,06"
1,31/03/2024,"R$ 866,00 M","R$ 192,28 M","R$ 43,89 M","- R$ 198,44 M","R$ 242,33 M","- R$ 747,00 mil","- R$ 0,01"
2,31/12/2023,"R$ 900,72 M","R$ 188,26 M","R$ 36,39 M","- R$ 195,22 M","R$ 231,61 M","- R$ 11,88 M","- R$ 0,18"
3,30/09/2023,"R$ 959,30 M","R$ 208,29 M","R$ 58,38 M","- R$ 189,97 M","R$ 248,35 M","- R$ 527,00 mil","- R$ 0,01"
4,30/06/2023,"R$ 1,01 B","R$ 219,87 M","R$ 67,46 M","- R$ 183,17 M","R$ 250,63 M","R$ 13,83 M","R$ 0,21"
5,31/03/2023,"R$ 1,07 B","R$ 237,77 M","R$ 73,39 M","- R$ 176,07 M","R$ 249,46 M","R$ 18,87 M","R$ 0,29"
6,31/12/2022,"R$ 1,07 B","R$ 247,66 M","R$ 88,79 M","- R$ 168,51 M","R$ 257,30 M","R$ 23,17 M","R$ 0,36"
7,30/09/2022,"R$ 1,07 B","R$ 265,08 M","R$ 108,64 M","- R$ 161,59 M","R$ 270,22 M","R$ 45,85 M","R$ 0,71"
8,30/06/2022,"R$ 1,09 B","R$ 285,16 M","R$ 122,35 M","- R$ 154,93 M","R$ 277,28 M","R$ 42,75 M","R$ 0,66"
9,31/03/2022,"R$ 1,08 B","R$ 289,29 M","R$ 134,20 M","- R$ 146,41 M","R$ 280,61 M","R$ 60,91 M","R$ 0,94"
10,31/12/2021,"R$ 1,07 B","R$ 294,86 M","R$ 134,50 M","- R$ 137,38 M","R$ 271,88 M","R$ 72,45 M","R$ 0,00"
11,30/09/2021,"R$ 1,00 B","R$ 292,30 M","R$ 140,10 M","- R$ 126,88 M","R$ 266,98 M","R$ 76,45 M","R$ 1,19"
12,30/06/2021,"R$ 911,91 M","R$ 276,48 M","R$ 137,00 M","- R$ 117,31 M","R$ 254,31 M","R$ 88,19 M","R$ 1,97"
13,31/03/2021,"R$ 795,42 M","R$ 252,04 M","R$ 122,49 M","- R$ 106,53 M","R$ 229,02 M","R$ 72,61 M","R$ 1,62"
14,31/12/2020,"R$ 718,05 M","R$ 239,00 M","R$ 123,30 M","- R$ 96,42 M","R$ 219,71 M","R$ 70,59 M","R$ 0,79"
