,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 208,34 M","- R$ 157,90 M","- R$ 50,63 M","R$ 3,06 M"
1,31/03/2024,"R$ 232,70 M","- R$ 146,99 M","- R$ 125,84 M","- R$ 38,51 M"
2,31/12/2023,"R$ 203,86 M","- R$ 40,71 M","- R$ 214,34 M","- R$ 50,51 M"
3,30/09/2023,"R$ 93,42 M","R$ 96,39 M","- R$ 271,16 M","- R$ 81,18 M"
4,30/06/2023,"R$ 88,85 M","R$ 73,39 M","- R$ 318,19 M","- R$ 156,80 M"
5,31/03/2023,"R$ 129,43 M","- R$ 144,81 M","R$ 132,68 M","R$ 117,32 M"
6,31/12/2022,"- R$ 10,52 M","- R$ 46,54 M","R$ 171,81 M","R$ 114,01 M"
7,30/09/2022,"R$ 14,77 M","- R$ 215,91 M","R$ 205,86 M","R$ 5,23 M"
8,30/06/2022,"- R$ 28,43 M","- R$ 459,63 M","R$ 693,79 M","R$ 206,47 M"
9,31/03/2022,"- R$ 116,15 M","- R$ 270,34 M","R$ 372,16 M","- R$ 14,44 M"
10,31/12/2021,"- R$ 29,55 M","- R$ 465,42 M","R$ 494,90 M","R$ 680,00 mil"
11,30/09/2021,"- R$ 153,62 M",NA,"R$ 592,35 M","R$ 91,23 M"
12,30/06/2021,"R$ 4,22 M","- R$ 253,38 M","R$ 216,48 M","- R$ 32,92 M"
13,31/03/2021,"R$ 111,62 M","- R$ 248,31 M","R$ 154,53 M","R$ 17,84 M"
14,31/12/2020,"R$ 124,11 M","- R$ 270,38 M","R$ 155,82 M","R$ 9,56 M"
