,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"6,00%","11,65%","9,09%","17,65%","18,38%","7,39%","34,44%","16,17%","16,33%","17,01%","0,46","2,56","1,56","0,64"
1,30/06/2024,"5,48%","10,86%","8,30%","16,46%","15,68%","6,41%","35,44%","15,34%","16,08%","16,84%","0,42","2,48","1,48","0,53"
2,31/03/2024,"5,13%","10,39%","7,78%","15,75%","13,82%","5,73%","34,60%","13,88%","15,04%","15,75%","0,41","2,54","1,54","0,73"
3,31/12/2023,"5,02%","10,15%","7,60%","15,38%","13,19%","5,53%","34,73%","13,54%","14,93%","15,59%","0,41","2,56","1,56","0,46"
4,30/09/2023,"4,45%","9,00%","6,74%","13,64%","11,33%","4,73%","33,17%","12,34%","13,91%","14,52%","0,38","2,49","1,49","0,43"
5,30/06/2023,"3,91%","7,88%","5,92%","11,94%","11,28%","4,80%","31,88%","12,95%","12,83%","13,43%","0,37","2,45","1,45","-0,01"
6,31/03/2023,"3,29%","6,41%","4,98%","9,71%","10,32%","4,34%","31,86%","12,87%","11,46%","12,09%","0,34","2,41","1,41","-0,56"
7,31/12/2022,"2,90%","5,32%","4,39%","8,07%","9,86%","3,93%","33,33%","13,25%","10,95%","11,57%","0,30","2,39","1,39","-0,70"
8,30/09/2022,"3,07%","5,27%","4,64%","7,99%","10,35%","4,47%","36,24%","14,97%","11,76%","12,43%","0,30","2,39","1,39","-0,81"
9,30/06/2022,"2,95%","4,99%","4,46%","7,56%","9,06%","4,07%","38,03%","13,84%","11,88%","12,54%","0,29","2,35","1,35","-0,85"
10,31/03/2022,"2,62%","4,08%","3,97%","6,18%","8,73%","4,09%","38,65%","14,15%","11,03%","11,71%","0,29","2,38","1,38","-0,80"
11,31/12/2021,"2,46%","3,80%","3,73%","5,76%","8,26%","3,99%","36,43%","13,39%","10,04%","10,72%","0,30","2,51","1,51","0,17"
12,30/09/2021,"2,20%","3,38%","3,33%","5,13%","7,59%","3,61%","32,93%","11,40%","8,66%","9,47%","0,32","2,32","1,32","0,30"
13,30/06/2021,"2,42%","3,52%","3,67%","5,33%","6,43%","3,00%","30,82%","9,01%","9,15%","9,82%","0,33","2,22","1,22","0,42"
14,31/03/2021,"-1,81%","-2,59%","-2,74%","-3,93%","-4,72%","-2,29%","29,27%","-8,36%","-8,39%","-7,61%","0,27","2,13","1,13","-2,24"
15,31/12/2020,"-2,58%","-3,95%","-3,91%","-5,98%","-122,93%","-4,46%","27,07%","-19,50%","-14,09%","-13,22%","0,23","2,07","1,07","-1,12"
16,30/09/2020,"-2,77%","-3,57%","-4,19%","-5,41%","-120,63%","-7,44%","25,64%","-33,09%","-16,10%","-15,47%","0,23","2,10","1,10","-1,92"
17,30/06/2020,"-3,24%","-4,09%","-4,91%","-6,20%","-127,26%","-8,83%","31,37%","-64,63%","-29,49%","-28,25%","0,14","2,14","1,14","-2,95"
18,31/03/2020,"1,10%","1,26%","1,66%","1,91%","-72,55%","-7,37%","31,71%","-44,77%","8,38%","9,26%","0,16","2,06","1,06","7,74"
19,31/12/2019,"3,82%","4,38%","5,78%","6,64%","-56,61%","-5,25%","39,71%","-23,62%","22,13%","22,84%","0,22","27,54","26,54","12,11"
20,30/09/2019,"1,66%","1,94%","2,51%","2,95%","-57,98%","-7,38%","43,30%","-40,71%","12,00%","14,07%","0,18","16,20","15,20","22,70"
21,30/06/2019,"-2,32%","-2,71%","-3,52%","-4,10%","-66,15%","-11,38%","14,50%","-76,99%","-20,65%","-17,85%","0,15","14,42","13,42","-19,99"
22,31/03/2019,"-0,58%","-0,67%","-0,88%","-1,02%","-51,50%","-8,05%","24,57%","-45,21%","-4,20%","-1,85%","0,18","9,84","8,84","-162,21"
23,31/12/2018,"-1,78%","-2,22%","-2,70%","-3,36%","-56,16%","-9,23%","19,63%","-56,20%","-15,17%","-12,57%","0,16","10,79","9,79","-26,26"
24,30/09/2018,"1,10%","1,36%","1,67%","2,06%","-27,88%","-4,32%","30,02%","-20,37%","7,19%","11,18%","0,21","7,85","6,85","23,29"
25,30/06/2018,"3,53%","4,38%","5,35%","6,63%","-7,63%","-1,20%","36,87%","-4,71%","18,31%","21,32%","0,25","5,81","4,81","9,87"
26,31/03/2018,"3,57%","4,43%","5,41%","6,71%","-3,89%","-0,67%","36,78%","-2,61%","19,09%","22,24%","0,26","6,40","5,40","9,55"
27,31/12/2017,"2,79%","3,52%","4,22%","5,33%","-0,34%","-0,05%","28,37%","-0,20%","14,47%","17,59%","0,27","6,08","5,08","11,81"
28,30/09/2017,"-2,55%","-3,38%","-3,87%","-5,12%","-35,73%","-6,80%","18,75%","-30,84%","-15,91%","-14,61%","0,22","6,45","5,45","-15,48"
29,30/06/2017,"-1,13%","-1,48%","-1,72%","-2,25%","-22,76%","-4,26%","15,40%","-19,46%","-7,08%","-5,02%","0,22","6,36","5,36","-44,15"
30,31/03/2017,"-1,66%","-2,18%","-2,52%","-3,31%","-26,01%","-4,90%","4,48%","-21,37%","-9,92%","-7,86%","0,23","5,78","4,78","-28,75"
31,31/12/2016,"-0,35%","-0,44%","-0,53%","-0,67%","-18,15%","-4,38%","13,24%","-18,62%","-2,02%","0,60%","0,24","6,32","5,32","357,13"
32,30/09/2016,"4,86%","6,31%","7,36%","9,56%","4,63%","1,10%","17,58%","4,18%","24,04%","26,07%","0,26","5,26","4,26","6,99"
33,30/06/2016,"4,17%","5,54%","6,31%","8,40%","2,73%","0,66%","21,74%","2,22%","18,93%","20,37%","0,30","5,35","4,35","8,45"
34,31/03/2016,"4,36%","5,84%","6,61%","8,85%","2,57%","0,64%","27,24%","2,00%","18,26%","19,74%","0,32","5,31","4,31","8,09"
35,31/12/2015,"4,57%","6,09%","6,93%","9,23%","6,09%","1,48%","27,66%","4,60%","19,10%","20,21%","0,32","4,15","3,15","7,65"
36,30/09/2015,"3,56%","4,73%","5,39%","7,17%","5,67%","1,46%","25,09%","4,18%","13,65%","15,27%","0,35","4,20","3,20","9,04"
37,30/06/2015,"5,18%","6,95%","7,85%","10,53%","11,22%","2,74%","29,28%","7,54%","18,53%","20,06%","0,36","4,13","3,13","6,36"
38,31/03/2015,"5,66%","7,84%","8,58%","11,88%","13,47%","3,23%","30,72%","8,90%","19,89%","21,41%","0,36","4,00","3,00","5,47"
39,31/12/2014,"5,28%","7,12%","8,00%","10,78%","12,54%","3,12%","28,89%","8,12%","17,65%","19,12%","0,38","4,10","3,10","6,26"
40,30/09/2014,"7,61%","10,26%","11,53%","15,54%","21,85%","5,18%","29,28%","11,55%","21,44%","22,39%","0,45","3,88","2,88","4,31"
41,30/06/2014,"6,04%","8,43%","9,15%","12,77%","18,54%","4,12%","28,47%","10,25%","19,43%","20,39%","0,40","4,09","3,09","4,94"
42,31/03/2014,"5,74%","7,56%","8,69%","11,45%","19,29%","4,56%","27,15%","10,61%","17,50%","18,39%","0,43","4,17","3,17","5,29"
43,31/12/2013,"5,95%","7,91%","9,02%","11,98%","21,69%","4,66%","28,22%","12,34%","18,89%","19,68%","0,38","4,02","3,02","5,19"
44,30/09/2013,"4,20%","5,30%","6,36%","8,03%","19,13%","3,87%","22,94%","10,34%","12,95%","13,70%","0,37","4,22","3,22","7,65"
45,30/06/2013,"4,23%","5,65%","6,40%","8,56%","22,30%","3,99%","20,92%","10,74%","12,30%","12,99%","0,37","4,50","3,50","8,03"
46,31/03/2013,"4,72%","6,49%","7,15%","9,83%","24,72%","4,41%","20,71%","10,89%","13,04%","13,59%","0,41","4,23","3,23","7,28"
47,31/12/2012,"6,35%","8,41%","9,62%","12,74%","31,88%","5,57%","23,51%","12,52%","16,06%","16,56%","0,44","4,66","3,66","5,61"
48,30/09/2012,"7,78%","10,66%","11,79%","16,15%","39,90%","6,69%","27,11%","13,64%","18,28%","18,52%","0,49","4,94","3,94","4,86"
49,30/06/2012,"7,59%","11,12%","11,50%","16,84%","35,79%","5,90%","29,50%","13,91%","19,83%","20,10%","0,42","5,59","4,59","4,83"
50,31/03/2012,"5,98%","8,64%","9,05%","13,08%","34,29%","5,46%","30,94%","14,73%","20,02%","20,34%","0,37","5,60","4,60","5,26"
51,31/12/2011,"5,91%","8,02%","8,96%","12,15%","34,78%","5,96%","29,00%","14,20%","18,46%","18,82%","0,42","5,72","4,72","5,94"
52,30/09/2011,"15,03%","25,81%","22,78%","39,11%","94,10%","15,25%","30,84%","22,47%","24,56%","24,96%","0,68","5,96","4,96","3,74"
53,30/06/2011,"16,19%","28,74%","24,53%","43,55%","95,42%","15,21%","36,14%","25,54%","28,94%","29,54%","0,60","6,07","5,07","3,31"
54,31/03/2011,"19,90%","35,62%","30,15%","53,97%","111,37%","16,94%","37,27%","26,79%","31,43%","31,88%","0,63","6,28","5,28","3,75"
55,31/12/2010,NA,NA,NA,NA,NA,NA,"39,70%","27,34%","33,53%","33,95%",NA,"5,83","4,83","3,75"
56,30/09/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6,17","5,17",NA
57,30/06/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6,27","5,27",NA
58,31/03/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6,57","5,57",NA
