,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
0,30/06/2024,"R$ 10,49 B","R$ 3,15 B","R$ 1,94 B","- R$ 515,13 M","R$ 2,45 B","R$ 508,47 M","R$ 0,44"
1,31/03/2024,"R$ 9,90 B","R$ 3,13 B","R$ 1,99 B","- R$ 512,84 M","R$ 2,50 B","R$ 279,45 M","R$ 0,24"
2,31/12/2023,"R$ 11,25 B","R$ 3,28 B","R$ 1,77 B","- R$ 512,37 M","R$ 2,28 B","R$ 674,19 M","R$ 0,59"
3,30/09/2023,"R$ 10,36 B","R$ 3,31 B","R$ 2,20 B","- R$ 487,66 M","R$ 2,69 B","R$ 720,02 M","R$ 0,63"
4,30/06/2023,"R$ 9,20 B","R$ 2,76 B","R$ 1,80 B","- R$ 432,25 M","R$ 2,23 B","R$ 517,70 M","R$ 0,46"
5,31/03/2023,"R$ 10,18 B","R$ 2,80 B","R$ 1,87 B","- R$ 441,09 M","R$ 2,31 B","R$ 163,69 M","R$ 0,14"
6,31/12/2022,"R$ 7,92 B","R$ 2,46 B","R$ 1,60 B","- R$ 343,39 M","R$ 1,94 B","R$ 459,90 M","R$ 0,41"
7,30/09/2022,"R$ 6,88 B","R$ 2,00 B","R$ 1,23 B","- R$ 299,12 M","R$ 1,53 B","R$ 504,26 M","R$ 0,45"
8,30/06/2022,"R$ 6,49 B","R$ 2,11 B","R$ 1,18 B","- R$ 311,54 M","R$ 1,49 B","- R$ 170,30 M","- R$ 0,15"
9,31/03/2022,"R$ 5,84 B","R$ 2,00 B","R$ 1,27 B","- R$ 255,66 M","R$ 1,53 B","R$ 580,08 M","R$ 0,51"
10,31/12/2021,"R$ 8,06 B","R$ 2,41 B","R$ 1,93 B","- R$ 264,61 M","R$ 2,19 B","R$ 1,42 B","R$ 1,41"
11,30/09/2021,"R$ 7,49 B","R$ 1,73 B","R$ 1,15 B","- R$ 165,30 M","R$ 1,31 B","R$ 1,41 B","R$ 1,40"
12,30/06/2021,"R$ 4,55 B","R$ 1,52 B","R$ 1,09 B","- R$ 189,62 M","R$ 1,28 B","R$ 509,73 M","R$ 0,50"
13,31/03/2021,"R$ 4,14 B","R$ 1,23 B","R$ 825,51 M","- R$ 163,99 M","R$ 989,50 M","R$ 353,23 M","R$ 0,35"
14,31/12/2020,"R$ 5,99 B","R$ 2,15 B","R$ 2,03 B","- R$ 228,30 M","R$ 2,26 B","R$ 1,40 B","R$ 1,39"
15,30/09/2020,"R$ 4,21 B","R$ 1,37 B","R$ 1,09 B","- R$ 106,90 M","R$ 1,20 B","R$ 727,96 M","R$ 0,72"
16,30/06/2020,"R$ 3,48 B","R$ 1,14 B","R$ 691,48 M","- R$ 217,93 M","R$ 909,40 M","R$ 405,73 M","R$ 0,40"
17,31/03/2020,"R$ 4,21 B","R$ 1,32 B","R$ 968,64 M","- R$ 160,03 M","R$ 1,13 B","R$ 439,96 M","R$ 0,44"
18,31/12/2019,"R$ 6,19 B","R$ 2,42 B","R$ 2,15 B","- R$ 187,17 M","R$ 2,34 B","R$ 1,31 B","R$ 1,30"
19,30/09/2019,"R$ 4,88 B","R$ 1,26 B","R$ 939,37 M","- R$ 138,92 M","R$ 1,08 B","R$ 548,54 M","R$ 2,72"
20,30/06/2019,"R$ 4,38 B","R$ 1,24 B","R$ 759,86 M","- R$ 184,17 M","R$ 944,03 M","R$ 342,08 M","R$ 1,70"
21,31/03/2019,"R$ 3,36 B","R$ 814,59 M","R$ 460,47 M","- R$ 120,13 M","R$ 580,60 M","R$ 212,78 M","R$ 1,06"
22,31/12/2018,"R$ 3,78 B","R$ 1,15 B","R$ 1,11 B","- R$ 119,91 M","R$ 1,23 B","R$ 484,23 M","R$ 2,44"
23,30/09/2018,"R$ 2,73 B","R$ 695,13 M","R$ 463,55 M","- R$ 115,47 M","R$ 579,02 M","R$ 248,03 M","R$ 1,25"
24,30/06/2018,"R$ 2,34 B","R$ 581,31 M","R$ 302,16 M","- R$ 99,31 M","R$ 401,47 M","R$ 121,10 M","R$ 0,61"
25,31/03/2018,"R$ 2,41 B","R$ 485,20 M","R$ 203,63 M","- R$ 101,48 M","R$ 305,11 M","R$ 64,58 M","R$ 0,32"
26,31/12/2017,"R$ 2,72 B","R$ 769,97 M","R$ 519,66 M","- R$ 94,70 M","R$ 614,37 M","R$ 509,01 M","R$ 2,56"
27,30/09/2017,"R$ 2,42 B","R$ 813,98 M","R$ 477,88 M","- R$ 96,79 M","R$ 574,67 M","R$ 311,68 M","R$ 1,57"
28,30/06/2017,"R$ 2,18 B","R$ 604,79 M","R$ 290,71 M","- R$ 96,42 M","R$ 387,12 M","R$ 127,09 M","R$ 0,64"
