,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
0,30/06/2024,"R$ 1,16 B","R$ 163,08 M","- R$ 23,35 M","- R$ 35,40 M","R$ 12,05 M","- R$ 215,98 M","- R$ 3,16"
1,31/03/2024,"R$ 1,28 B","R$ 326,94 M","R$ 155,94 M","- R$ 34,69 M","R$ 190,63 M","R$ 32,99 M","R$ 0,48"
2,31/12/2023,"R$ 1,18 B","R$ 243,73 M","- R$ 8,95 M","- R$ 40,49 M","R$ 31,54 M","- R$ 230,96 M","- R$ 3,38"
3,30/09/2023,"R$ 1,20 B","R$ 253,59 M","R$ 73,04 M","- R$ 31,16 M","R$ 104,19 M","- R$ 102,14 M","- R$ 1,50"
4,30/06/2023,"R$ 1,12 B","R$ 237,30 M","R$ 17,81 M","- R$ 37,00 M","R$ 54,81 M","- R$ 159,45 M","- R$ 2,34"
5,31/03/2023,"R$ 1,30 B","R$ 294,58 M","R$ 223,59 M","- R$ 40,22 M","R$ 263,81 M","R$ 40,99 M","R$ 0,60"
6,31/12/2022,"R$ 1,28 B","R$ 164,65 M","R$ 105,93 M","- R$ 40,99 M","R$ 146,92 M","- R$ 172,84 M","- R$ 2,53"
7,30/09/2022,"R$ 1,22 B","R$ 139,48 M","R$ 57,91 M","- R$ 41,02 M","R$ 98,93 M","- R$ 8,73 M","- R$ 0,13"
8,30/06/2022,"R$ 901,08 M","R$ 71,62 M","- R$ 39,58 M","- R$ 41,00 M","R$ 1,42 M","- R$ 101,03 M","- R$ 1,48"
9,31/03/2022,"R$ 1,06 B","R$ 244,05 M","R$ 130,09 M","- R$ 41,33 M","R$ 171,42 M","R$ 16,43 M","R$ 0,24"
10,31/12/2021,"R$ 1,41 B","R$ 379,35 M","R$ 214,19 M","- R$ 41,80 M","R$ 255,99 M","R$ 348,86 M","R$ 5,11"
11,30/09/2021,"R$ 1,41 B","- R$ 71,21 M","- R$ 236,83 M","- R$ 41,93 M","- R$ 194,90 M","- R$ 410,39 M","- R$ 6,01"
12,30/06/2021,"R$ 983,55 M","R$ 57,74 M","- R$ 19,52 M","- R$ 64,49 M","R$ 44,97 M","- R$ 160,36 M","- R$ 16,56"
13,31/03/2021,"R$ 1,08 B","R$ 119,34 M","R$ 81,34 M","- R$ 6,55 M","R$ 87,89 M","- R$ 172,35 M","- R$ 17,80"
14,31/12/2020,"R$ 1,13 B","R$ 97,41 M","- R$ 96,86 M","- R$ 130,27 M","R$ 33,41 M","- R$ 184,43 M","- R$ 19,05"
15,30/09/2020,"R$ 764,01 M","- R$ 95,29 M","- R$ 265,71 M","R$ 57,58 M","- R$ 323,29 M","- R$ 422,39 M","- R$ 43,63"
16,30/06/2020,"R$ 672,76 M","- R$ 143,18 M","- R$ 295,23 M","- R$ 36,95 M","- R$ 258,28 M","- R$ 518,44 M","- R$ 53,55"
17,31/03/2020,"R$ 947,20 M","R$ 80,91 M","- R$ 26,29 M","- R$ 36,66 M","R$ 10,37 M","- R$ 497,64 M","- R$ 51,40"
18,31/12/2019,"R$ 1,04 B","R$ 122,96 M","R$ 16,03 M","- R$ 135,94 M","R$ 151,98 M","- R$ 82,84 M","- R$ 8,56"
19,30/09/2019,"R$ 687,15 M","- R$ 190,48 M","- R$ 305,72 M","R$ 60,93 M","- R$ 366,65 M","- R$ 535,14 M","- R$ 55,28"
