,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
0,30/06/2024,"R$ 36,06 B","R$ 4,86 B","R$ 1,53 B","- R$ 1,76 B","R$ 3,29 B","R$ 75,36 M","R$ 0,08"
1,31/03/2024,"R$ 31,59 B","R$ 3,84 B","R$ 876,67 M","- R$ 1,70 B","R$ 2,57 B","R$ 62,62 M","R$ 0,07"
2,31/12/2023,"R$ 35,47 B","R$ 4,36 B","R$ 873,75 M","- R$ 1,76 B","R$ 2,63 B","R$ 11,79 M","R$ 0,01"
3,30/09/2023,"R$ 34,70 B","R$ 3,73 B","R$ 695,65 M","- R$ 1,54 B","R$ 2,08 B","- R$ 111,66 M","- R$ 0,12"
4,30/06/2023,"R$ 32,51 B","R$ 3,06 B","- R$ 87,88 M","- R$ 1,73 B","R$ 1,64 B","- R$ 784,38 M","- R$ 1,19"
5,31/03/2023,"R$ 31,76 B","R$ 2,78 B","- R$ 266,10 M","- R$ 1,72 B","R$ 1,45 B","- R$ 633,52 M","- R$ 0,96"
6,31/12/2022,"R$ 37,39 B","R$ 4,11 B","- R$ 150,54 M","- R$ 1,78 B","R$ 1,63 B","- R$ 3,39 B","- R$ 5,14"
7,30/09/2022,"R$ 36,42 B","R$ 5,38 B","R$ 2,02 B","- R$ 1,71 B","R$ 3,74 B","R$ 430,66 M","R$ 0,65"
8,30/06/2022,"R$ 34,49 B","R$ 4,78 B","R$ 5,47 B","- R$ 1,68 B","R$ 7,15 B","R$ 4,24 B","R$ 6,14"
9,31/03/2022,"R$ 22,34 B","R$ 3,48 B","R$ 2,31 B","- R$ 399,17 M","R$ 2,71 B","R$ 108,76 M","R$ 0,16"
10,31/12/2021,"R$ 23,94 B","R$ 5,03 B","R$ 3,65 B","- R$ 430,31 M","R$ 4,08 B","R$ 649,75 M","R$ 0,94"
11,30/09/2021,"R$ 23,64 B","R$ 5,42 B","R$ 4,27 B","- R$ 386,39 M","R$ 4,66 B","R$ 1,68 B","R$ 2,42"
12,30/06/2021,"R$ 20,57 B","R$ 4,51 B","R$ 3,45 B","- R$ 376,62 M","R$ 3,83 B","R$ 1,74 B","R$ 2,44"
13,31/03/2021,"R$ 17,24 B","R$ 2,25 B","R$ 1,24 B","- R$ 369,96 M","R$ 1,61 B","R$ 279,37 M","R$ 0,39"
14,31/12/2020,"R$ 18,27 B","R$ 2,74 B","R$ 1,62 B","- R$ 370,74 M","R$ 2,00 B","R$ 1,17 B","R$ 1,65"
15,30/09/2020,"R$ 16,83 B","R$ 2,75 B","R$ 1,78 B","- R$ 360,98 M","R$ 2,15 B","R$ 673,67 M","R$ 0,95"
