,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 27/09/2024,"10,83","2,00","1,21","10,41","0,75","R$ 5,40 B","5,37%"
1,30/06/2024,"11,64","2,15","1,30","11,19","0,80","R$ 5,79 B","4,99%"
2,31/03/2024,"9,30","2,17","1,22","6,81","0,77","R$ 5,57 B","4,75%"
3,31/12/2023,"8,07","2,62","1,30","5,96","0,99","R$ 6,62 B","5,16%"
4,30/09/2023,"8,92","2,46","1,22","4,67","1,12","R$ 7,35 B","9,43%"
5,30/06/2023,NA,NA,NA,NA,NA,NA,NA
6,31/03/2023,"5,73","2,54","0,93","3,87","1,07","R$ 6,66 B","19,12%"
7,31/12/2022,"5,85","3,35","1,07","3,81","1,29","R$ 8,18 B","17,00%"
8,30/09/2022,"5,09","3,36","1,21","3,43","1,47","R$ 10,60 B","16,37%"
9,30/06/2022,"3,56","2,70","1,13","2,99","1,26","R$ 8,90 B","15,67%"
10,31/03/2022,"4,19","3,42","1,32","3,45","1,40","R$ 9,33 B","14,90%"
11,31/12/2021,"4,75","4,12","1,50","4,12","1,51","R$ 9,73 B","14,06%"
12,30/09/2021,"5,21","3,26","1,52","6,00","1,36","R$ 8,03 B","8,34%"
13,30/06/2021,"9,90","4,81","1,98","8,12","1,94","R$ 9,53 B","4,27%"
14,31/03/2021,"9,53","3,39","1,60","5,82","1,45","R$ 7,41 B","2,46%"
15,31/12/2020,"14,98","3,19","1,42","5,15","1,22","R$ 5,61 B","1,90%"
16,30/09/2020,"17,03","2,25","0,98","3,84","0,79","R$ 3,32 B","1,10%"
17,30/06/2020,"86,82","2,13","0,97","4,68","0,73","R$ 2,71 B","1,29%"
18,31/03/2020,"104,34","1,89","0,85","8,94","0,66","R$ 2,33 B","1,48%"
19,31/12/2019,"15,24","1,79","0,87","5,83","0,71","R$ 2,38 B","0,91%"
20,30/09/2019,"14,81","2,33","0,97","5,86","0,85","R$ 3,03 B","0,78%"
21,30/06/2019,"9,05","2,39","1,02","4,68","0,89","R$ 3,27 B","4,12%"
22,31/03/2019,"7,58","2,36","0,96","3,73","0,82","R$ 3,21 B","4,22%"
23,31/12/2018,"7,26","2,84","1,11","4,30","0,95","R$ 3,89 B","5,37%"
24,30/09/2018,"6,90","2,58","1,01","4,03","0,84","R$ 3,59 B","6,16%"
25,30/06/2018,"7,78","3,19","1,11","5,42","0,90","R$ 3,93 B","2,41%"
26,31/03/2018,"6,66","2,51","0,90","5,12","0,66","R$ 2,90 B","15,64%"
27,31/12/2017,"7,74","2,36","0,78","5,54","0,68","R$ 2,36 B","16,36%"
28,30/09/2017,"2,89","1,19","0,48","3,78","0,33","R$ 1,22 B","32,49%"
29,30/06/2017,"2,84","0,68","0,44","3,06","0,23","R$ 818,79 M","45,84%"
30,31/03/2017,"2,97","0,69","0,60","2,74","0,24","R$ 787,88 M","3,29%"
31,31/12/2016,"2,45","0,64","0,77","2,15","0,20","R$ 637,21 M","3,50%"
32,30/09/2016,"5,35","0,60","0,59","1,50","0,32","R$ 548,92 M","4,43%"
33,30/06/2016,"6,21","0,68","0,66","1,72","0,35","R$ 545,02 M","4,01%"
34,31/03/2016,"5,37","0,66","0,65","2,25","0,33","R$ 531,38 M","4,18%"
35,31/12/2015,"5,99","0,64","0,61","1,81","0,32","R$ 505,76 M","3,57%"
36,30/09/2015,"6,50","0,56","0,57","1,76","0,27","R$ 377,37 M","4,10%"
37,30/06/2015,"8,41","0,60","0,62","2,00","0,29","R$ 407,72 M","3,86%"
38,31/03/2015,"7,89","0,53","0,53","1,72","0,24","R$ 391,29 M","4,54%"
39,31/12/2014,"6,38","0,54","0,54","1,91","0,26","R$ 355,64 M","3,52%"
40,30/09/2014,"6,74","0,56","0,56","1,50","0,26","R$ 412,18 M","3,39%"
41,30/06/2014,"1,04","0,55","0,74","1,64","0,26","R$ 440,03 M","3,39%"
42,31/03/2014,"1,05","0,53","1,04","2,00","0,24","R$ 392,69 M","3,60%"
43,31/12/2013,"1,35","0,65","2,59","3,20","0,30","R$ 395,47 M","1,19%"
44,30/09/2013,"1,24","0,59","0,00","-8,76","0,25","R$ 406,61 M","1,32%"
45,30/06/2013,"23,81","1,11","0,91","4,84","0,32","R$ 409,39 M","1,66%"
46,31/03/2013,"11,05","0,99","0,00","-107,79","0,63","R$ 414,96 M","1,80%"
47,31/12/2012,"11,27","1,08","1,25","4,69","0,58","R$ 448,38 M","0,36%"
48,30/09/2012,"13,33","0,90","1,08","4,13","0,42","R$ 356,48 M","0,44%"
49,30/06/2012,"-25,71","0,84","0,98","3,66","0,39","R$ 275,71 M","0,49%"
50,31/03/2012,"-45,37","0,89","1,02","2,50","0,39","R$ 275,71 M","0,00%"
51,31/12/2011,"80,77","0,94","1,04","2,46","0,40","R$ 314,70 M","0,00%"
52,30/09/2011,"22,69","1,01","1,10","2,52","0,44","R$ 311,92 M","0,00%"
53,30/06/2011,"9,13","0,92","1,08","2,43","0,36","R$ 323,06 M","0,00%"
54,31/03/2011,"10,26","1,07","1,26","11,19","0,40","R$ 350,91 M","0,00%"
55,31/12/2010,"14,34","1,16","1,37","10,40","0,43","R$ 406,61 M","0,00%"
56,30/09/2010,"-0,82","1,72","0,35","4,02","0,61","R$ 570,92 M","0,00%"
57,30/06/2010,"-0,98","1,95","0,23","-9,58","0,68","R$ 618,27 M","1,19%"
58,31/03/2010,"-1,49","2,64","0,23","-7,48","0,14","R$ 679,54 M","0,91%"
59,31/12/2009,"-1,80","3,54","0,24","47,77","0,87","R$ 949,68 M","0,68%"
60,30/09/2009,"115,71","1,60","0,38","1,45","0,15","R$ 1,19 B","1,43%"
61,30/06/2009,"-10,18","1,63","0,43","1,02","0,15","R$ 1,17 B","1,55%"
62,31/03/2009,"-3,09","0,92","0,18","1,11","0,07","R$ 738,02 M","4,19%"
63,31/12/2008,"-4,99","0,74","0,17","1,38","0,06","R$ 582,06 M","7,14%"
64,30/09/2008,"-10,23","0,78","0,21",NA,"0,08","R$ 687,89 M","6,02%"
65,30/06/2008,"17,57","1,40","0,43",NA,"0,17","R$ 1,39 B","2,84%"
66,31/03/2008,"10,19","1,27","0,57",NA,"0,35","R$ 1,31 B","2,25%"
67,31/12/2007,"12,31","1,45","0,63",NA,"0,42","R$ 1,44 B","1,31%"
68,30/09/2007,"15,23","2,10","0,95",NA,"0,74","R$ 1,88 B","1,21%"
69,30/06/2007,"26,50","3,07","1,33",NA,"1,12","R$ 2,33 B","0,82%"
70,31/03/2007,"23,34","1,97","0,86",NA,"0,79","R$ 1,54 B","1,09%"
71,31/12/2006,"15,44","1,24","0,55",NA,"0,48","R$ 1,29 B","2,61%"
72,30/09/2006,"14,21","1,20","0,56",NA,"0,47","R$ 1,17 B","1,84%"
73,30/06/2006,"10,72","1,03","0,52",NA,"0,43","R$ 957,87 M","2,86%"
74,31/03/2006,"8,42","1,15","0,58",NA,"0,48","R$ 1,10 B","4,00%"
75,31/12/2005,"7,56","1,31","0,61",NA,"0,54","R$ 1,25 B","3,98%"
76,30/09/2005,"6,77","1,32","0,58",NA,"0,54","R$ 1,29 B","6,34%"
77,30/06/2005,"8,39","1,89","0,80",NA,"0,80","R$ 1,69 B","4,35%"
78,31/03/2005,"7,61","1,80","0,76",NA,"0,78","R$ 1,52 B","2,83%"
79,31/12/2004,"12,22","2,64","1,14",NA,"1,10","R$ 2,23 B","2,53%"
80,30/09/2004,"10,86","1,90","0,90",NA,"0,79","R$ 1,71 B","2,03%"
81,30/06/2004,"10,79","1,62","0,86",NA,"0,66","R$ 1,45 B","3,06%"
82,31/03/2004,"9,00","1,02","0,55",NA,"0,43","R$ 800,52 M","3,10%"
83,31/12/2003,"11,45","1,44","0,75",NA,"0,62","R$ 1,19 B","2,54%"
84,30/09/2003,"8,76","1,10","0,58",NA,"0,50","R$ 845,80 M","2,18%"
85,30/06/2003,"6,87","0,96","0,51",NA,"0,45","R$ 669,98 M","4,42%"
86,31/03/2003,"5,13","0,82","0,48",NA,"0,38","R$ 549,74 M","4,75%"
87,31/12/2002,"4,72","0,66","0,42",NA,"0,31","R$ 421,39 M","6,79%"
88,30/09/2002,"4,11","0,51","3,36",NA,"0,43","R$ 364,48 M","10,86%"
89,30/06/2002,"3,56","0,45","3,61",NA,"0,38","R$ 325,73 M","6,07%"
90,31/03/2002,"3,99","0,58","4,21",NA,"0,49","R$ 389,90 M","8,55%"
91,31/12/2001,"4,18","0,71","0,45",NA,"0,44","R$ 450,45 M","9,59%"
92,30/06/2001,"3,01","0,49","3,36",NA,"0,40","R$ 311,20 M","14,52%"
93,31/03/2001,"2,82","0,46","3,31",NA,"0,38","R$ 285,57 M","9,09%"
94,31/12/2000,"3,08","0,58","0,44",NA,"0,36","R$ 364,27 M","11,15%"
95,30/09/2000,"1,66","0,62","4,58",NA,"0,50","R$ 362,26 M","9,28%"
96,30/06/2000,"2,44","0,93","6,96",NA,"0,74","R$ 476,28 M","7,24%"
97,31/03/2000,"1,07","0,39","2,99",NA,"0,30","R$ 207,58 M","14,10%"
