,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"-1,80%","-2,07%","-2,72%","-3,14%","-15,15%","-5,37%","9,60%","-9,30%","-3,35%","4,28%","0,58","3,38","2,38","10,67"
1,30/06/2024,"-3,21%","-3,68%","-4,86%","-5,57%","-20,71%","-7,88%","4,31%","-14,25%","-6,02%","1,67%","0,55","3,49","2,49","30,16"
2,31/03/2024,"-6,15%","-7,17%","-9,32%","-10,86%","-19,91%","-7,83%","1,32%","-14,46%","-12,11%","-3,98%","0,54","3,08","2,08","-12,20"
3,31/12/2023,"-6,96%","-8,07%","-10,54%","-12,22%","-17,81%","-7,39%","1,03%","-12,35%","-12,06%","-4,30%","0,60","3,04","2,04","-9,64"
4,30/09/2023,"-1,93%","-2,24%","-2,93%","-3,40%","-7,18%","-3,09%","1,75%","-5,26%","-3,36%","4,37%","0,59","2,82","1,82","10,93"
5,30/06/2023,"-0,17%","-0,20%","-0,26%","-0,30%","-0,40%","-0,18%","6,69%","-0,28%","-0,28%","7,00%","0,64","2,63","1,63","5,44"
6,31/03/2023,"7,03%","8,30%","10,65%","12,58%","10,24%","4,44%","13,67%","6,25%","9,93%","16,39%","0,71","2,54","1,54","2,00"
7,31/12/2022,"10,03%","12,05%","15,19%","18,26%","19,28%","7,25%","18,69%","9,83%","12,83%","18,95%","0,74","2,41","1,41","1,29"
8,30/09/2022,"16,19%","20,06%","24,53%","30,39%","39,83%","13,56%","21,87%","16,48%","20,41%","25,90%","0,82","2,33","1,33","0,79"
9,30/06/2022,"16,78%","20,80%","25,43%","31,51%","41,26%","13,37%","21,52%","15,04%","20,12%","25,57%","0,89","2,25","1,25","0,75"
10,31/03/2022,"15,82%","20,03%","23,97%","30,34%","47,58%","12,69%","19,43%","14,57%","18,51%","24,25%","0,87","2,31","1,31","0,70"
11,31/12/2021,"10,99%","15,16%","16,66%","22,97%","20,85%","6,63%","19,28%","8,82%","16,07%","21,96%","0,75","2,66","1,66","0,92"
12,30/09/2021,"5,83%","8,04%","8,83%","12,19%","-9,05%","-2,88%","17,42%","-4,25%","9,48%","16,11%","0,68","2,94","1,94","1,96"
13,30/06/2021,"4,50%","6,21%","6,82%","9,40%","-21,01%","-6,68%","17,72%","-11,07%","8,20%","15,13%","0,60","3,09","2,09","2,50"
14,31/03/2021,"1,22%","1,68%","1,85%","2,55%","-31,26%","-9,94%","14,72%","-18,71%","2,52%","10,14%","0,53","3,75","2,75","4,50"
15,31/12/2020,NA,NA,NA,NA,NA,NA,"10,72%","-17,15%","7,96%","15,94%",NA,"3,15","2,15","2,70"
