,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 3,60 B","- R$ 74,00 M","- R$ 1,44 B","R$ 2,09 B"
1,31/03/2024,"- R$ 7,41 B","- R$ 591,00 M","R$ 2,06 B","- R$ 5,94 B"
2,31/12/2023,"R$ 9,60 B","- R$ 531,00 M","- R$ 720,00 M","R$ 8,35 B"
3,30/09/2023,"- R$ 310,00 M","- R$ 468,00 M","- R$ 1,58 B","- R$ 2,36 B"
4,30/06/2023,"R$ 3,83 B","R$ 1,10 B","- R$ 1,35 B","R$ 3,58 B"
5,31/03/2023,"- R$ 8,39 B","- R$ 1,01 B","R$ 1,01 B","- R$ 8,38 B"
6,31/12/2022,"R$ 11,52 B","- R$ 1,08 B","- R$ 1,97 B","R$ 8,48 B"
7,30/09/2022,"- R$ 1,91 B","- R$ 658,00 M","R$ 1,58 B","- R$ 988,00 M"
8,30/06/2022,"R$ 3,18 B","- R$ 4,82 B","R$ 1,37 B","- R$ 268,00 M"
9,31/03/2022,"- R$ 5,82 B","- R$ 752,00 M","R$ 3,23 B","- R$ 3,34 B"
10,31/12/2021,"R$ 9,37 B","- R$ 455,00 M","- R$ 4,32 B","R$ 4,60 B"
11,30/09/2021,"- R$ 687,00 M","- R$ 670,00 M","R$ 1,81 B","R$ 448,00 M"
12,30/06/2021,"R$ 2,03 B","- R$ 710,00 M","- R$ 629,00 M","R$ 692,00 M"
13,31/03/2021,"- R$ 6,27 B","- R$ 1,73 B","R$ 3,54 B","- R$ 4,46 B"
14,31/12/2020,"R$ 7,40 B","- R$ 1,94 B","- R$ 2,25 B","R$ 3,22 B"
15,30/09/2020,"- R$ 1,04 B","- R$ 292,00 M","- R$ 363,00 M","- R$ 1,70 B"
16,30/06/2020,"R$ 2,05 B","- R$ 274,00 M","R$ 1,23 B","R$ 3,01 B"
17,31/03/2020,"- R$ 4,38 B","- R$ 818,00 M","R$ 1,02 B","- R$ 4,18 B"
18,31/12/2019,"R$ 5,65 B","- R$ 379,00 M","- R$ 355,00 M","R$ 4,92 B"
19,30/09/2019,"- R$ 323,00 M","- R$ 396,00 M","- R$ 72,00 M","- R$ 791,00 M"
20,30/06/2019,"R$ 1,25 B","- R$ 442,00 M","- R$ 363,00 M","R$ 446,00 M"
21,31/03/2019,"- R$ 3,92 B","- R$ 587,00 M","R$ 604,00 M","- R$ 3,90 B"
22,31/12/2018,"R$ 4,84 B","- R$ 425,00 M","- R$ 1,15 B","R$ 3,27 B"
23,30/09/2018,"R$ 19,00 M","- R$ 430,00 M","- R$ 112,00 M","- R$ 523,00 M"
24,30/06/2018,"R$ 933,00 M","- R$ 365,00 M","- R$ 304,00 M","R$ 264,00 M"
25,31/03/2018,"- R$ 2,69 B","- R$ 484,00 M","R$ 9,00 M","- R$ 3,17 B"
26,31/12/2017,"R$ 4,14 B","- R$ 389,00 M","R$ 280,00 M","R$ 4,03 B"
27,30/09/2017,"- R$ 469,00 M","- R$ 454,00 M","R$ 399,00 M","- R$ 524,00 M"
28,30/06/2017,"R$ 1,46 B","- R$ 414,00 M","- R$ 522,00 M","R$ 522,00 M"
29,31/03/2017,"- R$ 2,24 B","- R$ 624,00 M","R$ 399,00 M","- R$ 2,47 B"
30,31/12/2016,NA,NA,NA,NA
