,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
0,30/06/2024,"R$ 4,07 B","R$ 1,01 B","R$ 729,66 M","- R$ 215,77 M","R$ 945,43 M","R$ 241,06 M","R$ 0,11"
1,31/03/2024,"R$ 4,36 B","R$ 1,47 B","R$ 1,20 B","- R$ 209,05 M","R$ 1,41 B","R$ 518,24 M","R$ 0,25"
2,31/12/2023,"R$ 4,47 B","R$ 1,45 B","R$ 1,15 B","- R$ 203,05 M","R$ 1,35 B","R$ 516,16 M","R$ 0,24"
3,30/09/2023,"R$ 4,11 B","R$ 1,37 B","R$ 1,13 B","- R$ 198,26 M","R$ 1,33 B","R$ 461,99 M","R$ 0,22"
4,30/06/2023,"R$ 3,88 B","R$ 1,16 B","R$ 910,94 M","- R$ 193,03 M","R$ 1,10 B","R$ 364,12 M","R$ 0,17"
5,31/03/2023,"R$ 3,68 B","R$ 1,06 B","R$ 831,12 M","- R$ 187,04 M","R$ 1,02 B","R$ 315,66 M","R$ 0,15"
6,31/12/2022,"R$ 3,76 B","R$ 1,05 B","R$ 742,71 M","- R$ 177,77 M","R$ 920,49 M","R$ 312,37 M","R$ 0,15"
7,30/09/2022,"R$ 3,82 B","R$ 1,04 B","R$ 794,21 M","- R$ 178,21 M","R$ 972,43 M","R$ 311,05 M","R$ 0,15"
8,30/06/2022,"R$ 3,71 B","R$ 1,15 B","R$ 952,29 M","- R$ 166,42 M","R$ 1,12 B","R$ 393,61 M","R$ 0,19"
9,31/03/2022,"R$ 3,83 B","R$ 1,13 B","R$ 962,32 M","- R$ 166,07 M","R$ 1,13 B","R$ 469,23 M","R$ 0,22"
10,31/12/2021,"R$ 4,48 B","R$ 1,11 B","R$ 834,95 M","- R$ 162,14 M","R$ 997,10 M","R$ 358,87 M","R$ 0,17"
11,30/09/2021,"R$ 4,47 B","R$ 1,17 B","R$ 925,20 M","- R$ 159,13 M","R$ 1,08 B","R$ 406,03 M","R$ 0,19"
12,30/06/2021,"R$ 3,48 B","R$ 895,53 M","R$ 720,37 M","- R$ 156,83 M","R$ 877,20 M","R$ 394,37 M","R$ 0,19"
13,31/03/2021,"R$ 3,18 B","R$ 786,31 M","R$ 703,08 M","- R$ 157,23 M","R$ 860,32 M","R$ 359,45 M","R$ 0,17"
14,31/12/2020,"R$ 3,50 B","R$ 830,72 M","R$ 623,00 M","- R$ 172,99 M","R$ 795,99 M","R$ 330,24 M","R$ 0,16"
15,30/09/2020,"R$ 2,80 B","R$ 780,90 M","R$ 644,77 M","- R$ 154,41 M","R$ 799,18 M","R$ 371,99 M","R$ 0,18"
16,30/06/2020,"R$ 2,43 B","R$ 391,20 M","R$ 265,27 M","- R$ 151,42 M","R$ 416,69 M","R$ 100,52 M","R$ 0,05"
17,31/03/2020,"R$ 2,56 B","R$ 465,38 M","R$ 297,22 M","- R$ 161,27 M","R$ 458,50 M","R$ 107,12 M","R$ 0,05"
18,31/12/2019,"R$ 2,96 B","R$ 631,78 M","R$ 403,08 M","- R$ 160,34 M","R$ 563,42 M","R$ 98,94 M","R$ 0,05"
19,30/09/2019,"R$ 2,89 B","R$ 605,13 M","R$ 459,18 M","- R$ 159,43 M","R$ 618,61 M","R$ 196,95 M","R$ 0,10"
20,30/06/2019,"R$ 2,66 B","R$ 543,77 M","R$ 398,98 M","- R$ 155,84 M","R$ 554,82 M","R$ 191,18 M","R$ 0,09"
21,31/03/2019,"R$ 2,69 B","R$ 547,40 M","R$ 401,49 M","- R$ 152,76 M","R$ 554,25 M","R$ 224,44 M","R$ 0,11"
22,31/12/2018,"R$ 2,45 B","R$ 460,20 M","R$ 249,69 M","- R$ 159,70 M","R$ 409,39 M","R$ 56,55 M","R$ 0,03"
23,30/09/2018,"R$ 2,73 B","R$ 547,68 M","R$ 325,36 M","- R$ 146,92 M","R$ 472,28 M","R$ 150,20 M","R$ 0,07"
24,30/06/2018,"R$ 2,52 B","R$ 394,49 M","R$ 274,80 M","- R$ 144,75 M","R$ 419,55 M","R$ 75,68 M","R$ 0,04"
25,31/03/2018,"R$ 2,37 B","R$ 435,85 M","R$ 332,02 M","- R$ 159,80 M","R$ 491,82 M","R$ 117,14 M","R$ 0,06"
26,31/12/2017,"R$ 2,48 B","R$ 424,95 M","R$ 261,08 M","- R$ 163,35 M","R$ 424,43 M","R$ 7,17 M","R$ 0,00"
27,30/09/2017,"R$ 2,49 B","R$ 250,88 M","R$ 154,94 M","- R$ 154,36 M","R$ 309,30 M","R$ 32,25 M","R$ 0,02"
28,30/06/2017,"R$ 2,03 B","R$ 236,72 M","R$ 116,09 M","- R$ 133,02 M","R$ 249,11 M","R$ 9,47 M","R$ 0,00"
29,31/03/2017,"R$ 1,97 B","R$ 262,49 M","R$ 194,91 M","- R$ 138,97 M","R$ 333,88 M","R$ 62,35 M","R$ 0,03"
30,31/12/2016,"R$ 2,21 B","R$ 476,41 M","R$ 244,57 M","- R$ 136,85 M","R$ 381,41 M","R$ 100,62 M","R$ 0,05"
