,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
0,30/06/2024,"45,78%","6,57%","31,14%","10,21%","0,64","6,85","5,85"
1,31/03/2024,"50,11%","7,23%","32,39%","11,06%","0,65","6,97","5,97"
2,31/12/2023,"43,06%","6,56%","31,27%","10,28%","0,64","6,88","5,88"
3,30/09/2023,"36,20%","5,98%","30,60%","9,80%","0,61","4,52","3,52"
4,30/06/2023,"32,33%","5,51%","28,96%","8,99%","0,61","6,96","5,96"
5,31/03/2023,"33,44%","5,63%","29,24%","9,29%","0,61","6,93","5,93"
6,31/12/2022,"39,99%","6,03%","28,86%","9,83%","0,61","6,56","5,56"
7,30/09/2022,"41,35%","6,36%","27,92%","9,67%","0,66","6,06","5,06"
8,30/06/2022,"44,30%","7,07%","27,67%","9,87%","0,72","5,87","4,87"
9,31/03/2022,"41,61%","7,79%","26,48%","10,01%","0,78","5,94","4,94"
10,31/12/2021,"36,19%","7,01%","25,39%","9,73%","0,72","6,63","5,63"
11,30/09/2021,"38,42%","7,15%","25,20%","10,18%","0,70","6,50","5,50"
12,30/06/2021,"39,33%","6,94%","25,40%","11,23%","0,62","6,27","5,27"
13,31/03/2021,"32,28%","5,81%","23,42%","9,76%","0,60","5,34","4,34"
14,31/12/2020,"26,05%","4,86%","21,85%","8,05%","0,60","5,16","4,16"
15,30/09/2020,"19,21%","3,65%","21,11%","6,31%","0,58","5,37","4,37"
16,30/06/2020,"14,32%","2,76%","19,31%","4,64%","0,59","5,66","4,66"
17,31/03/2020,"14,63%","3,34%","20,28%","5,36%","0,62","5,55","4,55"
18,31/12/2019,"21,84%","4,31%","20,79%","6,35%","0,68","5,36","4,36"
19,30/09/2019,"20,07%","4,11%","20,17%","6,26%","0,66","5,26","4,26"
20,30/06/2019,"19,56%","4,00%","19,94%","5,91%","0,68","5,20","4,20"
21,31/03/2019,"16,32%","3,37%","18,76%","4,88%","0,69","4,38","3,38"
22,31/12/2018,"13,37%","2,68%","18,26%","3,97%","0,67","5,07","4,07"
