,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 116,11 M","- R$ 187,76 M","R$ 213,79 M","R$ 142,14 M",199
1,31/03/2024,"R$ 197,36 M","- R$ 93,52 M","- R$ 135,97 M","- R$ 32,13 M",199
2,31/12/2023,"R$ 43,70 M","- R$ 64,01 M","- R$ 171,57 M","- R$ 191,89 M",199
3,30/09/2023,"R$ 220,35 M","- R$ 56,15 M","- R$ 177,64 M","- R$ 13,44 M",199
4,30/06/2023,"R$ 125,71 M","- R$ 54,70 M","- R$ 144,68 M","- R$ 73,67 M",199
5,31/03/2023,"R$ 173,05 M","- R$ 28,04 M","- R$ 195,85 M","- R$ 50,83 M",199
6,31/12/2022,"R$ 93,34 M","- R$ 55,03 M","- R$ 113,77 M","- R$ 75,46 M",199
7,30/09/2022,"R$ 207,87 M","- R$ 77,14 M","- R$ 156,87 M","- R$ 26,13 M",199
8,30/06/2022,"R$ 75,05 M","- R$ 57,60 M","- R$ 128,87 M","- R$ 111,42 M",199
9,31/03/2022,"R$ 137,43 M","- R$ 23,47 M","- R$ 133,19 M","- R$ 19,23 M",199
10,31/12/2021,"R$ 77,34 M","- R$ 29,26 M","R$ 937,30 M","- R$ 25,01 M",199
11,30/09/2021,"R$ 147,04 M","- R$ 23,91 M","- R$ 1,17 B","- R$ 38,77 M",199
12,30/06/2021,"R$ 82,11 M","- R$ 22,88 M","- R$ 110,07 M","- R$ 50,84 M",199
13,31/03/2021,"R$ 159,22 M","- R$ 15,40 M","R$ 842,88 M","R$ 986,70 M",199
14,31/12/2020,"R$ 43,66 M","- R$ 20,33 M","- R$ 115,60 M","- R$ 92,27 M",199
15,30/09/2020,"R$ 88,17 M","- R$ 5,80 M","- R$ 81,10 M","R$ 1,27 M",199
16,30/06/2020,"R$ 90,38 M","- R$ 11,76 M","R$ 33,74 M","R$ 112,36 M",199
17,31/03/2020,"R$ 34,56 M","- R$ 344,20 M","R$ 478,46 M","R$ 168,83 M",199
18,31/12/2019,,,,,199
