,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
0,30/06/2024,"-37,32%","30,42%","-4,87%","98,72%","0,31","-1,43","-2,43"
1,31/03/2024,"30,03%","-24,42%","-0,82%","-74,09%","0,33","-0,87","-1,87"
2,31/12/2023,"24,82%","-18,34%","4,46%","-55,89%","0,33","-0,96","-1,96"
3,30/09/2023,"967,32%","-45,24%","-3,74%","-219,58%","0,21","-1,11","-2,11"
4,30/06/2023,"-2.912,82%","-44,29%","-4,04%","-216,21%","0,20","-1,23","-2,23"
5,31/03/2023,"-2.140,34%","-28,15%","-3,71%","-210,33%","0,13","-1,23","-2,23"
6,31/12/2022,"2.549,84%","-24,72%","-1,89%","-183,77%","0,13","-1,35","-2,35"
7,30/09/2022,"-308,09%","-4,33%","-2,43%","-31,39%","0,14","-21,38","-22,38"
8,30/06/2022,"-86,43%","-6,76%","4,00%","-49,25%","0,14","65,77","64,77"
9,31/03/2022,"-77,24%","-5,00%","6,33%","-35,33%","0,14","76,02","75,02"
10,31/12/2021,"-109,87%","-11,53%","5,33%","-81,23%","0,14","-103,15","-104,15"
11,30/09/2021,"-82,13%","-6,76%","16,42%","-54,75%","0,12","71,13","70,13"
12,30/06/2021,"-33,92%","-3,74%","19,24%","-30,30%","0,12","12,78","11,78"
13,31/03/2021,"-63,78%","-9,86%","19,77%","-80,02%","0,12","15,43","14,43"
14,31/12/2020,"-59,66%","-14,65%","21,68%","-113,42%","0,13","9,53","8,53"
15,30/09/2020,"-73,26%","-20,02%","22,35%","-77,15%","0,26","12,15","11,15"
16,30/06/2020,"-69,03%","-23,18%","22,58%","-92,15%","0,25","9,06","8,06"
17,31/03/2020,"-58,26%","-20,37%","23,53%","-80,23%","0,25","6,47","5,47"
18,31/12/2019,"-39,73%","-13,75%","23,94%","-44,70%","0,31","4,07","3,07"
19,30/09/2019,"-38,85%","-15,02%","26,97%","-49,04%","0,31","3,66","2,66"
20,30/06/2019,"-20,79%","-8,43%","27,45%","-26,99%","0,31","2,98","1,98"
21,31/03/2019,"-18,80%","-7,84%","27,55%","-25,02%","0,31","2,86","1,86"
22,31/12/2018,"-178,12%","35,83%","29,35%","111,47%","0,32","2,89","1,89"
23,30/09/2018,"310,73%","31,40%","31,40%","114,97%","0,27","2,59","1,59"
24,30/06/2018,"322,70%","32,84%","33,63%","118,41%","0,28","2,47","1,47"
25,31/03/2018,"215,31%","29,88%","35,94%","104,59%","0,29","2,40","1,40"
26,31/12/2017,"-54,57%","-7,75%","37,01%","-26,76%","0,29","-4,97","-5,97"
27,30/09/2017,"-70,43%","-8,34%","34,31%","-27,57%","0,30","9,89","8,89"
28,30/06/2017,"-75,89%","-10,26%","35,28%","-32,03%","0,32","9,83","8,83"
29,31/03/2017,"-30,59%","-5,68%","35,20%","-20,88%","0,27","7,21","6,21"
30,31/12/2016,"-52,54%","-7,16%","35,19%","-26,71%","0,27","7,04","6,04"
31,30/09/2016,"-40,94%","-7,30%","39,44%","-28,00%","0,26","8,45","7,45"
32,30/06/2016,"-43,01%","-7,84%","40,07%","-27,28%","0,29","7,40","6,40"
33,31/03/2016,"-35,63%","-5,96%","41,26%","-23,54%","0,25","5,38","4,38"
34,31/12/2015,"-27,72%","-4,80%","44,03%","-18,04%","0,27","7,34","6,34"
35,30/09/2015,"-21,07%","-4,81%","45,20%","-18,53%","0,26","5,61","4,61"
36,30/06/2015,"-17,02%","-3,89%","45,61%","-14,92%","0,26","5,49","4,49"
37,31/03/2015,"-42,40%","-7,24%","46,28%","-17,73%","0,41","5,98","4,98"
38,31/12/2014,"-38,25%","-6,29%","46,08%","-15,60%","0,40","5,77","4,77"
39,30/09/2014,"11,60%","1,74%","44,95%","3,83%","0,46","4,38","3,38"
40,30/06/2014,"12,79%","2,00%","45,86%","4,61%","0,43","4,38","3,38"
41,31/03/2014,"13,51%","2,13%","46,29%","5,16%","0,41","5,86","4,86"
42,31/12/2013,"13,19%","2,16%","46,31%","5,25%","0,41","6,08","5,08"
43,30/09/2013,"6,38%","1,08%","46,52%","2,52%","0,43","6,66","5,66"
44,30/06/2013,"9,73%","1,74%","46,97%","3,97%","0,44","6,39","5,39"
45,31/03/2013,"10,61%","2,26%","48,44%","5,65%","0,40","6,36","5,36"
46,31/12/2012,"16,86%","5,64%","49,65%","7,09%","0,79","6,10","5,10"
47,30/09/2012,"14,15%","5,29%","50,40%","7,56%","0,70","5,91","4,91"
48,30/06/2012,"12,89%","5,11%","50,79%","8,70%","0,59","5,60","4,60"
49,31/03/2012,"11,86%","5,06%","50,48%","12,67%","0,40","4,69","3,69"
50,31/12/2011,"8,87%","3,74%","50,39%","10,88%","0,34","2,99","1,99"
51,30/09/2011,"14,05%","6,09%","52,05%","16,50%","0,37","2,67","1,67"
52,30/06/2011,"16,12%","6,75%","53,36%","17,51%","0,39","2,52","1,52"
53,31/03/2011,"16,36%","6,77%","53,84%","16,81%","0,40","2,35","1,35"
54,31/12/2010,"17,77%","8,66%","53,89%","19,20%","0,45","2,37","1,37"
55,30/09/2010,"12,59%","6,15%","52,68%","13,31%","0,46","2,31","1,31"
56,30/06/2010,"23,20%","6,60%","50,48%","10,31%","0,64","2,39","1,39"
57,31/03/2010,"-11,54%","-4,02%","47,17%","-6,66%","0,60","2,42","1,42"
58,31/12/2009,"-18,31%","-6,47%","45,71%","-10,50%","0,62","2,05","1,05"
59,30/09/2009,"-17,48%","-6,43%","43,06%","-9,95%","0,65","2,05","1,05"
60,30/06/2009,"-18,89%","-7,04%","44,15%","-10,25%","0,69","3,51","2,51"
61,31/03/2009,"11,07%","3,98%","45,23%","5,56%","0,72","2,87","1,87"
62,31/12/2008,"18,47%","6,61%","45,03%","9,12%","0,73","2,83","1,83"
63,30/09/2008,"17,91%","7,04%","44,72%","9,31%","0,76","2,72","1,72"
64,30/06/2008,"18,50%","7,14%","44,06%","9,37%","0,76","2,68","1,68"
65,31/03/2008,"16,46%","5,77%","43,16%","8,13%","0,71","2,78","1,78"
66,31/12/2007,"14,42%","4,98%","42,28%","7,21%","0,69","2,79","1,79"
67,30/09/2007,"15,45%","5,46%","40,64%","7,69%","0,71","2,54","1,54"
68,30/06/2007,"13,01%","4,68%","39,39%","6,47%","0,72","2,59","1,59"
69,31/03/2007,"11,66%","4,31%","38,08%","6,10%","0,71","2,85","1,85"
70,31/12/2006,"7,87%","2,58%","37,21%","4,20%","0,62","2,89","1,89"
71,30/09/2006,"-1,43%","-0,55%","37,04%","-0,87%","0,63","2,83","1,83"
72,30/06/2006,"-3,62%","-1,38%","36,40%","-2,24%","0,62","2,78","1,78"
73,31/03/2006,"-4,69%","-1,82%","36,02%","-2,96%","0,61","2,71","1,71"
74,31/12/2005,"-4,69%","-1,74%","35,66%","-3,00%","0,58","3,04","2,04"
75,30/09/2005,"-0,27%","-0,11%","35,14%","-0,18%","0,59","2,61","1,61"
76,30/06/2005,"2,56%","1,05%","35,32%","1,72%","0,61","2,62","1,62"
77,31/03/2005,"2,24%","0,92%","35,60%","1,56%","0,59","2,58","1,58"
78,31/12/2004,"4,16%","1,81%","35,71%","3,06%","0,59","2,69","1,69"
79,30/09/2004,"-0,77%","-0,35%","37,11%","-0,62%","0,56","2,54","1,54"
80,30/06/2004,"-0,86%","-0,39%","37,91%","-0,71%","0,55","2,44","1,44"
81,31/03/2004,"-0,45%","-0,20%","38,33%","-0,38%","0,52","2,44","1,44"
82,31/12/2003,"-0,36%","-0,16%","38,68%","-0,32%","0,51","2,30","1,30"
83,30/09/2003,"6,78%","3,29%","38,35%","6,05%","0,54","2,22","1,22"
84,30/06/2003,"6,85%","3,32%","37,54%","6,32%","0,53","2,22","1,22"
85,31/03/2003,"7,51%","3,67%","37,27%","7,04%","0,52","2,26","1,26"
86,31/12/2002,"6,41%","3,13%","37,12%","6,22%","0,50","2,21","1,21"
87,30/09/2002,NA,NA,"36,87%","6,62%",NA,"2,06","1,06"
88,30/06/2002,NA,NA,"37,20%","6,49%",NA,"2,06","1,06"
89,31/03/2002,NA,NA,"36,47%","4,76%",NA,"2,04","1,04"
90,31/12/2001,NA,NA,"35,22%","4,57%",NA,"2,05","1,05"
91,30/06/2001,"5,21%","3,57%","34,20%","6,06%","0,59","1,85","0,85"
92,31/03/2001,"7,58%","5,63%","34,71%","9,92%","0,57","1,74","0,74"
93,31/12/2000,"26,49%","17,46%","35,35%","11,83%","1,48","1,75","0,75"
94,30/09/2000,NA,NA,NA,NA,NA,"1,91","0,91"
95,30/06/2000,"4,69%","3,40%","33,30%","4,12%","0,83","1,46","0,46"
96,31/03/2000,"-0,96%","-0,68%","33,28%","-1,24%","0,55","1,35","0,35"
