,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
38,31/12/2014,"R$ 28,25 B","R$ 13,02 B","R$ 5,67 B","- R$ 4,54 B","R$ 10,21 B","- R$ 4,41 B","- R$ 5,13"
39,30/09/2014,"R$ 31,28 B","R$ 14,06 B","R$ 6,39 B","- R$ 5,35 B","R$ 11,74 B","R$ 1,20 B","R$ 0,14"
40,30/06/2014,"R$ 29,53 B","R$ 13,54 B","R$ 6,13 B","- R$ 4,74 B","R$ 10,87 B","R$ 1,36 B","R$ 0,16"
41,31/03/2014,"R$ 28,26 B","R$ 13,08 B","R$ 5,97 B","- R$ 4,41 B","R$ 10,38 B","R$ 1,46 B","R$ 0,81"
42,31/12/2013,"R$ 28,42 B","R$ 13,16 B","R$ 5,29 B","- R$ 4,28 B","R$ 9,57 B","R$ 1,49 B","R$ 0,83"
43,30/09/2013,"R$ 28,61 B","R$ 13,31 B","R$ 4,37 B","- R$ 4,21 B","R$ 8,57 B","R$ 721,64 M","R$ 0,40"
44,30/06/2013,"R$ 28,55 B","R$ 13,41 B","R$ 4,59 B","- R$ 4,03 B","R$ 8,62 B","R$ 1,13 B","R$ 0,63"
45,31/03/2013,"R$ 28,38 B","R$ 13,75 B","R$ 5,17 B","- R$ 3,80 B","R$ 8,97 B","R$ 1,60 B","R$ 0,89"
46,31/12/2012,"R$ 25,17 B","R$ 12,50 B","R$ 4,76 B","- R$ 3,23 B","R$ 7,99 B","R$ 1,78 B","R$ 0,99"
47,30/09/2012,"R$ 20,02 B","R$ 10,09 B","R$ 3,52 B","- R$ 2,49 B","R$ 6,02 B","R$ 1,51 B","R$ 0,84"
48,30/06/2012,"R$ 15,26 B","R$ 7,75 B","R$ 2,62 B","- R$ 1,83 B","R$ 4,45 B","R$ 1,33 B","R$ 0,74"
49,31/03/2012,"R$ 10,70 B","R$ 5,40 B","R$ 1,87 B","- R$ 1,23 B","R$ 3,10 B","R$ 1,36 B","R$ 2,25"
50,31/12/2011,"R$ 9,25 B","R$ 4,66 B","R$ 1,57 B","- R$ 1,04 B","R$ 2,61 B","R$ 1,01 B","R$ 1,67"
51,30/09/2011,"R$ 9,51 B","R$ 4,95 B","R$ 1,88 B","- R$ 1,04 B","R$ 2,92 B","R$ 1,57 B","R$ 2,60"
52,30/06/2011,"R$ 9,78 B","R$ 5,22 B","R$ 2,29 B","- R$ 1,04 B","R$ 3,33 B","R$ 1,71 B","R$ 2,84"
53,31/03/2011,"R$ 10,01 B","R$ 5,39 B","R$ 2,28 B","- R$ 1,05 B","R$ 3,33 B","R$ 1,68 B","R$ 2,79"
54,31/12/2010,"R$ 10,26 B","R$ 5,53 B","R$ 2,46 B","- R$ 1,06 B","R$ 3,52 B","R$ 1,97 B","R$ 3,27"
55,30/09/2010,"R$ 10,38 B","R$ 5,47 B","R$ 2,29 B",NA,NA,"R$ 1,38 B","R$ 0,00"
56,30/06/2010,"R$ 10,65 B","R$ 5,38 B","R$ 2,02 B",NA,NA,"R$ 1,10 B","R$ 0,00"
57,31/03/2010,"R$ 10,70 B","R$ 5,05 B","- R$ 704,10 M",NA,NA,"- R$ 712,27 M","- R$ 0,00"
58,31/12/2009,"R$ 10,88 B","R$ 4,97 B","- R$ 1,27 B",NA,NA,"- R$ 1,14 B","- R$ 1,89"
59,30/09/2009,"R$ 10,88 B","R$ 4,69 B","- R$ 1,34 B",NA,NA,"- R$ 1,08 B","- R$ 1,80"
60,30/06/2009,"R$ 11,06 B","R$ 4,88 B","- R$ 1,35 B",NA,NA,"- R$ 1,13 B","- R$ 2,02"
61,31/03/2009,"R$ 11,27 B","R$ 5,10 B","R$ 1,41 B",NA,NA,"R$ 625,96 M","R$ 1,12"
62,31/12/2008,"R$ 11,30 B","R$ 5,09 B","R$ 1,85 B",NA,NA,"R$ 1,03 B","R$ 1,84"
63,30/09/2008,"R$ 11,30 B","R$ 5,05 B","R$ 1,71 B",NA,NA,"R$ 1,05 B","R$ 1,88"
64,30/06/2008,"R$ 11,21 B","R$ 4,94 B","R$ 1,63 B",NA,NA,"R$ 1,05 B","R$ 1,87"
65,31/03/2008,"R$ 11,13 B","R$ 4,80 B","R$ 1,41 B",NA,NA,"R$ 904,65 M","R$ 1,61"
66,31/12/2007,"R$ 11,06 B","R$ 4,68 B","R$ 1,35 B",NA,NA,"R$ 797,29 M","R$ 1,42"
67,30/09/2007,"R$ 10,92 B","R$ 4,44 B","R$ 1,32 B",NA,NA,"R$ 840,44 M","R$ 1,50"
68,30/06/2007,"R$ 10,80 B","R$ 4,26 B","R$ 1,19 B",NA,NA,"R$ 699,41 M","R$ 1,25"
69,31/03/2007,"R$ 10,51 B","R$ 4,00 B","R$ 966,56 M",NA,NA,"R$ 641,38 M","R$ 0,00"
70,31/12/2006,"R$ 10,30 B","R$ 3,83 B","R$ 814,17 M",NA,NA,"R$ 432,39 M","R$ 0,00"
71,30/09/2006,"R$ 10,15 B","R$ 3,76 B","R$ 129,39 M",NA,NA,"- R$ 88,12 M","- R$ 0,00"
72,30/06/2006,"R$ 10,10 B","R$ 3,67 B","- R$ 48,46 M",NA,NA,"- R$ 225,65 M","- R$ 0,00"
73,31/03/2006,"R$ 10,17 B","R$ 3,66 B","- R$ 50,37 M",NA,NA,"- R$ 301,46 M","- R$ 0,00"
74,31/12/2005,"R$ 10,14 B","R$ 3,62 B","- R$ 83,53 M",NA,NA,"- R$ 303,67 M","- R$ 0,00"
75,30/09/2005,"R$ 10,01 B","R$ 3,52 B","R$ 457,61 M",NA,NA,"- R$ 18,23 M","- R$ 0,00"
76,30/06/2005,"R$ 9,80 B","R$ 3,46 B","R$ 731,32 M",NA,NA,"R$ 168,51 M","R$ 0,00"
77,31/03/2005,"R$ 9,44 B","R$ 3,36 B","R$ 825,04 M",NA,NA,"R$ 146,99 M","R$ 0,00"
78,31/12/2004,"R$ 9,06 B","R$ 3,24 B","R$ 960,21 M",NA,NA,"R$ 276,96 M","R$ 0,00"
79,30/09/2004,"R$ 8,67 B","R$ 3,22 B","R$ 529,10 M",NA,NA,"- R$ 53,77 M","- R$ 0,00"
80,30/06/2004,"R$ 8,36 B","R$ 3,17 B","R$ 600,66 M",NA,NA,"- R$ 59,22 M","- R$ 0,00"
81,31/03/2004,"R$ 8,12 B","R$ 3,11 B","R$ 711,12 M",NA,NA,"- R$ 30,83 M","- R$ 0,00"
82,31/12/2003,"R$ 7,92 B","R$ 3,06 B","R$ 762,55 M",NA,NA,"- R$ 25,30 M","- R$ 0,00"
83,30/09/2003,"R$ 7,72 B","R$ 2,96 B","R$ 1,42 B",NA,NA,"R$ 467,14 M","R$ 0,00"
84,30/06/2003,"R$ 7,48 B","R$ 2,81 B","R$ 1,34 B",NA,NA,"R$ 472,87 M","R$ 0,00"
85,31/03/2003,"R$ 7,31 B","R$ 2,72 B","R$ 1,31 B",NA,NA,"R$ 514,36 M","R$ 0,00"
86,31/12/2002,"R$ 7,07 B","R$ 2,62 B","R$ 1,21 B",NA,NA,"R$ 440,12 M","R$ 0,00"
87,30/09/2002,"R$ 6,83 B","R$ 2,52 B","R$ 1,10 B",NA,NA,"R$ 451,97 M","R$ 0,00"
88,30/06/2002,"R$ 6,59 B","R$ 2,45 B","R$ 1,02 B",NA,NA,"R$ 427,57 M","R$ 0,00"
89,31/03/2002,"R$ 6,38 B","R$ 2,32 B","R$ 745,84 M",NA,NA,"R$ 303,66 M","R$ 0,00"
90,31/12/2001,"R$ 6,16 B","R$ 2,17 B","R$ 662,84 M",NA,NA,"R$ 281,24 M","R$ 0,00"
91,30/06/2001,"R$ 5,19 B","R$ 1,77 B","R$ 625,62 M",NA,NA,"R$ 314,56 M","R$ 0,00"
92,31/03/2001,"R$ 4,58 B","R$ 1,59 B","R$ 704,88 M",NA,NA,"R$ 454,37 M","R$ 0,00"
93,31/12/2000,"R$ 3,81 B","R$ 1,35 B","R$ 623,75 M",NA,NA,"R$ 450,74 M","R$ 0,00"
94,30/09/2000,NA,NA,NA,NA,NA,NA,NA
95,30/06/2000,"R$ 2,07 B","R$ 690,92 M","R$ 114,06 M",NA,NA,"R$ 85,42 M","R$ 0,01"
96,31/03/2000,"R$ 1,40 B","R$ 466,05 M","R$ 20,35 M",NA,NA,"- R$ 17,40 M","- R$ 0,00"
