,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,NA,NA,NA,NA,NA,NA,"42,12%","14,94%","32,21%","42,00%",NA,"4,12","3,12","4,65"
1,30/06/2024,NA,NA,NA,NA,NA,NA,"45,31%","14,43%","33,84%","46,24%",NA,"3,80","2,80","3,23"
2,31/03/2024,"13,32%","13,21%","20,19%","20,01%","16,69%","5,06%","45,75%","13,05%","33,99%","46,91%","0,39","3,71","2,71","3,83"
3,31/12/2023,"12,86%","12,73%","19,48%","19,28%","14,09%","4,38%","46,06%","12,00%","33,44%","47,08%","0,36","3,24","2,24","2,94"
4,30/09/2023,"9,44%","9,64%","14,30%","14,60%","14,77%","5,12%","48,41%","13,58%","34,32%","46,72%","0,38","3,27","2,27","3,15"
5,30/06/2023,"9,10%","9,28%","13,79%","14,06%","14,24%","5,49%","50,80%","15,82%","37,64%","51,73%","0,35","3,20","2,20","2,64"
6,31/03/2023,"7,61%","7,73%","11,53%","11,70%","12,94%","4,74%","49,59%","15,91%","37,15%","51,13%","0,30","3,30","2,30","2,83"
7,31/12/2022,NA,NA,NA,NA,"13,35%","4,53%","47,03%","15,61%","33,66%","48,07%","0,29","3,22","2,22","2,63"
8,30/09/2022,"19,32%","19,84%","29,27%","30,06%","11,16%","6,32%","45,84%","14,75%","33,63%","47,68%","0,43","3,04","2,04","4,72"
9,30/06/2022,NA,NA,NA,NA,NA,NA,"46,13%","14,31%","32,10%","45,74%",NA,"2,66","1,66","5,11"
10,31/03/2022,NA,NA,NA,NA,NA,NA,"47,01%","14,70%","32,83%","46,79%",NA,"2,83","1,83","6,68"
11,31/12/2021,NA,NA,NA,NA,NA,NA,"48,20%","14,90%","33,21%","47,22%",NA,"2,95","1,95",NA
12,30/09/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,77","0,77","-1,09"
13,30/06/2021,"46,44%","52,32%","70,37%","79,28%","127,79%","25,38%","45,86%","15,31%","36,62%","51,84%","1,66","6,39","5,39","4,92"
14,31/03/2021,"33,84%","38,13%","51,28%","57,77%","95,85%","19,03%","44,91%","15,47%","35,95%","41,24%","1,23","4,21","3,21","5,19"
15,31/12/2020,"26,17%","29,48%","39,65%","44,67%","75,87%","15,07%","45,15%","15,75%","35,78%","50,27%","0,96","5,06","4,06","3,90"
16,31/12/2019,NA,NA,NA,NA,NA,NA,"43,82%","14,93%","36,83%","48,24%",NA,"5,04","4,04","2,23"
