,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 19,10 M","- R$ 71,00 mil","- R$ 20,38 M","- R$ 1,36 M"
1,31/03/2024,"R$ 18,57 M","- R$ 68,00 mil","- R$ 27,86 M","- R$ 9,36 M"
2,31/12/2023,"R$ 24,54 M","- R$ 94,00 mil","- R$ 27,82 M","- R$ 3,38 M"
3,30/09/2023,"R$ 26,56 M","- R$ 107,00 mil","- R$ 27,71 M","- R$ 1,26 M"
4,30/06/2023,"R$ 32,31 M","- R$ 223,00 mil","- R$ 26,62 M","R$ 5,47 M"
5,31/03/2023,"R$ 40,82 M","- R$ 202,00 mil","- R$ 9,66 M","R$ 30,96 M"
6,31/12/2022,"R$ 35,76 M","- R$ 162,00 mil","- R$ 9,61 M","R$ 25,99 M"
7,30/09/2022,"R$ 35,57 M","R$ 3,41 M","- R$ 13,13 M","R$ 25,85 M"
8,30/06/2022,"R$ 23,42 M","R$ 3,17 M","- R$ 12,32 M","R$ 14,26 M"
9,31/03/2022,"R$ 8,23 M","- R$ 98,00 mil","- R$ 5,43 M","R$ 2,71 M"
10,31/12/2021,"- R$ 1,82 M","- R$ 178,00 mil","- R$ 5,06 M","- R$ 7,06 M"
11,30/09/2021,"- R$ 4,33 M","- R$ 3,75 M","- R$ 1,13 M","- R$ 9,21 M"
12,30/06/2021,"- R$ 6,01 M","- R$ 5,44 M","R$ 0,00","- R$ 11,46 M"
13,31/03/2021,"R$ 1,55 M","- R$ 2,89 M","R$ 0,00","- R$ 1,34 M"
14,31/12/2020,"R$ 7,44 M","- R$ 2,84 M","R$ 0,00","R$ 4,60 M"
15,30/09/2020,"R$ 2,91 M","- R$ 2,86 M","R$ 0,00","R$ 45,00 mil"
16,30/06/2020,"R$ 4,42 M","- R$ 1,67 M","R$ 0,00","R$ 2,74 M"
17,31/03/2020,"R$ 3,14 M","- R$ 3,90 M","R$ 0,00","- R$ 764,00 mil"
18,31/12/2019,"R$ 2,14 M","- R$ 3,87 M","R$ 0,00","- R$ 1,73 M"
19,30/09/2019,"R$ 2,89 M","- R$ 3,82 M","R$ 0,00","- R$ 931,00 mil"
20,30/06/2019,"- R$ 452,00 mil","- R$ 4,33 M","R$ 0,00","- R$ 4,78 M"
21,31/03/2019,"- R$ 11,19 M","- R$ 1,49 M","R$ 0,00","- R$ 12,68 M"
22,31/12/2018,"R$ 104,00 mil","- R$ 8,12 M","R$ 0,00","- R$ 8,02 M"
23,30/09/2018,"R$ 1,62 M","- R$ 4,15 M","R$ 0,00","- R$ 2,53 M"
24,30/06/2018,"R$ 10,71 M","R$ 26,96 M","R$ 0,00","R$ 37,67 M"
25,31/03/2018,"R$ 22,97 M","R$ 17,77 M","R$ 0,00","R$ 40,74 M"
26,31/12/2017,"R$ 15,27 M","- R$ 22,50 M","R$ 0,00","- R$ 7,24 M"
27,30/09/2017,"R$ 19,05 M","- R$ 22,22 M","R$ 0,00","- R$ 3,17 M"
28,30/06/2017,"R$ 23,46 M","- R$ 19,44 M","R$ 0,00","R$ 4,02 M"
29,31/03/2017,"R$ 28,40 M","- R$ 19,30 M","R$ 0,00","R$ 9,10 M"
30,31/12/2016,"R$ 31,97 M","- R$ 21,42 M","R$ 0,00","R$ 10,55 M"
31,30/09/2016,"R$ 32,89 M","- R$ 20,01 M","R$ 0,00","R$ 12,87 M"
32,30/06/2016,"R$ 12,17 M","- R$ 9,29 M","R$ 0,00","R$ 2,88 M"
33,31/03/2016,"R$ 11,70 M","- R$ 12,50 M","R$ 0,00","- R$ 799,00 mil"
34,31/12/2015,"R$ 8,11 M","- R$ 10,38 M","R$ 0,00","- R$ 2,27 M"
35,30/09/2015,"- R$ 3,59 M","- R$ 2,71 M","R$ 0,00","- R$ 6,30 M"
36,30/06/2015,"R$ 9,87 M","- R$ 9,52 M","R$ 0,00","R$ 348,00 mil"
37,31/03/2015,"R$ 7,27 M","- R$ 6,04 M","R$ 0,00","R$ 1,23 M"
38,31/12/2014,"R$ 7,69 M","- R$ 3,97 M","R$ 0,00","R$ 3,72 M"
39,30/09/2014,"R$ 15,49 M","- R$ 11,76 M","- R$ 1,62 M","R$ 2,11 M"
40,30/06/2014,"R$ 15,07 M","- R$ 8,27 M","- R$ 5,45 M","R$ 1,35 M"
41,31/03/2014,"R$ 6,91 M","R$ 1,67 M","- R$ 18,12 M","- R$ 9,54 M"
42,31/12/2013,"R$ 2,60 M","R$ 8,00 mil","- R$ 18,12 M","- R$ 15,51 M"
43,30/09/2013,"R$ 3,90 M","- R$ 7,07 M","- R$ 10,00 M","- R$ 13,17 M"
44,30/06/2013,"R$ 913,00 mil","- R$ 6,54 M","- R$ 11,71 M","- R$ 17,34 M"
45,31/03/2013,"R$ 8,31 M","- R$ 278,00 mil","- R$ 23,44 M","- R$ 15,42 M"
46,31/12/2012,"R$ 10,72 M","- R$ 21,00 mil","- R$ 23,46 M","- R$ 12,76 M"
47,30/09/2012,"R$ 11,69 M","R$ 6,32 M","- R$ 29,25 M","- R$ 11,24 M"
