,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield,ticker
0,Atual - 18/09/2024,"6,88","0,58","0,76","3,30","0,42","R$ 526,94 M","10,13%",303
1,30/06/2024,"6,79","0,57","0,75","3,25","0,41","R$ 521,71 M","10,28%",303
2,31/03/2024,"5,54","0,56","0,73","3,83","0,40","R$ 512,29 M","10,80%",303
3,31/12/2023,"5,31","0,57","0,75","3,32","0,40","R$ 516,77 M","10,68%",303
4,30/09/2023,"6,00","0,59","0,77","3,10","0,43","R$ 531,03 M","8,05%",303
5,30/06/2023,"5,08","0,58","0,74","2,97","0,41","R$ 503,39 M","10,63%",303
6,31/03/2023,"5,81","0,73","0,91","2,64","0,51","R$ 599,93 M","7,50%",303
7,31/12/2022,"4,58","0,66","0,80","2,38","0,47","R$ 520,78 M","11,98%",303
8,30/09/2022,"5,32","0,76","0,91","4,00","0,55","R$ 608,71 M","10,87%",303
9,30/06/2022,"3,47","0,74","0,87","6,82","0,50","R$ 598,43 M","9,31%",303
10,31/03/2022,"3,01","0,72","0,84","47,01","0,50","R$ 574,75 M","8,13%",303
11,31/12/2021,"4,17","0,98","1,19","-20,23","0,67","R$ 726,93 M","3,64%",303
12,30/09/2021,"4,75","1,15","1,51","11,42","0,86","R$ 876,33 M","4,23%",303
13,30/06/2021,"5,54","1,01","1,31","6,19","0,74","R$ 680,40 M","5,28%",303
14,31/03/2021,"8,42","1,01","1,46","3,81","0,72","R$ 649,03 M","3,93%",303
15,31/12/2020,"8,74","0,98","1,38","3,15","0,69","R$ 621,14 M","4,13%",303
16,30/09/2020,"4,44","0,97","1,39","4,66","0,74","R$ 602,51 M","5,84%",303
17,30/06/2020,"4,03","0,86","1,17","4,87","0,62","R$ 530,04 M","6,71%",303
18,31/03/2020,"3,96","0,86","1,09","8,78","0,63","R$ 522,00 M","6,86%",303
19,31/12/2019,"3,19","0,71","0,86","6,17","0,48","R$ 453,35 M","6,34%",303
20,30/09/2019,"8,94","0,91","1,03","133,29","0,62","R$ 481,65 M","4,55%",303
21,30/06/2019,"9,71","0,96","1,08","14,09","0,71","R$ 496,58 M","4,41%",303
22,31/03/2019,"8,21","0,91","0,99","9,30","0,66","R$ 465,02 M","4,82%",303
23,31/12/2018,"9,47","1,02","1,10","11,58","0,72","R$ 505,78 M","4,35%",303
24,30/09/2018,"8,35","0,90","1,01","9,58","0,68","R$ 470,71 M","5,68%",303
25,30/06/2018,"7,63","0,85","0,96","9,70","0,64","R$ 424,88 M","6,08%",303
26,31/03/2018,"9,72","1,17","1,29","14,39","0,85","R$ 574,47 M","4,78%",303
27,31/12/2017,"9,43","1,21","1,35","13,46","0,85","R$ 582,92 M","4,66%",303
28,30/09/2017,"8,62","1,17","1,36","9,99","0,89","R$ 597,14 M","4,31%",303
29,30/06/2017,"7,20","0,97","1,17","8,09","0,74","R$ 481,30 M","5,17%",303
30,31/03/2017,"6,58","0,92","1,09","6,33","0,68","R$ 429,76 M","6,03%",303
31,31/12/2016,"6,16","0,86","1,01","4,86","0,61","R$ 387,86 M","6,57%",303
32,30/09/2016,"6,67","0,75","0,90","5,00","0,57","R$ 358,88 M","4,40%",303
33,30/06/2016,"5,99","0,67","0,78","3,53","0,50","R$ 315,57 M","5,07%",303
34,31/03/2016,"6,27","0,67","0,76","3,04","0,48","R$ 281,06 M","5,32%",303
35,31/12/2015,"4,70","0,51","0,57","2,64","0,37","R$ 191,60 M","8,43%",303
36,30/09/2015,"5,10","0,59","0,63","2,95","0,43","R$ 239,75 M","6,36%",303
37,30/06/2015,"5,92","0,73","0,74","4,16","0,53","R$ 261,65 M","5,30%",303
38,31/03/2015,"6,35","0,88","0,85","8,35","0,62","R$ 339,50 M","4,54%",303
39,31/12/2014,"5,88","0,87","0,83","12,63","0,59","R$ 338,75 M","4,49%",303
40,30/09/2014,"6,74","0,99","0,96","45,09","0,70","R$ 397,43 M","3,49%",303
41,30/06/2014,"6,64","0,99","0,97","26,22","0,70","R$ 385,75 M","3,61%",303
42,31/03/2014,"7,19","1,03","1,02","9,98","0,70","R$ 385,38 M","3,62%",303
43,31/12/2013,"7,40","1,05","1,04","8,39","0,72","R$ 377,49 M","3,06%",303
44,30/09/2013,"8,44","1,09","1,13","6,59","0,80","R$ 396,01 M","3,02%",303
45,30/06/2013,"7,81","0,97","1,01","6,25","0,72","R$ 341,43 M","3,51%",303
46,31/03/2013,"10,31","1,27","1,28","9,39","0,93","R$ 423,57 M","2,78%",303
47,31/12/2012,"10,55","1,25","1,25","10,13","0,87","R$ 439,86 M","2,88%",303
48,30/09/2012,"11,83","1,31","1,32","9,56","0,97","R$ 406,35 M","2,67%",303
49,30/06/2012,"10,53","1,24","1,24","9,91","0,91","R$ 380,52 M","2,88%",303
50,31/03/2012,"8,42","1,02","1,02","9,45","0,73","R$ 309,81 M","3,61%",303
51,31/12/2011,"9,16","1,12","1,12","10,62","0,76","R$ 329,61 M","6,45%",303
52,30/09/2011,"7,41","0,92","0,96","10,97","0,67","R$ 276,09 M","7,45%",303
53,30/06/2011,"8,06","1,01","1,05","16,03","0,73","R$ 277,24 M","6,94%",303
54,31/03/2011,"8,92","1,07","1,14","12,43","0,77","R$ 308,75 M","6,61%",303
55,31/12/2010,"9,05","1,09","1,15","8,85","0,76","R$ 302,56 M","5,27%",303
56,30/09/2010,"10,01","1,17","1,27","12,20","0,86","R$ 328,02 M","4,60%",303
57,30/06/2010,"9,86","1,11","1,21","8,36","0,81","R$ 293,59 M","4,96%",303
58,31/03/2010,"9,66","1,06","1,17","8,28","0,77","R$ 281,12 M","5,26%",303
59,31/12/2009,"9,92","1,66","1,21","9,11","1,22","R$ 294,42 M","3,32%",303
60,30/09/2009,"10,27","1,66","1,23",,"1,32","R$ 266,74 M","3,03%",303
61,30/06/2009,"8,70","1,46","1,05","17,17","1,20","R$ 229,28 M","3,59%",303
62,31/03/2009,"5,76","1,08","0,73","5,71","0,83","R$ 167,85 M","5,22%",303
63,31/12/2008,"4,45","0,93","0,61","5,47","0,68","R$ 140,59 M","5,78%",303
64,30/09/2008,"4,28","0,88","0,60",,"0,72","R$ 127,26 M","5,27%",303
65,30/06/2008,"13,72","2,80","1,88",,"2,20","R$ 378,50 M","1,72%",303
66,31/03/2008,"15,41","3,10","2,03",,"2,33","R$ 340,29 M","1,66%",303
67,31/12/2007,"17,87","3,39","2,20",,"2,41","R$ 393,32 M","1,59%",303
68,30/09/2007,"19,69","3,83","2,61",,"2,96","R$ 440,56 M","1,50%",303
69,30/06/2007,"22,78","4,25","2,93",,"3,36","R$ 457,29 M","1,39%",303
70,31/03/2007,"21,40","3,52","2,37",,"2,64","R$ 358,87 M","1,83%",303
71,31/12/2006,"16,84","2,57","1,76",,"1,84","R$ 273,10 M","2,58%",303
72,30/09/2006,"9,88","1,38","0,98",,"1,06","R$ 134,08 M","11,28%",303
73,30/06/2006,"10,53","1,41","1,03",,"1,09","R$ 125,82 M","11,28%",303
74,31/03/2006,"11,62","1,51","1,06",,"1,09","R$ 122,70 M","6,05%",303
75,31/12/2005,"12,57","1,45","1,00",,"1,00","R$ 114,49 M","6,41%",303
76,30/09/2005,"11,86","1,43","1,00",,"1,12","R$ 101,60 M","6,41%",303
77,30/06/2005,"10,19","1,46","0,97",,"1,11","R$ 99,04 M","6,41%",303
78,31/03/2005,"4,96","0,90","0,55",,"0,66","R$ 77,28 M","9,85%",303
79,31/12/2004,"4,77","0,90","0,55",,"0,63","R$ 81,87 M","9,85%",303
80,30/09/2004,"5,48","0,90","0,55",,"0,66","R$ 77,26 M","9,85%",303
81,30/06/2004,"6,62","0,94","0,57",,"0,68","R$ 70,39 M","9,85%",303
82,31/03/2004,"878,71","99,22","59,82",,"73,69","R$ 6,41 B","9,85%",303
83,31/12/2003,"923,10","100,12","60,62",,"71,30","R$ 3,23 B","9,85%",303
84,30/09/2003,"5,60","0,60","0,35",,"0,45","R$ 47,74 M","2.987,30%",303
85,30/06/2003,"8,29","0,62","0,36",,"0,46","R$ 42,20 M","2.987,30%",303
86,31/03/2003,"6,40","0,54","0,31",,"0,41","R$ 39,84 M","3.505,51%",303
87,31/12/2002,"7,80","0,54","0,32",,"0,38","R$ 34,43 M","3.505,51%",303
88,30/09/2002,"9,26","0,59","0,33",,"0,44","R$ 31,90 M","3.505,51%",303
89,30/06/2002,"3,41","0,30","0,17",,"0,22","R$ 24,74 M","11.691,94%",303
90,31/03/2002,"2,77","0,32","0,17",,"0,24","R$ 28,61 M","11.691,94%",303
91,31/12/2001,"2,40","0,31","0,16",,"0,21","R$ 29,69 M","11.691,94%",303
92,30/06/2001,"2,06","0,32","0,17",,"0,22","R$ 31,12 M","11.691,94%",303
93,31/03/2001,"2,27","0,35","0,18",,"0,24","R$ 32,53 M","11.691,94%",303
94,31/12/2000,"2,12","0,35","0,19",,"0,23","R$ 32,53 M","11.691,94%",303
95,30/09/2000,"2,04","0,36","0,19",,"0,25","R$ 32,53 M","11.691,94%",303
96,30/06/2000,"2,24","0,36","0,20",,"0,25","R$ 32,53 M","11.691,94%",303
97,31/03/2000,"2,26","0,38","0,21",,"0,27","R$ 32,53 M","11.691,94%",303
