,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 130,88 M","- R$ 998,70 M","- R$ 326,80 M","- R$ 1,19 B"
1,31/03/2024,"R$ 183,27 M","R$ 162,83 M","R$ 674,20 M","R$ 1,02 B"
2,31/12/2023,"- R$ 81,24 M","R$ 99,60 M","- R$ 51,60 M","- R$ 33,23 M"
3,30/09/2023,"R$ 207,95 M","- R$ 683,92 M","R$ 30,15 M","- R$ 445,82 M"
4,30/06/2023,"R$ 353,42 M","- R$ 268,20 M","- R$ 845,24 M","- R$ 760,02 M"
5,31/03/2023,"R$ 109,72 M","R$ 546,13 M","R$ 492,53 M","R$ 1,15 B"
6,31/12/2022,"R$ 226,52 M","R$ 229,81 M","- R$ 288,04 M","R$ 168,29 M"
7,30/09/2022,"R$ 228,71 M","- R$ 261,84 M","- R$ 20,12 M","- R$ 53,25 M"
8,30/06/2022,"R$ 60,64 M","R$ 11,17 M","- R$ 166,77 M","- R$ 94,96 M"
9,31/03/2022,"R$ 83,82 M","- R$ 78,23 M","R$ 28,22 M","R$ 33,81 M"
10,31/12/2021,"- R$ 102,28 M","R$ 212,24 M","- R$ 58,65 M","R$ 51,31 M"
11,30/09/2021,"R$ 321,83 M","- R$ 221,68 M","- R$ 959,81 M","- R$ 859,67 M"
12,30/06/2021,"R$ 460,17 M","- R$ 263,19 M","R$ 40,32 M","R$ 237,31 M"
13,31/03/2021,"R$ 219,20 M","- R$ 1,56 B","R$ 123,31 M","- R$ 1,21 B"
14,31/12/2020,"R$ 385,57 M","R$ 111,54 M","R$ 770,70 M","R$ 1,27 B"
15,30/09/2020,"R$ 264,96 M","- R$ 36,50 M","- R$ 749,06 M","- R$ 520,61 M"
16,30/06/2020,"R$ 388,54 M","- R$ 257,34 M","R$ 431,68 M","R$ 562,88 M"
17,31/03/2020,"R$ 337,37 M","- R$ 9,33 M","- R$ 166,74 M","R$ 161,31 M"
18,31/12/2019,"R$ 319,33 M","R$ 703,17 M","- R$ 433,64 M","R$ 588,86 M"
19,30/09/2019,"R$ 338,30 M","R$ 93,48 M","- R$ 438,72 M","- R$ 6,93 M"
20,30/06/2019,"R$ 303,08 M","- R$ 243,55 M","- R$ 63,46 M","- R$ 3,93 M"
21,31/03/2019,"R$ 389,99 M","- R$ 395,93 M","R$ 7,17 M","R$ 1,23 M"
22,31/12/2018,"R$ 328,82 M","R$ 910,31 M","- R$ 1,24 B","R$ 4,00 M"
23,30/09/2018,"R$ 395,67 M","- R$ 759,16 M","R$ 369,17 M","R$ 5,68 M"
24,30/06/2018,"R$ 393,08 M","- R$ 117,93 M","- R$ 279,84 M","- R$ 4,69 M"
25,31/03/2018,"R$ 196,81 M","- R$ 135,94 M","- R$ 55,71 M","R$ 5,16 M"
26,31/12/2017,"R$ 288,62 M","- R$ 21,19 M","- R$ 271,56 M","- R$ 4,13 M"
27,30/09/2017,"R$ 196,84 M","- R$ 433,95 M","R$ 242,81 M","R$ 5,71 M"
28,30/06/2017,"R$ 135,19 M","R$ 152,82 M","- R$ 288,62 M","- R$ 609,00 mil"
29,31/03/2017,"- R$ 53,79 M","- R$ 79,59 M","R$ 134,47 M","R$ 1,09 M"
30,31/12/2016,"R$ 11,43 M","R$ 243,17 M","- R$ 254,58 M","R$ 21,00 mil"
31,30/09/2016,"R$ 7,57 M","- R$ 125,88 M","R$ 119,18 M","R$ 868,00 mil"
32,30/06/2016,"R$ 71,40 M","R$ 3,61 M","- R$ 76,68 M","- R$ 1,67 M"
33,31/03/2016,"R$ 44,63 M","- R$ 19,90 M","- R$ 25,56 M","- R$ 827,00 mil"
34,31/12/2015,"R$ 83,61 M","R$ 157,29 M","- R$ 241,19 M","- R$ 293,00 mil"
35,30/09/2015,"R$ 226,70 M","- R$ 204,69 M","- R$ 22,96 M","- R$ 944,00 mil"
36,30/06/2015,"R$ 242,78 M","R$ 33,13 M","- R$ 274,17 M","R$ 1,74 M"
37,31/03/2015,"- R$ 22,20 M","R$ 78,11 M","- R$ 54,98 M","R$ 939,00 mil"
38,31/12/2014,"- R$ 25,12 M","R$ 315,49 M","- R$ 291,89 M","- R$ 1,52 M"
39,30/09/2014,"R$ 250,62 M","- R$ 261,50 M","R$ 13,39 M","R$ 2,51 M"
40,30/06/2014,"R$ 134,28 M","- R$ 72,17 M","- R$ 62,12 M","- R$ 16,00 mil"
41,31/03/2014,"R$ 136,12 M","- R$ 3,70 M","- R$ 132,97 M","- R$ 544,00 mil"
42,31/12/2013,"R$ 102,63 M","R$ 573,16 M","- R$ 676,29 M","- R$ 499,00 mil"
43,30/09/2013,"R$ 154,12 M","- R$ 109,39 M","- R$ 51,74 M","- R$ 7,01 M"
44,30/06/2013,"R$ 116,41 M","R$ 62,96 M","- R$ 180,90 M","- R$ 1,53 M"
45,31/03/2013,"R$ 1,58 B","- R$ 1,38 B","- R$ 491,30 M","- R$ 296,29 M"
46,31/12/2012,"- R$ 17,50 M","- R$ 170,15 M","R$ 22,30 M","- R$ 165,35 M"
47,30/09/2012,"R$ 70,54 M","- R$ 6,32 M","R$ 204,92 M","R$ 269,13 M"
48,30/06/2012,"R$ 92,84 M","- R$ 1,01 M","- R$ 89,54 M","R$ 2,29 M"
49,31/03/2012,"R$ 40,43 M","- R$ 41,00 mil","- R$ 39,25 M","R$ 1,14 M"
50,31/12/2011,"- R$ 93,38 M","- R$ 766,00 mil","- R$ 26,03 M","- R$ 120,17 M"
51,30/09/2011,"R$ 31,86 M","- R$ 451,00 mil","R$ 78,87 M","R$ 110,27 M"
52,30/06/2011,"R$ 8,41 M","- R$ 2,68 M","R$ 48,46 M","R$ 54,20 M"
53,31/03/2011,"R$ 27,71 M","- R$ 14,03 M","R$ 94,33 M","R$ 108,02 M"
