,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"6,32%","6,26%","9,57%","9,49%","9,11%","5,21%","66,53%","31,62%","55,62%","70,98%","0,16","1,96","0,96","4,08"
1,30/06/2024,"6,08%","6,04%","9,22%","9,14%","8,21%","4,54%","66,32%","28,82%","55,91%","71,25%","0,16","2,03","1,03","4,75"
2,31/03/2024,"5,53%","5,49%","8,38%","8,32%","8,37%","4,23%","65,27%","28,88%","54,82%","69,81%","0,15","1,83","0,83","4,06"
3,31/12/2023,"5,79%","5,75%","8,77%","8,71%","7,44%","3,79%","63,86%","26,33%","53,76%","68,83%","0,14","1,87","0,87","4,15"
4,30/09/2023,"5,31%","5,37%","8,05%","8,13%","6,95%","3,68%","61,96%","24,53%","51,62%","66,73%","0,15","1,75","0,75","3,78"
5,30/06/2023,"5,41%","5,47%","8,19%","8,28%","8,74%","4,10%","60,23%","25,61%","49,05%","64,35%","0,16","1,81","0,81","4,27"
6,31/03/2023,"4,90%","5,05%","7,43%","7,65%","2,13%","1,00%","59,45%","6,87%","49,06%","64,63%","0,15","1,98","0,98","5,37"
7,31/12/2022,"4,64%","4,79%","7,03%","7,26%","0,22%","0,10%","58,59%","0,74%","48,68%","64,33%","0,14","1,97","0,97","4,66"
8,30/09/2022,"4,41%","6,00%","6,68%","9,09%","0,91%","0,22%","60,31%","1,53%","45,08%","60,31%","0,14","1,89","0,89","5,10"
9,30/06/2022,"4,24%","5,86%","6,42%","8,88%","-6,15%","-1,54%","59,45%","-11,19%","45,10%","60,82%","0,14","2,14","1,14","5,45"
10,31/03/2022,"3,82%","5,04%","5,79%","7,63%","12,34%","2,89%","57,76%","22,04%","42,48%","59,59%","0,13","2,13","1,13","6,18"
11,31/12/2021,"3,34%","4,36%","5,05%","6,61%","14,78%","3,41%","56,97%","27,86%","39,79%","57,89%","0,12","2,15","1,15","6,81"
12,30/09/2021,"3,58%","4,80%","5,43%","7,27%","10,45%","2,62%","52,83%","23,03%","46,37%","67,50%","0,11","4,12","3,12","6,91"
13,30/06/2021,"3,64%","4,90%","5,52%","7,42%","16,88%","4,11%","54,63%","37,51%","47,40%","68,98%","0,11","3,99","2,99","6,76"
14,31/03/2021,"3,92%","5,33%","5,93%","8,08%","6,48%","1,65%","58,13%","14,46%","48,64%","70,30%","0,11","4,26","3,26","7,16"
15,31/12/2020,"4,06%","5,58%","6,15%","8,45%","4,98%","1,33%","59,31%","11,31%","49,40%","71,42%","0,12","4,34","3,34","7,34"
16,30/09/2020,"4,80%","6,64%","7,27%","10,06%","6,18%","1,72%","62,85%","13,30%","53,73%","74,16%","0,13","4,00","3,00","5,80"
17,30/06/2020,"5,33%","7,33%","8,08%","11,11%","6,77%","1,86%","63,98%","14,16%","58,58%","78,29%","0,13","4,11","3,11","5,24"
18,31/03/2020,"5,78%","7,98%","8,76%","12,08%","7,22%","1,97%","64,99%","14,35%","60,86%","79,03%","0,14","3,92","2,92","4,48"
19,31/12/2019,"6,23%","8,50%","9,44%","12,87%","8,90%","2,38%","66,61%","17,03%","63,93%","80,88%","0,14","3,74","2,74","3,96"
20,30/09/2019,"5,83%","7,92%","8,83%","12,00%","7,65%","2,08%","68,02%","14,82%","60,18%","76,62%","0,14","3,59","2,59","3,95"
21,30/06/2019,"5,66%","7,66%","8,57%","11,61%","7,48%","2,00%","68,91%","14,38%","58,53%","74,47%","0,14","3,65","2,65","4,10"
22,31/03/2019,"5,95%","8,26%","9,02%","12,52%","7,49%","2,11%","69,25%","14,68%","59,49%","75,12%","0,14","3,66","2,66","4,11"
23,31/12/2018,"5,85%","8,06%","8,87%","12,21%","7,70%","2,13%","69,92%","15,24%","60,21%","75,38%","0,14","3,73","2,73","4,23"
