,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/06/2024,"7,29%","13,32%","11,05%","20,18%","-10,79%","-1,42%","38,67%","-2,06%","12,40%","14,15%","0,69","8,89","7,89","3,54"
1,31/03/2024,"7,13%","13,59%","10,80%","20,58%","-4,86%","-0,61%","38,35%","-0,90%","12,36%","14,18%","0,67","8,95","7,95","3,45"
2,31/12/2023,"6,78%","12,79%","10,27%","19,37%","-4,31%","-0,53%","37,69%","-0,82%","12,38%","14,28%","0,65","9,21","8,21","3,59"
3,30/09/2023,"-60,41%","-14,31%","-91,53%","-21,69%","-120,88%","69,75%","37,25%","111,55%","10,99%","12,95%","0,63","8,50","7,50","3,68"
4,30/06/2023,"-65,65%","-16,29%","-99,47%","-24,69%","-123,55%","71,63%","37,96%","112,86%","12,74%","14,71%","0,63","7,60","6,60","3,18"
5,31/03/2023,"-58,81%","-15,82%","-89,10%","-23,97%","-120,98%","71,36%","37,73%","113,39%","12,87%","14,86%","0,63","8,01","7,01","3,06"
6,31/12/2022,"-53,98%","-14,04%","-81,79%","-21,27%","-121,82%","70,67%","37,25%","115,86%","12,00%","14,02%","0,61","8,11","7,11","3,52"
7,30/09/2022,"14,93%","43,41%","22,63%","65,78%","552,74%","-52,22%","36,60%","-86,19%","13,16%","15,18%","0,61","-1,73","-2,73","3,02"
8,30/06/2022,"15,58%","52,48%","23,61%","79,51%","477,43%","-52,55%","36,13%","-85,52%","13,38%","15,43%","0,61","-1,72","-2,72","2,89"
9,31/03/2022,"18,52%","79,38%","28,07%","120,27%","424,28%","-52,13%","36,42%","-83,87%","13,74%","15,90%","0,62","-1,70","-2,70","2,80"
10,31/12/2021,"20,34%","161,77%","30,82%","245,11%","374,79%","-51,59%","36,60%","-82,86%","13,82%","15,91%","0,62","-1,72","-2,72","2,68"
11,30/09/2021,"24,50%","-569,04%","37,12%","-862,18%","-25,08%","3,67%","36,44%","5,87%","13,75%","15,82%","0,62","-10,59","-11,59","2,50"
12,30/06/2021,"27,57%","-194,01%","41,77%","-293,95%","-21,19%","3,35%","36,42%","5,40%","13,15%","15,22%","0,62","-9,08","-10,08","2,59"
13,31/03/2021,"14,34%","108,75%","21,73%","164,78%","-3,02%","0,42%","34,46%","0,79%","10,96%","13,05%","0,53","-8,14","-9,14","3,03"
14,31/12/2020,"10,72%","56,97%","16,24%","86,33%","6,17%","-0,86%","33,68%","-1,74%","9,39%","11,73%","0,50","-7,26","-8,26","3,18"
15,30/09/2020,"10,75%","71,40%","16,28%","108,19%","11,16%","-1,55%","33,48%","-3,26%","8,96%","11,52%","0,47","-6,84","-7,84","2,60"
16,30/06/2020,"8,53%","58,18%","12,93%","88,15%","17,50%","-2,39%","32,44%","-5,29%","7,72%","10,16%","0,45","-6,33","-7,33","2,85"
