,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao
39,30/09/2014,"R$ 920,06 M","R$ 1,22 M","R$ 0,49",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
40,30/06/2014,"R$ 915,60 M","R$ 5,01 M","R$ 2,02",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
41,31/03/2014,"R$ 920,29 M","R$ 12,92 M","R$ 5,21",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
42,31/12/2013,"R$ 932,87 M","R$ 36,56 M","R$ 14,74",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
43,30/09/2013,"R$ 917,56 M","R$ 34,15 M","R$ 13,77",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
44,30/06/2013,"R$ 896,11 M","R$ 37,08 M","R$ 14,95",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
45,31/03/2013,"R$ 890,05 M","R$ 35,68 M","R$ 14,39",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
46,31/12/2012,"R$ 870,77 M","R$ 31,81 M","R$ 0,11",297.631.213,0,0,297.631.213,93.743,0,0,93.743,297.537.470,0,297.537.470
47,30/09/2012,"R$ 918,04 M","R$ 46,17 M","R$ 0,16",297.631.213,0,0,297.631.213,93.743,0,0,93.743,297.537.470,0,297.537.470
48,30/06/2012,"R$ 899,84 M","R$ 47,08 M","R$ 0,16",297.631.213,0,0,297.631.213,93.743,0,0,93.743,297.537.470,0,297.537.470
49,31/03/2012,"R$ 893,62 M","R$ 34,43 M","R$ 0,13",257.090.672,0,0,257.090.672,85.909,0,0,85.909,257.004.763,0,257.004.763
50,31/12/2011,"R$ 887,49 M","R$ 39,44 M","R$ 0,14",147.829.050,136.577.028,136.577.028,284.406.078,84,8.118,8.118,8.202,147.828.966,136.568.910,284.397.876
51,30/09/2011,"R$ 901,16 M","R$ 68,91 M","R$ 0,24",147.829.000,136.577.000,136.577.000,284.406.000,84.000,8.118.000,8.118.000,8.202.000,147.745.000,128.459.000,276.204.000
52,30/06/2011,"R$ 894,75 M","R$ 76,11 M","R$ 0,27",147.829.000,136.577.000,136.577.000,284.406.000,84.000,8.118.000,8.118.000,8.202.000,147.745.000,128.459.000,276.204.000
53,31/03/2011,"R$ 888,60 M","R$ 85,96 M","R$ 1,81",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
54,31/12/2010,"R$ 879,89 M","R$ 91,64 M","R$ 1,93",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
55,30/09/2010,"R$ 905,28 M","R$ 115,16 M","R$ 2,43",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
56,30/06/2010,"R$ 889,32 M","R$ 79,36 M","R$ 1,67",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
57,31/03/2010,"R$ 856,57 M","R$ 77,96 M","R$ 1,64",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
58,31/12/2009,"R$ 852,84 M","R$ 83,11 M","R$ 1,75",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
59,30/09/2009,"R$ 842,80 M","R$ 139,71 M","R$ 2,95",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
60,30/06/2009,"R$ 852,30 M","R$ 142,48 M","R$ 3,01",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
61,31/03/2009,"R$ 851,11 M","R$ 145,00 M","R$ 3,06",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
62,31/12/2008,"R$ 866,23 M","R$ 146,52 M","R$ 3,09",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
63,30/09/2008,"R$ 878,68 M","R$ 175,86 M","R$ 3,71",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
64,30/06/2008,"R$ 874,58 M","R$ 168,28 M","R$ 3,55",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
65,31/03/2008,"R$ 868,03 M","R$ 168,84 M","R$ 3,56",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
66,31/12/2007,"R$ 845,08 M","R$ 165,73 M","R$ 3,50",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
67,30/09/2007,"R$ 785,64 M","R$ 108,16 M","R$ 2,28",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
68,30/06/2007,"R$ 770,31 M","R$ 108,53 M","R$ 2,29",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
69,31/03/2007,"R$ 782,44 M","R$ 107,68 M","R$ 2,27",24.638.000,22.763.000,22.763.000,47.401.000,0,0,0,0,24.638.000,22.763.000,47.401.000
