"","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Ano"
"2024","0,61%","0,55%","0,10%","0,42%","0,53%","0,22%","0,54%","-0,16%","0,63%","--","--","--","3,49%"
"2023","0,80%","0,34%","0,74%","0,50%","0,08%","-0,10%","0,07%","-0,22%","0,27%","0,45%","0,27%","0,29%","3,54%"
"2022","0,49%","0,28%","1,35%","1,08%","0,50%","0,67%","-1,19%","-0,57%","0,02%","0,69%","0,57%","0,35%","4,30%"
"2021","0,27%","0,54%","1,00%","0,23%","0,81%","0,64%","0,92%","0,71%","1,43%","0,77%","1,08%","0,57%","9,34%"
"2020","0,59%","-0,01%","0,34%","-0,18%","-0,54%","0,36%","0,49%","0,53%","0,82%","0,65%","0,94%","1,07%","5,17%"
"2019","0,57%","0,35%","0,65%","0,63%","0,22%","-0,02%","0,31%","0,17%","0,00%","-0,09%","0,49%","0,77%","4,12%"
"2018","0,69%","0,17%","0,17%","0,34%","0,41%","1,19%","0,17%","0,07%","0,45%","0,48%","-0,17%","0,29%","4,34%"
"2017","0,69%","0,31%","0,47%","0,12%","0,52%","-0,32%","0,38%","0,13%","-0,02%","0,33%","0,36%","0,21%","3,22%"
"2016","1,78%","0,76%","0,50%","0,49%","0,64%","0,26%","0,37%","0,32%","0,07%","0,34%","0,17%","0,33%","6,19%"
"2015","1,73%","0,97%","1,41%","0,61%","0,72%","0,82%","0,53%","0,22%","0,42%","0,76%","1,00%","0,88%","10,54%"
"2014","0,99%","0,66%","0,85%","0,77%","0,52%","0,33%","0,10%","0,12%","0,49%","0,43%","0,65%","0,75%","6,86%"
"2013","1,01%","0,33%","0,72%","0,52%","0,32%","0,35%","-0,17%","0,20%","0,30%","0,55%","0,68%","0,69%","5,64%"
"2012","0,81%","0,24%","0,60%","0,52%","0,52%","0,11%","0,22%","0,44%","0,54%","0,48%","0,45%","0,66%","5,73%"
"2011","1,27%","0,49%","0,71%","0,95%","0,51%","-0,18%","-0,04%","0,40%","0,50%","0,26%","0,53%","0,79%","6,36%"
"2010","1,29%","0,68%","0,86%","0,76%","0,21%","-0,21%","-0,21%","-0,08%","0,46%","0,59%","1,00%","0,72%","6,23%"
"2009","0,83%","0,21%","0,61%","0,47%","0,39%","0,12%","0,34%","0,20%","0,18%","0,01%","0,26%","0,24%","3,93%"
"2008","0,97%","0,00%","0,45%","0,72%","0,87%","0,77%","0,53%","0,14%","-0,09%","0,47%","0,56%","0,52%","6,07%"
"2007","0,69%","0,34%","0,48%","0,31%","0,25%","0,42%","0,28%","0,42%","0,23%","0,13%","0,27%","0,70%","4,61%"
"2006","0,65%","0,01%","0,22%","0,34%","-0,19%","-0,40%","0,06%","0,16%","0,19%","0,14%","0,24%","0,63%","2,06%"
"2005","0,85%","0,43%","0,70%","0,88%","0,79%","-0,05%","0,13%","-0,44%","0,09%","0,42%","0,57%","0,46%","4,93%"
"2004","1,08%","0,28%","0,46%","0,31%","0,71%","0,78%","0,59%","0,79%","0,01%","0,10%","0,37%","0,63%","6,28%"
"2003","2,32%","1,37%","1,06%","1,12%","0,69%","-0,16%","0,34%","0,13%","0,76%","0,21%","0,33%","0,43%","8,92%"
"2002","0,79%","0,14%","0,42%","0,71%","0,28%","0,55%","1,03%","0,76%","0,66%","1,14%","3,14%","1,94%","12,15%"
"2001","0,64%","0,40%","0,56%","0,86%","0,41%","0,52%","1,36%","0,54%","0,12%","0,71%","0,85%","0,70%","7,94%"
"2000","1,01%","0,05%","0,51%","0,25%","0,40%","-0,01%","1,91%","0,86%","0,04%","0,02%","0,40%","0,62%","6,21%"
