Data,Periodo,MetaSelic,Percentual,PercentualAnual
20/01/21,21/01/2021 - 17/03/2021,2,"0,28","1,9"
09/12/20,10/12/2020 - 20/01/2021,2,"0,21","1,9"
28/10/20,29/10/2020 - 09/12/2020,2,"0,22","1,9"
16/09/20,17/09/2020 - 28/10/2020,2,"0,22","1,9"
05/08/20,06/08/2020 - 16/09/2020,2,"0,22","1,9"
17/06/20,18/06/2020 - 05/08/2020,"2,25","0,3","2,15"
06/05/20,07/05/2020 - 17/06/2020,3,"0,32","2,9"
18/03/20,19/03/2020 - 06/05/2020,"3,75","0,46","3,65"
05/02/20,06/02/2020 - 18/03/2020,"4,25","0,45","4,15"
11/12/19,12/12/2019 - 05/02/2020,"4,5","0,65","4,4"
30/10/19,31/10/2019 - 11/12/2019,5,"0,55","4,9"
18/09/19,19/09/2019 - 30/10/2019,"5,5","0,63","5,4"
31/07/19,01/08/2019 - 18/09/2019,6,"0,8","5,9"
19/06/19,21/06/2019 - 31/07/2019,"6,5","0,72","6,4"
08/05/19,09/05/2019 - 20/06/2019,"6,5","0,74","6,4"
20/03/19,21/03/2019 - 08/05/2019,"6,5","0,82","6,4"
06/02/19,07/02/2019 - 20/03/2019,"6,5","0,69","6,4"
12/12/18,13/12/2018 - 06/02/2019,"6,5","0,94","6,4"
31/10/18,01/11/2018 - 12/12/2018,"6,5","0,69","6,4"
19/09/18,20/09/2018 - 31/10/2018,"6,5","0,72","6,4"
01/08/18,02/08/2018 - 19/09/2018,"6,5","0,84","6,4"
20/06/18,21/06/2018 - 01/08/2018,"6,5","0,74","6,4"
16/05/18,17/05/2018 - 20/06/2018,"6,5","0,59","6,4"
21/03/18,22/03/2018 - 16/05/2018,"6,5","0,94","6,4"
07/02/18,08/02/2018 - 21/03/2018,"6,75","0,72","6,65"
06/12/17,07/12/2017 - 07/02/2018,7,"1,15","6,9"
25/10/17,26/10/2017 - 06/12/2017,"7,5","0,8","7,4"
06/09/17,08/09/2017 - 25/10/2017,"8,25","1,03","8,15"
26/07/17,27/07/2017 - 06/09/2017,"9,25","1,05","9,15"
