,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 7,61 B","- R$ 10,49 B","R$ 109,80 M","- R$ 2,76 B"
1,31/03/2024,"R$ 7,12 B","- R$ 10,09 B","R$ 684,33 M","- R$ 2,28 B"
2,31/12/2023,"R$ 6,68 B","- R$ 6,52 B","R$ 221,30 M","R$ 382,22 M"
3,30/09/2023,"R$ 5,86 B","- R$ 4,91 B","- R$ 450,25 M","R$ 491,90 M"
4,30/06/2023,"R$ 5,96 B","- R$ 4,48 B","R$ 1,29 B","R$ 2,76 B"
5,31/03/2023,"R$ 5,97 B","- R$ 3,83 B","R$ 268,49 M","R$ 2,41 B"
6,31/12/2022,"R$ 5,69 B","- R$ 5,09 B","- R$ 448,98 M","R$ 142,70 M"
7,30/09/2022,"R$ 3,42 B","- R$ 5,75 B","R$ 2,02 B","- R$ 315,46 M"
8,30/06/2022,"R$ 2,15 B","- R$ 5,77 B","R$ 3,26 B","- R$ 368,41 M"
9,31/03/2022,"R$ 1,34 B","- R$ 3,93 B","R$ 2,40 B","- R$ 194,94 M"
10,31/12/2021,"R$ 881,74 M","- R$ 2,79 B","R$ 1,62 B","- R$ 288,60 M"
11,30/09/2021,"R$ 2,52 B","- R$ 3,27 B","R$ 173,11 M","- R$ 576,29 M"
12,30/06/2021,"R$ 4,45 B","- R$ 4,24 B","- R$ 1,10 B","- R$ 890,45 M"
13,31/03/2021,"R$ 4,82 B","- R$ 3,82 B","- R$ 1,07 B","- R$ 73,12 M"
14,31/12/2020,"R$ 4,81 B","- R$ 5,37 B","R$ 966,97 M","R$ 399,00 M"
15,30/09/2020,"R$ 4,81 B","- R$ 4,88 B","R$ 581,00 M","R$ 506,56 M"
16,30/06/2020,"R$ 3,28 B","- R$ 2,12 B","R$ 93,98 M","R$ 1,26 B"
17,31/03/2020,"R$ 2,72 B","- R$ 3,61 B","R$ 1,52 B","R$ 621,54 M"
18,31/12/2019,"R$ 2,58 B","- R$ 1,40 B","- R$ 1,23 B","- R$ 43,64 M"
19,30/09/2019,"- R$ 36,51 M","- R$ 2,53 B","R$ 2,27 B","- R$ 305,65 M"
20,30/06/2019,"- R$ 430,36 M","- R$ 2,86 B","R$ 2,94 B","- R$ 352,37 M"
21,31/03/2019,"- R$ 605,94 M","- R$ 2,53 B","R$ 2,88 B","- R$ 253,32 M"
22,31/12/2018,"- R$ 968,28 M","- R$ 3,23 B","R$ 3,98 B","- R$ 214,74 M"
23,30/09/2018,"R$ 738,72 M","- R$ 1,24 B","R$ 795,55 M","R$ 290,60 M"
24,30/06/2018,"R$ 792,09 M","- R$ 1,22 B","R$ 874,37 M","R$ 447,17 M"
