,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 26/09/2024,"1,28","0,45","0,52","-1,83","0,13","R$ 59,82 M","0,00%"
1,30/06/2024,"1,45","0,51","0,59","-2,06","0,14","R$ 67,61 M","0,00%"
2,31/03/2024,"1,22","0,44","0,67","-3,54","0,14","R$ 67,42 M","0,00%"
3,31/12/2023,"1,51","0,50","0,92","-72,91","0,16","R$ 79,61 M","0,00%"
4,30/09/2023,"2,62","0,59","1,02","-6,58","0,19","R$ 93,87 M","0,00%"
5,30/06/2023,"2,40","0,60","0,98","-6,26","0,19","R$ 93,53 M","0,00%"
6,31/03/2023,"3,42","0,59","1,00","-10,14","0,19","R$ 102,12 M","0,00%"
7,31/12/2022,"2,17","0,63","1,08","-4,85","0,21","R$ 118,98 M","0,00%"
8,30/09/2022,"-3,78","0,92","0,90","-4,11","0,21","R$ 104,11 M","0,00%"
9,30/06/2022,"-13,60","1,01","1,15","-4,87","0,25","R$ 126,48 M","0,00%"
10,31/03/2022,"8,76","1,08","1,37","-4,79","0,29","R$ 143,13 M","0,00%"
11,31/12/2021,"-3,91","1,11","1,73","-11,04","0,32","R$ 161,60 M","0,00%"
12,30/09/2021,"2,20","1,60","2,61","11,10","0,42","R$ 212,84 M","0,00%"
13,30/06/2021,"2,27","1,42","2,32","10,88","0,35","R$ 168,30 M","0,00%"
14,31/03/2021,"6,54","2,00","4,59","7,78","0,55","R$ 272,72 M","0,00%"
15,31/12/2020,"3,18","0,47","1,20","3,10","0,13","R$ 65,39 M","0,00%"
16,30/09/2020,"-0,41","1,31","1,18","1,14","0,11","R$ 53,25 M","0,00%"
17,30/06/2020,"-0,65","1,03","1,48","1,50","0,11","R$ 56,73 M","0,00%"
18,31/03/2020,"-0,50","0,46","0,91","1,38","0,07","R$ 35,05 M","0,00%"
19,31/12/2019,"-1,03","0,27","0,83","0,86","0,05","R$ 27,02 M","0,00%"
20,30/09/2019,"-1,78","0,38","0,25","-1,41","0,06","R$ 31,86 M","0,00%"
21,30/06/2019,"-0,43","0,54","0,18","16,63","0,05","R$ 25,81 M","0,00%"
22,31/03/2019,"-0,28","0,45","0,20","10,47","0,05","R$ 28,22 M","0,00%"
23,31/12/2018,"-0,33","0,37","0,25","-1,37","0,05","R$ 31,47 M","0,00%"
24,30/09/2018,"-0,31","0,33","0,28","-0,89","0,06","R$ 32,66 M","0,00%"
25,30/06/2018,"-0,64","0,25","0,25","-0,93","0,04","R$ 25,87 M","0,00%"
26,31/03/2018,"-1,55","0,41","0,32","-1,18","0,06","R$ 33,29 M","0,00%"
27,31/12/2017,"-4,91","0,31","0,24","-1,65","0,05","R$ 26,96 M","0,00%"
