,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
0,30/06/2024,"2.831,60%","20,27%","21,15%","18,95%","1,07","10,13","9,13"
1,31/03/2024,"-1.422,40%","19,44%","21,09%","16,98%","1,14","17,39","16,39"
2,31/12/2023,"136,41%","11,12%","21,32%","9,29%","1,20","8,11","7,11"
3,30/09/2023,"21,14%","2,72%","22,25%","2,21%","1,23","31,53","30,53"
4,30/06/2023,"35,95%","3,54%","20,96%","2,60%","1,36","139,72","138,72"
5,31/03/2023,"62,81%","4,26%","20,22%","3,10%","1,37","-73,15","-74,15"
6,31/12/2022,"163,90%","14,76%","19,82%","10,40%","1,42","12,26","11,26"
7,30/09/2022,"80,67%","12,68%","23,45%","10,42%","1,22","7,79","6,79"
8,30/06/2022,"128,25%","16,29%","26,16%","13,05%","1,25","10,15","9,15"
9,31/03/2022,"222,31%","20,96%","28,26%","16,08%","1,30","14,75","13,75"
10,31/12/2021,"359,14%","19,96%","30,00%","18,10%","1,10","11,10","10,10"
11,30/09/2021,"167,31%","17,50%","31,26%","19,22%","0,91","6,36","5,36"
12,30/06/2021,"180,34%","14,80%","31,39%","17,35%","0,85","7,87","6,87"
13,31/03/2021,"166,43%","15,00%","32,67%","15,29%","0,98","10,61","9,61"
14,31/12/2020,"221,48%","13,61%","33,80%","13,83%","0,98","17,99","16,99"
15,30/09/2020,"32,15%","12,29%","34,16%","14,13%","0,87","9,56","8,56"
16,30/06/2020,"40,88%","14,68%","34,75%","15,19%","0,97","12,18","11,18"
17,31/03/2020,"52,91%","17,97%","34,28%","15,84%","1,13","11,10","10,10"
18,31/12/2019,"50,24%","16,35%","32,71%","14,37%","1,14","16,27","15,27"
19,30/09/2019,"74,58%","20,70%","30,81%","20,89%","0,99","2,62","1,62"
20,30/06/2019,"69,80%","17,78%","28,56%","19,58%","0,91","2,78","1,78"
21,31/03/2019,"62,11%","16,45%","26,92%","18,21%","0,90","2,94","1,94"
22,31/12/2018,"62,11%","16,45%","26,92%","18,21%","0,90","2,94","1,94"
23,30/09/2018,"24,37%","7,55%","31,02%","10,32%","0,73","3,60","2,60"
24,30/06/2018,"27,21%","8,07%","34,14%","11,28%","0,72","3,93","2,93"
25,31/03/2018,"30,26%","8,72%","36,20%","12,29%","0,71","3,78","2,78"
26,31/12/2017,"24,71%","7,38%","36,94%","11,56%","0,64","4,30","3,30"
27,30/09/2017,"21,52%","7,24%","37,09%","11,03%","0,66","3,23","2,23"
28,30/06/2017,"23,68%","7,63%","38,51%","11,51%","0,66","3,37","2,37"
29,31/03/2017,"35,59%","10,23%","42,63%","14,67%","0,70","3,47","2,47"
30,31/12/2016,"28,32%","10,16%","43,89%","15,93%","0,64","3,35","2,35"
31,30/09/2016,"30,94%","11,98%","42,91%","16,85%","0,71","2,97","1,97"
32,30/06/2016,"32,11%","12,13%","38,66%","15,51%","0,78","3,10","2,10"
33,31/03/2016,"27,52%","10,65%","34,78%","13,33%","0,80","3,48","2,48"
34,31/12/2015,"22,48%","9,15%","30,57%","10,59%","0,86","2,79","1,79"
35,30/09/2015,"19,47%","8,19%","28,74%","9,26%","0,88","2,58","1,58"
36,30/06/2015,"19,21%","7,87%","29,08%","8,82%","0,89","2,65","1,65"
37,31/03/2015,"19,16%","7,44%","28,47%","8,33%","0,89","2,58","1,58"
38,31/12/2014,"23,02%","8,84%","29,63%","9,58%","0,92","2,46","1,46"
39,30/09/2014,"24,29%","9,50%","30,15%","9,97%","0,95","2,38","1,38"
40,30/06/2014,"25,90%","9,69%","29,80%","9,94%","0,97","2,44","1,44"
