,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield,ticker
0,Atual - 17/09/2024,"10,46","1,02","0,92","11,70","0,10","R$ 114,63 B","5,27%",238
1,30/06/2024,"9,77","0,96","0,85","10,92","0,09","R$ 106,53 B","5,65%",238
2,31/03/2024,"12,17","1,00","0,90","-7,21","0,10","R$ 108,15 B","5,50%",238
3,31/12/2023,"11,98","0,99","0,88","3,09","0,10","R$ 107,12 B","5,59%",238
4,30/09/2023,"10,31","0,94","0,84","2,15","0,09","R$ 101,22 B","4,68%",238
5,30/06/2023,"13,33","1,03","0,94","-13,25","0,11","R$ 109,81 B","7,35%",238
6,31/03/2023,"7,91","0,95","0,88","-22,74","0,10","R$ 99,48 B","6,52%",238
7,31/12/2022,"7,67","0,99","0,95","16,01","0,11","R$ 102,95 B","9,43%",238
8,30/09/2022,"7,53","1,03","1,03","8,72","0,11","R$ 107,46 B","10,57%",238
9,30/06/2022,"7,26","1,04","1,13","200,56","0,12","R$ 106,60 B","10,64%",238
10,31/03/2022,"8,25","1,19","1,42","68,54","0,13","R$ 120,71 B","12,00%",238
11,31/12/2021,"8,16","1,20",,"18,62","0,14","R$ 119,51 B","8,44%",238
12,30/09/2021,"8,96","1,33","1,64","32,49","0,15","R$ 131,29 B","6,46%",238
13,30/06/2021,"10,46","1,53","2,04","10,38","0,18","R$ 155,77 B","3,85%",238
14,31/03/2021,"11,29","1,46","2,01","3,82","0,16","R$ 149,94 B","2,63%",238
15,31/12/2020,"11,75","1,49","2,00","3,73","0,17","R$ 152,62 B","2,22%",238
16,30/09/2020,"8,85","1,30","1,99","2,64","0,15","R$ 124,49 B","7,42%",238
17,30/06/2020,"7,82","1,18","1,40","2,33","0,14","R$ 116,40 B","8,55%",238
18,31/03/2020,"6,33","1,06","1,18","2,88","0,13","R$ 101,76 B","9,80%",238
19,31/12/2019,"9,41","1,60","1,74","6,21","0,20","R$ 159,20 B","7,36%",238
20,30/09/2019,"10,74","1,58","1,80","27,24","0,21","R$ 181,68 B","5,22%",238
21,30/06/2019,"12,33","1,79","1,99","23,36","0,23","R$ 174,77 B","4,53%",238
22,31/03/2019,"12,96","1,85","2,01","12,45","0,25","R$ 169,91 B","4,24%",238
23,31/12/2018,"13,72","1,90","2,04","20,85","0,24","R$ 178,35 B","4,01%",238
24,30/09/2018,"13,68","1,70","1,84","5,50","0,22","R$ 158,11 B","4,47%",238
25,30/06/2018,"12,09","1,42","1,52","4,59","0,18","R$ 134,56 B","5,82%",238
26,31/03/2018,"13,02","1,45","1,55","3,93","0,19","R$ 147,56 B","5,68%",238
27,31/12/2017,"12,67","1,30","1,34","2,25","0,18","R$ 132,34 B","5,84%",238
28,30/09/2017,"12,33","1,09","1,13","2,41","0,15","R$ 115,99 B","6,66%",238
29,30/06/2017,"9,89","0,89","0,89","2,06","0,12","R$ 97,30 B","7,09%",238
30,31/03/2017,"10,84","0,93","0,91","3,56","0,13","R$ 99,68 B","6,79%",238
31,31/12/2016,"11,22","0,98","0,93","12,20","0,13","R$ 120,69 B","6,69%",238
32,30/09/2016,"9,16","0,77","0,79","22,57","0,11","R$ 95,24 B","5,42%",238
33,30/06/2016,"9,56","0,76","0,77","11,07","0,11","R$ 76,09 B","10,51%",238
34,31/03/2016,"5,85","0,70","0,71","4,65","0,10","R$ 66,55 B","10,86%",238
35,31/12/2015,"4,31","0,53","0,53","10,46","0,07","R$ 47,49 B","15,42%",238
36,30/09/2015,"4,79","0,57","0,60","-14,09","0,08","R$ 51,40 B","8,89%",238
37,30/06/2015,"5,57","0,61","0,70","4,65","0,09","R$ 59,62 B","2,17%",238
