,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"- R$ 493,31 M","- R$ 10,68 M","R$ 556,16 M","R$ 52,17 M"
1,31/03/2024,"- R$ 2,64 B","- R$ 167,24 M","R$ 1,82 B","- R$ 991,63 M"
2,31/12/2023,"- R$ 2,69 B","- R$ 275,04 M","R$ 2,97 B","R$ 13,27 M"
3,30/09/2023,"- R$ 1,29 B","- R$ 293,19 M","R$ 1,88 B","R$ 301,43 M"
4,30/06/2023,"- R$ 3,15 B","- R$ 246,63 M","R$ 3,49 B","R$ 91,83 M"
5,31/03/2023,"- R$ 2,82 B","- R$ 149,95 M","R$ 3,94 B","R$ 973,02 M"
6,31/12/2022,"- R$ 2,32 B","- R$ 140,96 M","R$ 2,39 B","- R$ 68,66 M"
7,30/09/2022,"- R$ 5,20 B","- R$ 127,98 M","R$ 5,36 B","R$ 27,83 M"
8,30/06/2022,"- R$ 5,54 B","- R$ 113,40 M","R$ 5,71 B","R$ 57,53 M"
9,31/03/2022,"- R$ 4,36 B","- R$ 60,62 M","R$ 4,67 B","R$ 249,53 M"
10,31/12/2021,"- R$ 4,87 B","- R$ 78,52 M","R$ 5,09 B","R$ 134,76 M"
11,30/09/2021,"- R$ 2,66 B","- R$ 87,28 M","R$ 2,79 B","R$ 48,49 M"
12,30/06/2021,"- R$ 377,76 M","- R$ 78,88 M","R$ 424,19 M","- R$ 32,44 M"
13,31/03/2021,"- R$ 748,60 M","- R$ 38,45 M","R$ 773,03 M","- R$ 14,02 M"
14,31/12/2020,"- R$ 646,50 M","- R$ 20,93 M","R$ 363,01 M","- R$ 304,43 M"
15,30/09/2020,"- R$ 403,17 M","- R$ 12,89 M","- R$ 22,40 M","- R$ 438,46 M"
16,30/06/2020,"- R$ 763,63 M","- R$ 11,05 M","R$ 757,03 M","- R$ 17,65 M"
17,31/03/2020,"- R$ 708,00 M","- R$ 7,14 M","R$ 696,94 M","- R$ 18,20 M"
18,31/12/2019,"- R$ 441,23 M","- R$ 1,70 M","R$ 707,16 M","R$ 264,23 M"
19,30/09/2019,"- R$ 313,59 M","- R$ 23,02 M","R$ 709,09 M","R$ 372,49 M"
20,30/06/2019,"- R$ 61,36 M","- R$ 22,51 M","R$ 105,25 M","R$ 21,38 M"
21,31/03/2019,"R$ 162,03 M","- R$ 26,01 M","- R$ 202,54 M","- R$ 66,51 M"
22,31/12/2018,"R$ 277,00 M","- R$ 26,72 M","- R$ 308,72 M","- R$ 58,44 M"
