,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 30/09/2024,"-0,17","-0,06","0,72","-1,65","0,02","R$ 15,73 M","0,00%"
1,30/06/2024,NA,NA,NA,NA,NA,NA,"0,00%"
2,31/03/2024,NA,NA,NA,NA,NA,NA,"0,00%"
3,31/12/2023,"-0,14","-0,06","0,43","6,84","0,02","R$ 11,22 M","0,00%"
4,30/09/2023,"0,68","-0,11","0,42","-5,62","0,03","R$ 17,60 M","0,00%"
5,30/06/2023,NA,NA,NA,NA,NA,NA,"0,00%"
6,31/03/2023,NA,NA,NA,NA,NA,NA,"0,00%"
7,31/12/2022,"0,22","-0,13","0,54","-0,12","0,02","R$ 16,06 M","0,00%"
8,30/09/2022,"2,47","-0,08","0,54","-0,12","0,02","R$ 16,22 M","0,00%"
9,30/06/2022,"-0,68","-0,06","0,90","0,28","0,02","R$ 13,99 M","0,00%"
10,31/03/2022,"-0,62","-0,08","0,79","-18,53","0,02","R$ 15,07 M","0,00%"
11,31/12/2021,"-0,89","-0,09","0,73","-16,12","0,02","R$ 16,31 M","0,00%"
12,30/09/2021,"-0,44","-0,09","1,55","-5,64","0,03","R$ 18,26 M","0,00%"
13,30/06/2021,"-0,40","-0,10","0,88","-2,65","0,03","R$ 17,57 M","0,00%"
14,31/03/2021,"-0,27","-0,10","0,95","-2,30","0,02","R$ 16,55 M","0,00%"
15,31/12/2020,"-0,22","-0,09","0,71","-3,49","0,02","R$ 14,00 M","0,00%"
16,30/09/2020,"-0,09","-0,10","0,52","-5,40","0,02","R$ 24,37 M","0,00%"
17,30/06/2020,"-0,09","-0,12","0,46","-2,44","0,02","R$ 24,67 M","0,00%"
18,31/03/2020,"-0,07","-0,12","0,33","-0,90","0,02","R$ 23,92 M","0,00%"
19,31/12/2019,"-0,06","-0,13","0,35","-0,61","0,02","R$ 22,72 M","0,00%"
20,30/09/2019,"-0,11","0,89","0,23","-0,37","0,01","R$ 21,52 M","0,00%"
21,30/06/2019,"-0,11","0,22","0,16","-0,45","0,01","R$ 21,13 M","0,00%"
22,31/03/2019,"-0,16","0,17","0,19","-0,95","0,02","R$ 33,83 M","0,00%"
23,31/12/2018,"-0,24","0,22","0,25","-1,27","0,03","R$ 39,29 M","0,00%"
24,30/09/2018,"-0,19","0,18","0,26","-3,91","0,03","R$ 38,88 M","0,00%"
25,30/06/2018,"-0,26","0,19","0,30","-4,50","0,03","R$ 42,88 M","0,00%"
26,31/03/2018,"-0,28","0,16","0,25","-8,06","0,03","R$ 43,01 M","0,00%"
27,31/12/2017,"-0,38","0,17","0,27","2,19","0,04","R$ 47,78 M","0,00%"
28,30/09/2017,"-0,47","0,22","0,36","10,53","0,06","R$ 57,86 M","0,00%"
29,30/06/2017,"-0,42","0,19","0,27","3,19","0,06","R$ 56,68 M","0,00%"
30,31/03/2017,"-0,47","0,18","0,22","6,15","0,06","R$ 57,56 M","0,00%"
31,31/12/2016,"-0,51","0,16","0,19","4,17","0,06","R$ 62,79 M","0,00%"
32,30/09/2016,"-1,04","0,23","0,19","2,10","0,08","R$ 70,17 M","0,00%"
33,30/06/2016,"-1,38","0,18","0,14","4,04","0,06","R$ 64,42 M","0,00%"
34,31/03/2016,"-1,98","0,16","0,12","1,32","0,06","R$ 61,74 M","0,00%"
35,31/12/2015,"-6,61","0,18","0,13","-6,24","0,07","R$ 67,70 M","15,78%"
36,30/09/2015,"-92,18","0,20","0,14","-3,39","0,08","R$ 72,66 M","13,90%"
37,30/06/2015,"10,51","0,19","0,14","-18,03","0,08","R$ 71,69 M","14,24%"
38,31/03/2015,"12,40","0,23","0,16","9,82","0,10","R$ 79,52 M","11,94%"
39,31/12/2014,"12,12","0,27","0,19","2,19","0,11","R$ 86,56 M","10,43%"
40,30/09/2014,"-13,25","0,27","0,20","1,74","0,12","R$ 90,54 M","9,73%"
41,30/06/2014,"-2,77","0,21","0,17","3,75","0,10","R$ 76,74 M","12,67%"
42,31/03/2014,"-1,71","0,18","0,15","-67,37","0,09","R$ 70,68 M","14,60%"
43,31/12/2013,"-1,84","0,20","0,17","-2,35","0,09","R$ 75,64 M","12,98%"
44,30/09/2013,"-3,68","0,22","0,17","62,92","0,11","R$ 78,43 M","11,34%"
45,30/06/2013,"-6,11","0,24","0,21","3,01","0,13","R$ 84,79 M","10,09%"
46,31/03/2013,"-9,65","0,24","0,23","10,08","0,13","R$ 83,86 M","9,73%"
47,31/12/2012,"-5,27","0,33","0,34","3,22","0,17","R$ 155,26 M","7,13%"
48,30/09/2012,"-6,04","0,29","0,30","3,59","0,14","R$ 145,83 M","8,05%"
49,30/06/2012,"-31,22","0,27","0,24","5,83","0,14","R$ 144,34 M","8,22%"
50,31/03/2012,"10,28","0,29","0,24","1,81","0,15","R$ 150,30 M","7,59%"
51,31/12/2011,"4,16","0,33","0,24","3,73","0,17","R$ 162,24 M","19,63%"
52,30/09/2011,"10,07","0,33","0,22","14,71","0,17","R$ 166,19 M","18,80%"
53,30/06/2011,"10,14","0,36","0,21","19,86","0,17","R$ 173,14 M","17,50%"
54,31/03/2011,"22,31","0,44","0,25","-2,03","0,21","R$ 199,94 M","13,80%"
55,31/12/2010,"24,18","0,54","0,30","-2,34","0,26","R$ 225,76 M","3,79%"
56,30/09/2010,"3,55","0,95","0,33","-5,36","0,26","R$ 247,61 M","3,32%"
57,30/06/2010,"9,55","0,57","0,32","-4,61","0,20","R$ 236,69 M","3,54%"
58,31/03/2010,"7,79","0,42","0,25","1,70","0,16","R$ 237,47 M","4,75%"
59,31/12/2009,"14,33","1,06","0,34","2,35","0,27","R$ 259,65 M","0,00%"
60,30/09/2009,"19,98","0,99","0,35","1,88","0,27","R$ 250,69 M","4,91%"
61,30/06/2009,"15,52","0,96","0,38","3,00","0,27","R$ 245,74 M","5,10%"
62,31/03/2009,"16,64","1,01","0,43","10,25","0,32","R$ 249,82 M","4,97%"
63,31/12/2008,"18,48","1,11","0,47","6,62","0,36","R$ 261,73 M","8,45%"
64,30/09/2008,"12,14","1,28","0,62",NA,"0,46","R$ 293,01 M","3,21%"
65,30/06/2008,"21,51","2,23","1,18",NA,"0,88","R$ 419,92 M","1,89%"
66,31/03/2008,"27,96","1,92","1,15",NA,"0,82","R$ 370,47 M","2,25%"
67,31/12/2007,"31,36","1,47","1,03",NA,"0,68","R$ 308,75 M","0,00%"
68,30/09/2007,"37,54","1,08","0,83",NA,"0,54","R$ 255,28 M","4,78%"
69,30/06/2007,"69,28","1,15","0,97",NA,"0,66","R$ 261,24 M","4,59%"
70,31/03/2007,"28,77","1,12","0,95",NA,"0,69","R$ 238,51 M","4,63%"
71,31/12/2006,"11,62","3.047,62","0,47",NA,"0,37","R$ 170,50 M","8,60%"
72,30/09/2006,"6,98","0,52","0,39",NA,"0,32","R$ 161,55 M","9,69%"
73,30/06/2006,"25,46","0,38","0,27",NA,"0,24","R$ 142,70 M","13,23%"
74,31/03/2006,"-198,26","0,43","0,27",NA,"0,22","R$ 147,65 M","12,07%"
75,31/12/2005,"-29,28","0,43","0,28",NA,"0,22","R$ 90,98 M","11,86%"
76,30/09/2005,"-5,95","0,29","0,19",NA,"0,16","R$ 69,09 M","17,64%"
77,30/06/2005,"-282,10","0,31","0,22",NA,"0,19","R$ 73,07 M","15,99%"
78,31/03/2005,"28,69","0,35","0,27",NA,"0,23","R$ 80,00 M","13,76%"
79,31/12/2004,"12,37","0,40","0,33",NA,"0,23","R$ 87,64 M","22,05%"
80,30/09/2004,"33,97","0,43","0,38",NA,"0,25","R$ 92,11 M","9,39%"
81,30/06/2004,"26,54","0,39","0,42",NA,"0,24","R$ 88,44 M","9,98%"
82,31/03/2004,"46,41","0,39","0,50",NA,"0,27","R$ 115,74 M","9,90%"
83,31/12/2003,"53,91","0,43","0,59",NA,"0,30","R$ 107,04 M","0,00%"
84,30/09/2003,"18,10","0,35","0,53",NA,"0,25","R$ 98,54 M","12,96%"
85,30/06/2003,"6,88","0,27","0,43",NA,"0,19","R$ 86,87 M","16,57%"
86,31/03/2003,"5,55","0,30","0,45",NA,"0,21","R$ 90,60 M","15,22%"
87,31/12/2002,"5,01","0,28","0,42",NA,"0,20","R$ 81,94 M","15,91%"
88,30/09/2002,"6,93","0,31","0,47",NA,"0,23","R$ 92,13 M","14,00%"
