,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"5,43%","5,65%","8,23%","8,56%","10,77%","5,32%","25,60%","11,84%","14,80%","15,09%","0,45","1,93","0,93","3,00"
1,30/06/2024,"5,10%","5,36%","7,72%","8,12%","9,80%","4,79%","23,83%","11,08%","14,20%","15,47%","0,43","1,98","0,98","3,79"
2,31/03/2024,"5,20%","5,47%","7,88%","8,28%","9,82%","4,86%","23,52%","11,44%","14,59%","15,04%","0,43","2,05","1,05","4,07"
3,31/12/2023,"5,34%","5,78%","8,08%","8,76%","9,82%","4,81%","23,36%","11,84%","15,54%","16,06%","0,41","2,05","1,05","4,04"
4,30/09/2023,"5,20%","5,67%","7,88%","8,58%","8,53%","4,63%","24,05%","11,03%","15,12%","15,59%","0,42","2,02","1,02","5,05"
5,30/06/2023,"5,22%","5,71%","7,91%","8,65%","7,57%","4,06%","25,60%","10,47%","15,17%","15,56%","0,39","2,05","1,05","5,12"
6,31/03/2023,"5,23%","5,71%","7,92%","8,65%","6,95%","3,73%","27,61%","10,19%","15,79%","16,09%","0,37","2,02","1,02","4,89"
7,31/12/2022,"4,57%","5,10%","6,92%","7,73%","5,56%","2,90%","29,63%","8,93%","15,01%","15,21%","0,32","2,04","1,04","5,13"
8,30/09/2022,"4,18%","4,62%","6,33%","7,00%","5,00%","2,67%","31,52%","8,54%","13,91%","14,12%","0,31","1,84","0,84","4,42"
9,30/06/2022,"5,36%","6,03%","8,13%","9,14%","6,56%","3,60%","33,54%","10,95%","16,50%","16,70%","0,33","1,86","0,86","2,70"
10,31/03/2022,"6,12%","6,89%","9,28%","10,44%","7,99%","4,41%","35,09%","12,98%","18,15%","18,34%","0,34","1,86","0,86","2,23"
11,31/12/2021,"7,55%","8,56%","11,44%","12,96%","10,38%","5,54%","36,67%","15,57%","20,49%","20,65%","0,36","1,92","0,92","1,60"
12,30/09/2021,"9,63%","10,81%","14,59%","16,37%","13,88%","8,20%","37,57%","18,58%","23,16%","23,27%","0,44","1,87","0,87","1,02"
