,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 37,20 M","- R$ 18,80 M","- R$ 12,21 M","R$ 6,19 M",390
1,31/03/2024,"- R$ 72,99 M","R$ 98,33 M","- R$ 15,90 M","R$ 9,44 M",390
2,31/12/2023,"- R$ 847,00 mil","- R$ 63,85 M","R$ 62,92 M","- R$ 1,78 M",390
3,30/09/2023,"- R$ 33,73 M","- R$ 5,54 M","R$ 27,26 M","- R$ 12,01 M",390
4,30/06/2023,"R$ 1,79 M","- R$ 29,22 M","- R$ 842,00 mil","- R$ 28,27 M",390
5,31/03/2023,"- R$ 30,11 M","- R$ 21,20 M","R$ 58,84 M","R$ 7,54 M",390
6,31/12/2022,"- R$ 8,67 M","- R$ 12,68 M","- R$ 11,91 M","- R$ 33,27 M",390
7,30/09/2022,"- R$ 429,00 mil","- R$ 24,78 M","- R$ 9,84 M","- R$ 35,04 M",390
8,30/06/2022,"R$ 16,32 M","R$ 127,23 M","R$ 6,53 M","R$ 150,07 M",390
9,31/03/2022,"- R$ 133,10 M","- R$ 22,86 M","- R$ 68,06 M","- R$ 224,02 M",390
10,31/12/2021,"- R$ 92,27 M","- R$ 93,61 M","R$ 143,75 M","- R$ 42,14 M",390
11,30/09/2021,"R$ 80,02 M","R$ 232,58 M","- R$ 49,17 M","R$ 263,44 M",390
12,30/06/2021,"- R$ 77,92 M","- R$ 17,55 M","- R$ 18,83 M","- R$ 114,30 M",390
13,31/03/2021,"R$ 50,52 M","- R$ 34,04 M","R$ 32,32 M","R$ 48,80 M",390
14,31/12/2020,"- R$ 52,79 M","- R$ 61,67 M","- R$ 23,65 M","- R$ 138,11 M",390
15,30/09/2020,"R$ 22,34 M","- R$ 1,84 M","- R$ 39,92 M","- R$ 19,42 M",390
16,30/06/2020,"- R$ 27,33 M","- R$ 23,42 M","- R$ 13,92 M","- R$ 64,67 M",390
17,31/03/2020,"R$ 97,96 M","R$ 45,98 M","- R$ 5,91 M","R$ 138,04 M",390
18,31/12/2019,"- R$ 29,36 M","- R$ 74,75 M","R$ 23,72 M","- R$ 80,39 M",390
19,30/09/2019,"- R$ 10,43 M","R$ 5,68 M","- R$ 6,55 M","- R$ 11,30 M",390
20,30/06/2019,"- R$ 66,68 M","R$ 41,11 M","- R$ 252,83 M","- R$ 278,41 M",390
21,31/03/2019,"R$ 37,57 M","R$ 171,24 M","- R$ 25,01 M","R$ 183,80 M",390
22,31/12/2018,"- R$ 8,63 M","R$ 124,19 M","- R$ 192,26 M","- R$ 76,70 M",390
23,30/09/2018,"R$ 7,64 M","R$ 180,79 M","- R$ 290,75 M","- R$ 102,32 M",390
24,30/06/2018,"R$ 2,50 M","R$ 405,57 M","R$ 46,73 M","R$ 454,80 M",390
25,31/03/2018,"- R$ 92,02 M","R$ 117,79 M","- R$ 26,25 M","- R$ 475,00 mil",390
26,31/12/2017,"R$ 36,03 M","- R$ 21,20 M","R$ 5,91 M","R$ 20,74 M",390
27,30/09/2017,"R$ 44,64 M","- R$ 19,87 M","- R$ 26,66 M","- R$ 1,90 M",390
28,30/06/2017,"R$ 5,47 M","R$ 27,24 M","R$ 16,90 M","R$ 49,61 M",390
29,31/03/2017,"R$ 11,64 M","- R$ 1,37 M","- R$ 29,84 M","- R$ 19,57 M",390
30,31/12/2016,"R$ 22,59 M","- R$ 18,32 M","- R$ 28,41 M","- R$ 24,14 M",390
31,30/09/2016,"R$ 35,53 M","- R$ 33,92 M","- R$ 42,39 M","- R$ 40,77 M",390
32,30/06/2016,"R$ 61,45 M","R$ 39,02 M","- R$ 22,92 M","R$ 77,55 M",390
33,31/03/2016,"- R$ 3,59 M","- R$ 28,96 M","- R$ 31,56 M","- R$ 64,11 M",390
34,31/12/2015,"R$ 198,89 M","- R$ 125,55 M","- R$ 137,42 M","- R$ 64,08 M",390
35,30/09/2015,"R$ 2,50 M","- R$ 27,28 M","- R$ 22,20 M","- R$ 46,98 M",390
36,30/06/2015,"- R$ 218,47 M","R$ 286,06 M","- R$ 39,92 M","R$ 27,67 M",390
37,31/03/2015,"R$ 22,23 M","- R$ 58,84 M","R$ 53,19 M","R$ 16,58 M",390
38,31/12/2014,"- R$ 52,63 M","- R$ 112,21 M","R$ 24,90 M","- R$ 139,93 M",390
39,30/09/2014,"- R$ 12,92 M","R$ 218,49 M","- R$ 73,79 M","R$ 131,79 M",390
40,30/06/2014,"- R$ 13,41 M","- R$ 62,47 M","- R$ 46,87 M","- R$ 122,74 M",390
41,31/03/2014,"- R$ 11,02 M","- R$ 39,77 M","R$ 188,26 M","R$ 137,47 M",390
42,31/12/2013,"- R$ 43,11 M","R$ 45,29 M","R$ 53,15 M","R$ 55,33 M",390
43,30/09/2013,"- R$ 20,80 M","- R$ 162,44 M","- R$ 16,54 M","- R$ 199,78 M",390
44,30/06/2013,"R$ 223,22 M","- R$ 190,40 M","R$ 60,21 M","R$ 93,04 M",390
45,31/03/2013,"- R$ 9,63 M","- R$ 77,39 M","R$ 57,21 M","- R$ 29,81 M",390
46,31/12/2012,"R$ 6,06 M","- R$ 42,73 M","R$ 121,99 M","R$ 85,31 M",390
47,30/09/2012,"R$ 24,25 M","- R$ 246,29 M","R$ 1,13 M","- R$ 230,06 M",390
48,30/06/2012,"R$ 25,67 M","- R$ 89,83 M","R$ 51,27 M","- R$ 3,58 M",390
49,31/03/2012,"- R$ 5,77 M","- R$ 67,50 M","R$ 352,85 M","R$ 279,43 M",390
50,31/12/2011,"R$ 113,32 M","- R$ 71,56 M","- R$ 113,97 M","- R$ 68,93 M",390
51,30/09/2011,"R$ 702,00 mil","- R$ 119,86 M","R$ 68,73 M","- R$ 24,01 M",390
52,30/06/2011,"R$ 16,55 M","- R$ 78,18 M","R$ 88,51 M","R$ 19,44 M",390
53,31/03/2011,"R$ 10,38 M","- R$ 33,59 M","- R$ 115,65 M","- R$ 138,86 M",390
