,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
83,30/09/2003,"R$ 31,09 M","R$ 9,58 M","R$ 4,31 M",,,"R$ 3,90 M","R$ 0,02",414
84,30/06/2003,"R$ 33,01 M","R$ 10,75 M","R$ 8,17 M",,,"R$ 7,57 M","R$ 0,04",414
85,31/03/2003,"R$ 30,74 M","R$ 11,63 M","R$ 7,16 M",,,"R$ 6,23 M","R$ 0,03",414
86,31/12/2002,"R$ 29,79 M","R$ 11,87 M","R$ 7,64 M",,,"R$ 8,11 M","R$ 0,04",414
87,30/09/2002,"R$ 28,08 M","R$ 10,12 M","R$ 5,76 M",,,"R$ 4,86 M","R$ 0,02",414
88,30/06/2002,"R$ 22,59 M","R$ 7,73 M","R$ 4,52 M",,,"R$ 3,35 M","R$ 0,02",414
89,31/03/2002,"R$ 24,55 M","R$ 8,50 M","R$ 4,50 M",,,"R$ 3,60 M","R$ 0,02",414
90,31/12/2001,"R$ 52,49 M","R$ 17,66 M","R$ 9,81 M",,,"R$ 8,50 M","R$ 0,04",414
91,30/06/2001,"R$ 23,10 M","R$ 6,93 M","R$ 3,01 M",,,"R$ 2,21 M","R$ 0,01",414
92,31/03/2001,"R$ 19,73 M","R$ 5,81 M","R$ 2,52 M",,,"R$ 1,95 M","R$ 0,01",414
93,31/12/2000,"R$ 25,32 M","R$ 7,47 M","R$ 3,91 M",,,"R$ 3,99 M","R$ 0,02",414
94,30/09/2000,"R$ 21,94 M","R$ 8,15 M","R$ 3,97 M",,,"R$ 2,80 M","R$ 0,01",414
95,30/06/2000,"R$ 21,26 M","R$ 6,86 M","R$ 3,78 M",,,"R$ 2,67 M","R$ 0,01",414
96,31/03/2000,"R$ 20,03 M","R$ 5,95 M","R$ 2,87 M",,,"R$ 2,04 M","R$ 0,01",414
