,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
0,30/06/2024,"-3,04%","-0,83%","32,66%","-1,29%","0,64","5,16","4,16"
1,31/03/2024,"0,14%","0,04%","33,82%","0,06%","0,73","3,78","2,78"
2,31/12/2023,"11,36%","3,10%","35,61%","4,18%","0,74","3,39","2,39"
3,30/09/2023,"17,48%","4,71%","35,71%","5,93%","0,79","3,55","2,55"
4,30/06/2023,"16,29%","4,13%","34,21%","5,08%","0,81","3,69","2,69"
5,31/03/2023,"12,06%","3,51%","33,51%","4,01%","0,88","3,48","2,48"
6,31/12/2022,"7,60%","2,27%","31,96%","2,67%","0,85","3,66","2,66"
7,30/09/2022,"21,24%","6,46%","32,54%","7,71%","0,84","3,71","2,71"
8,30/06/2022,"16,00%","5,07%","33,59%","5,80%","0,87","3,95","2,95"
9,31/03/2022,"30,34%","9,04%","34,25%","9,92%","0,91","3,44","2,44"
10,31/12/2021,"49,46%","13,53%","35,67%","14,82%","0,91","3,35","2,35"
11,30/09/2021,"36,85%","9,79%","35,66%","10,71%","0,91","3,29","2,29"
12,30/06/2021,"43,65%","11,20%","35,63%","12,71%","0,88","3,16","2,16"
13,31/03/2021,"179,49%","48,38%","36,09%","12,93%","3,74","3,36","2,36"
14,31/12/2020,"93,80%","27,03%","36,43%","10,17%","2,66","3,66","2,66"
15,30/09/2020,"33,45%","10,43%","37,57%","7,95%","1,31","3,77","2,77"
16,30/06/2020,"32,02%","7,54%","40,71%","20,28%","0,37","3,90","2,90"
17,31/03/2020,"22,25%","5,01%","0,00%","0,00%","0,00","3,71","2,71"
18,31/12/2019,"40,91%","8,48%","0,00%","0,00%","0,00","3,47","2,47"
19,30/09/2019,"399,76%","29,68%","0,00%","0,00%","0,00","3,21","2,21"
20,30/06/2019,"201,69%","17,14%","0,00%","0,00%","0,00","4,25","3,25"
21,31/03/2019,"2.454,80%","24,50%","0,00%","0,00%","0,00","4,44","3,44"
22,31/12/2018,"470,52%","20,46%","0,00%","0,00%","0,00","4,83","3,83"
23,30/09/2018,"-41,00%","-6,05%","0,00%","0,00%","0,00","13,47","12,47"
24,30/06/2018,"-68,69%","-19,85%","0,00%","0,00%","0,00","11,76","10,76"
25,31/03/2018,"-155,74%","9,52%","100,00%","2.888,93%","0,00","100,20","99,20"
26,31/12/2017,"-174,92%","19,82%","100,00%","3.875,93%","0,01","23,00","22,00"
27,30/09/2017,"-539,82%","59,51%","100,00%","18.319,02%","0,00","6,78","5,78"
28,30/06/2017,"-108,43%","57,82%","100,00%","14.242,46%","0,00","3,46","2,46"
29,31/03/2017,"-88,71%","40,84%","100,00%","11.178,16%","0,00","-16,36","-17,36"
30,31/12/2016,"-87,39%","30,68%","100,00%","11.151,43%","0,00","-8,82","-9,82"
31,30/09/2016,"126,09%","-14,25%","16,75%","-34,58%","0,41","-9,07","-10,07"
32,30/06/2016,"-379,34%","-24,67%","16,99%","-50,43%","0,49","-1,88","-2,88"
33,31/03/2016,"-408,61%","-26,11%","16,62%","-33,91%","0,77","-2,17","-3,17"
34,31/12/2015,"-303,74%","-28,62%","18,03%","-29,07%","0,98","-2,85","-3,85"
35,30/09/2015,"-144,02%","-19,04%","16,13%","-14,35%","1,33","-8,85","-9,85"
36,30/06/2015,"-45,43%","-9,05%","16,07%","-5,31%","1,70","15,38","14,38"
37,31/03/2015,"-28,76%","-5,53%","16,65%","-3,24%","1,71","15,65","14,65"
38,31/12/2014,"-8,55%","-1,35%","16,20%","-0,94%","1,43","10,61","9,61"
39,30/09/2014,"-12,85%","-2,47%","16,10%","-1,38%","1,79","7,56","6,56"
40,30/06/2014,"-7,39%","-1,58%","15,40%","-0,82%","1,93","5,02","4,02"
