,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/06/2024,"6,88%","7,00%","10,43%","10,61%","-53,04%","-2,17%","11,96%","-1,88%","7,60%","9,92%","1,15","47,35","46,35","6,50"
1,31/03/2024,"7,43%","7,56%","11,26%","11,46%","142,11%","2,43%","12,54%","2,16%","8,32%","10,59%","1,12","22,12","21,12","6,06"
2,31/12/2023,"7,87%","7,99%","11,92%","12,11%","471,24%","4,26%","13,67%","3,67%","8,97%","11,21%","1,16","18,10","17,10","5,57"
3,30/09/2023,"8,24%","8,45%","12,49%","12,80%","-112,62%","32,59%","11,77%","22,82%","7,32%","9,52%","1,43","34,59","33,59","7,01"
4,30/06/2023,"10,44%","10,72%","15,83%","16,25%","-117,08%","34,00%","12,52%","23,18%","8,97%","11,09%","1,47","24,45","23,45","5,81"
5,31/03/2023,"13,13%","13,50%","19,90%","20,45%","-108,01%","28,98%","13,39%","18,67%","10,30%","12,33%","1,55","58,48","57,48","5,35"
6,31/12/2022,"16,46%","17,06%","24,94%","25,84%","-102,98%","43,83%","14,15%","25,44%","11,61%","13,55%","1,72","110,70","109,70","4,93"
7,30/09/2022,"18,52%","19,06%","28,07%","28,88%","-30,39%","13,87%","15,17%","8,14%","12,48%","14,40%","1,70","-3,46","-4,46","4,95"
8,30/06/2022,"20,52%","21,20%","31,09%","32,13%","-28,44%","12,68%","15,88%","7,64%","13,38%","15,34%","1,66","-3,44","-4,44","4,74"
9,31/03/2022,"41,97%","43,90%","63,59%","66,51%","-58,94%","52,22%","15,16%","26,63%","21,89%","23,97%","1,96","-3,73","-4,73","3,04"
10,31/12/2021,"40,16%","42,33%","60,85%","64,14%","-37,25%","37,52%","15,15%","17,30%","22,38%","24,59%","2,17","-2,35","-3,35","3,34"
11,30/09/2021,"55,10%","61,60%","83,48%","93,33%","-43,66%","50,65%","16,38%","25,79%","26,47%","28,80%","1,96","-2,19","-3,19","3,02"
12,30/06/2021,"43,65%","47,49%","66,14%","71,96%","-45,46%","53,18%","16,83%","30,24%","27,74%","30,33%","1,76","-2,24","-3,24","3,06"
13,31/03/2021,"21,29%","23,08%","32,26%","34,96%","-9,63%","11,28%","15,21%","7,38%","16,06%","19,21%","1,53","-1,13","-2,13","6,21"
14,31/12/2020,"18,14%","20,00%","27,49%","30,30%","8,36%","-8,45%","14,76%","-5,67%","14,38%","17,87%","1,49","-0,99","-1,99","7,19"
15,30/09/2020,"9,87%","10,71%","14,95%","16,22%","25,52%","-25,73%","15,80%","-18,71%","8,07%","11,71%","1,38","-0,86","-1,86","11,71"
16,30/06/2020,"7,93%","8,61%","12,01%","13,04%","35,37%","-34,46%","14,48%","-24,80%","6,46%","10,16%","1,39","-0,85","-1,85","14,86"
17,31/03/2020,"10,41%","11,31%","15,77%","17,14%","24,99%","-25,35%","16,78%","-15,83%","7,87%","11,10%","1,60","-0,85","-1,85","11,52"
18,31/12/2019,"12,28%","13,44%","18,60%","20,36%","0,60%","-0,62%","16,82%","-0,39%","8,48%","11,78%","1,60","-0,99","-1,99","9,61"
19,30/09/2019,"12,36%","13,79%","18,73%","20,89%","1,08%","-1,11%","14,51%","-0,75%","8,54%","12,33%","1,47","-0,99","-1,99","9,75"
20,30/06/2019,"12,13%","13,55%","18,37%","20,54%","-0,35%","0,35%","14,91%","0,24%","8,50%","12,35%","1,45","-1,03","-2,03","9,47"
21,31/03/2019,"10,09%","11,31%","15,29%","17,14%","5,60%","-5,10%","14,43%","-3,67%","7,67%","11,63%","1,39","-0,99","-1,99","11,14"
22,31/12/2018,"9,65%","11,00%","14,62%","16,67%","5,26%","-4,96%","14,20%","-3,50%","7,35%","11,38%","1,42","-0,96","-1,96","10,98"
