,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 30/09/2024,"16,51","0,80","0,42","3,78","0,36","R$ 369,64 M","3,22%"
1,30/06/2024,"18,41","0,89","0,47","4,22","0,40","R$ 353,62 M","2,88%"
2,31/03/2024,"11,00","0,89","0,46","2,92","0,41","R$ 391,42 M","2,97%"
3,31/12/2023,NA,NA,NA,NA,NA,NA,NA
4,30/09/2023,"10,10","1,14","0,54","2,62","0,50","R$ 471,50 M","0,00%"
5,30/06/2023,"9,02","1,22","0,53","2,52","0,56","R$ 486,23 M","3,46%"
6,31/03/2023,"6,37","0,84","0,36","3,98","0,36","R$ 340,01 M","4,91%"
7,31/12/2022,"6,37","0,84","0,36","3,98","0,36","R$ 340,01 M","4,91%"
8,30/09/2022,"6,61","0,82","0,34","4,97","0,35","R$ 341,13 M","5,17%"
9,30/06/2022,"4,59","0,92","0,37","18,38","0,38","R$ 373,65 M","3,14%"
10,31/03/2022,"2,46","0,71","0,28","6,51","0,32","R$ 333,93 M","4,18%"
11,31/12/2021,"4,05","0,85","0,37","8,27","0,37","R$ 414,49 M","3,38%"
12,30/09/2021,"7,67","1,14","0,44","3,22","0,43","R$ 578,82 M","2,87%"
13,30/06/2021,"5,79","1,11","0,41","3,46","0,43","R$ 446,68 M","0,00%"
14,31/03/2021,"9,12","0,83","0,41","2,09","0,31","R$ 372,37 M","0,00%"
15,31/12/2020,"12,49","0,89","0,42","2,90","0,33","R$ 285,88 M","0,00%"
16,30/09/2020,"52,00","0,80","0,42","4,85","0,27","R$ 224,54 M","0,00%"
17,30/06/2020,"-100,57","0,89","0,46","19,95","0,31","R$ 224,54 M","1,59%"
18,31/03/2020,"-100,57","0,89","0,46","19,95","0,31","R$ 224,54 M","1,59%"
19,31/12/2019,"10,98","1,43","0,53","7,67","0,57","R$ 351,38 M","2,77%"
20,30/09/2019,"8,65","0,92","0,36","9,26","0,36","R$ 294,69 M","4,21%"
21,30/06/2019,"7,61","0,91","0,34","3,92","0,36","R$ 283,48 M","6,60%"
22,31/03/2019,"6,73","0,68","0,26","3,14","0,26","R$ 196,03 M","5,22%"
23,31/12/2018,"9,75","0,80","0,30","7,77","0,32","R$ 206,60 M","4,68%"
24,30/09/2018,"6,67","0,68","0,27","5,20","0,27","R$ 202,92 M","5,30%"
25,30/06/2018,"7,87","0,75","0,31","3,99","0,30","R$ 206,77 M","4,23%"
26,31/03/2018,"6,97","0,84","0,31","6,11","0,33","R$ 209,97 M","4,09%"
27,31/12/2017,"6,72","0,96","0,34","3,10","0,38","R$ 221,02 M","3,68%"
28,30/09/2017,"6,88","1,03","0,35","3,71","0,41","R$ 225,18 M","3,55%"
29,30/06/2017,"6,99","1,06","0,36","4,49","0,41","R$ 242,96 M","3,48%"
30,31/03/2017,"5,85","0,73","0,24","2,29","0,27","R$ 180,66 M","5,27%"
31,31/12/2016,"8,95","0,80","0,25","2,79","0,30","R$ 171,37 M","5,00%"
32,30/09/2016,"7,76","0,60","0,18","1,60","0,21","R$ 158,72 M","6,75%"
33,30/06/2016,"8,50","0,59","0,17","1,98","0,20","R$ 156,00 M","7,06%"
34,31/03/2016,"6,94","0,48","0,14","1,95","0,16","R$ 147,35 M","8,33%"
35,31/12/2015,"4,56","0,51","0,16","2,07","0,17","R$ 152,47 M","7,52%"
36,30/09/2015,"4,53","0,54","0,18","3,57","0,18","R$ 156,96 M","6,94%"
37,30/06/2015,"4,85","0,51","0,16","3,64","0,18","R$ 147,35 M","8,33%"
38,31/03/2015,"4,85","0,51","0,16","3,64","0,18","R$ 147,35 M","8,33%"
39,31/12/2014,"9,38","0,62","0,20","9,00","0,21","R$ 136,14 M","7,80%"
40,30/09/2014,"7,27","0,51","0,16","3,68","0,18","R$ 105,71 M","9,61%"
41,30/06/2014,"8,34","0,63","0,20","3,25","0,23","R$ 115,31 M","7,80%"
42,31/03/2014,"8,08","0,53","0,18","2,86","0,19","R$ 92,89 M","9,25%"
43,31/12/2013,"10,63","0,59","0,20","4,33","0,21","R$ 82,48 M","8,61%"
44,30/09/2013,"19,05","0,60","0,21","6,44","0,21","R$ 77,20 M","8,38%"
45,30/06/2013,"18,21","0,50","0,18","7,66","0,17","R$ 63,90 M","0,00%"
46,31/03/2013,"60,64","0,43","0,16","7,82","0,15","R$ 50,29 M","0,00%"
