,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao
34,31/12/2015,"R$ 456,32 M","R$ 155,33 M","R$ 3,23",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
35,30/09/2015,"R$ 475,20 M","R$ 158,97 M","R$ 3,31",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
36,30/06/2015,"R$ 408,85 M","R$ 140,43 M","R$ 2,92",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
37,31/03/2015,"R$ 419,92 M","R$ 140,84 M","R$ 2,93",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
38,31/12/2014,"R$ 365,29 M","R$ 124,56 M","R$ 2,59",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
39,30/09/2014,"R$ 355,33 M","R$ 123,27 M","R$ 2,57",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
40,30/06/2014,"R$ 329,68 M","R$ 121,24 M","R$ 2,52",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
41,31/03/2014,"R$ 350,27 M","R$ 123,16 M","R$ 2,56",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
42,31/12/2013,"R$ 330,47 M","R$ 118,77 M","R$ 2,47",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
43,30/09/2013,"R$ 334,96 M","R$ 118,48 M","R$ 2,47",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
44,30/06/2013,"R$ 335,31 M","R$ 118,23 M","R$ 2,46",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
45,31/03/2013,"R$ 332,63 M","R$ 119,41 M","R$ 2,49",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
