,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield,ticker
0,Atual - 16/09/2024,"8,79","1,06","0,35","2,91","0,33","R$ 3,88 B","2,49%",180
1,30/06/2024,"8,42","1,01","0,34","2,78","0,32","R$ 3,72 B","2,61%",180
2,31/03/2024,"7,46","1,04","0,32","3,34","0,34","R$ 3,62 B","2,07%",180
3,31/12/2023,"7,81","1,21","0,35","4,87","0,39","R$ 4,04 B","4,50%",180
4,30/09/2023,"9,12","1,12","0,32","4,66","0,37","R$ 3,66 B","4,85%",180
5,30/06/2023,"9,07","1,30","0,37","6,17","0,41","R$ 4,05 B","4,24%",180
6,31/03/2023,"5,68","1,04","0,30","6,63","0,32","R$ 3,23 B","5,32%",180
7,31/12/2022,"7,23","1,19","0,36","9,68","0,35","R$ 3,63 B","1,79%",180
8,30/09/2022,"8,40","1,39","0,45","15,64","0,48","R$ 4,32 B","1,74%",180
9,30/06/2022,"7,68","1,17","0,39","198,68","0,43","R$ 3,42 B","1,82%",180
10,31/03/2022,"9,77","1,08","0,36","40,69","0,41","R$ 2,88 B","2,16%",180
11,31/12/2021,"13,78","1,02","0,40","8,68","0,37","R$ 2,81 B","2,21%",180
12,30/09/2021,"13,92","1,18","0,50","11,37","0,49","R$ 3,17 B","0,62%",180
13,30/06/2021,"13,62","1,25","0,55","6,78","0,51","R$ 3,14 B","0,00%",180
14,31/03/2021,"29,11","1,29","0,72","10,11","0,52","R$ 3,39 B","0,00%",180
15,31/12/2020,"-43,68","1,30","0,78","11,41","0,54","R$ 3,33 B","0,00%",180
16,30/09/2020,"-27,79","0,98","0,60","6,59","0,39","R$ 2,49 B","0,00%",180
17,30/06/2020,"-16,76","1,07","0,60","6,70","0,42","R$ 2,54 B","0,00%",180
18,31/03/2020,"-309,69","1,16","0,56","5,19","0,44","R$ 2,80 B","0,00%",180
19,31/12/2019,"11,16","1,30","0,60","5,50","0,61","R$ 3,11 B","5,22%",180
20,30/09/2019,"10,23","1,24","0,55","6,71","0,56","R$ 2,91 B","7,30%",180
21,30/06/2019,"8,56","1,19","0,50","5,48","0,54","R$ 2,62 B","8,10%",180
22,31/03/2019,"8,66","1,17","0,51","4,53","0,52","R$ 2,56 B","10,26%",180
23,31/12/2018,"9,92","1,22","0,56","4,67","0,55","R$ 2,69 B","6,49%",180
24,30/09/2018,"13,78","1,28","0,63","5,90","0,58","R$ 2,86 B","6,11%",180
25,30/06/2018,"15,41","1,39","0,72","7,89","0,63","R$ 3,01 B","6,23%",180
26,31/03/2018,"17,28","1,38","0,72","9,51","0,65","R$ 2,82 B","7,10%",180
27,31/12/2017,"16,59","1,28","0,69","9,47","0,55","R$ 2,54 B","6,52%",180
28,30/09/2017,"-60,60","1,17","0,68","8,87","0,52","R$ 2,39 B","5,89%",180
