,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
0,30/06/2024,"R$ 1,36 B","- R$ 171,31 M","- R$ 301,87 M","- R$ 8,21 M","- R$ 293,66 M","- R$ 196,98 M","- R$ 2,91"
1,31/03/2024,"R$ 1,31 B","- R$ 41,64 M","- R$ 140,85 M","- R$ 4,24 M","- R$ 136,62 M","- R$ 108,69 M","- R$ 1,61"
2,31/12/2023,"R$ 1,20 B","- R$ 329,06 M","- R$ 431,13 M","- R$ 4,16 M","- R$ 426,97 M","- R$ 410,68 M","- R$ 6,07"
3,30/09/2023,"R$ 1,27 B","- R$ 275,60 M","- R$ 380,14 M","- R$ 3,37 M","- R$ 376,77 M","- R$ 293,55 M","- R$ 4,34"
4,30/06/2023,"R$ 1,20 B","- R$ 131,86 M","- R$ 224,44 M","- R$ 2,74 M","- R$ 221,70 M","- R$ 192,30 M","- R$ 2,84"
5,31/03/2023,"R$ 1,37 B","- R$ 27,13 M","- R$ 114,60 M","- R$ 2,62 M","- R$ 111,98 M","- R$ 82,53 M","- R$ 1,22"
6,31/12/2022,"R$ 1,09 B","- R$ 214,77 M","- R$ 293,42 M","- R$ 1,44 M","- R$ 291,98 M","- R$ 257,11 M","- R$ 3,80"
7,30/09/2022,"R$ 1,59 B","- R$ 315,25 M","- R$ 394,14 M","- R$ 1,42 M","- R$ 392,72 M","- R$ 377,77 M","- R$ 5,58"
8,30/06/2022,"R$ 1,39 B","- R$ 53,48 M","- R$ 147,53 M","- R$ 727,00 mil","- R$ 146,80 M","- R$ 153,94 M","- R$ 2,27"
9,31/03/2022,"R$ 906,01 M","- R$ 48,20 M","- R$ 130,51 M","- R$ 1,14 M","- R$ 129,37 M","- R$ 147,14 M","- R$ 2,17"
10,31/12/2021,"R$ 870,12 M","- R$ 148,57 M","- R$ 214,36 M","- R$ 1,12 M","- R$ 213,24 M","- R$ 231,39 M","- R$ 3,42"
11,30/09/2021,"R$ 524,35 M","R$ 14,17 M","- R$ 21,05 M","- R$ 959,00 mil","- R$ 20,09 M","- R$ 69,08 M","- R$ 1,02"
12,30/06/2021,"R$ 436,00 M","R$ 18,33 M","- R$ 45,12 M","- R$ 918,00 mil","- R$ 44,20 M","- R$ 48,64 M","- R$ 0,72"
13,31/03/2021,"R$ 380,68 M","R$ 54,70 M","- R$ 8,43 M","- R$ 904,00 mil","- R$ 7,52 M","- R$ 12,73 M","- R$ 0,19"
14,31/12/2020,"R$ 417,92 M","- R$ 62,06 M","- R$ 131,87 M","- R$ 889,00 mil","- R$ 130,98 M","- R$ 115,45 M","- R$ 1,71"
15,30/09/2020,"R$ 432,34 M","- R$ 7,83 M","- R$ 75,06 M","- R$ 885,00 mil","- R$ 74,17 M","- R$ 106,41 M","- R$ 1,57"
16,30/06/2020,"R$ 295,51 M","- R$ 38,20 M","- R$ 90,92 M","- R$ 865,00 mil","- R$ 90,06 M","- R$ 95,34 M","- R$ 1,41"
17,31/03/2020,"R$ 349,82 M","- R$ 2,30 M","- R$ 87,98 M","- R$ 841,00 mil","- R$ 87,14 M","- R$ 95,74 M","- R$ 1,41"
18,31/12/2019,"R$ 376,87 M","R$ 18,67 M","- R$ 41,14 M","- R$ 874,00 mil","- R$ 40,27 M","- R$ 52,69 M","- R$ 0,78"
19,30/09/2019,"R$ 311,97 M","- R$ 34,72 M","- R$ 98,85 M","- R$ 1,21 M","- R$ 97,63 M","- R$ 108,35 M","- R$ 1,60"
20,30/06/2019,"R$ 261,98 M","R$ 38,61 M","- R$ 13,88 M","- R$ 872,00 mil","- R$ 13,00 M","- R$ 17,18 M","- R$ 0,25"
21,31/03/2019,"R$ 234,29 M","R$ 15,36 M","- R$ 41,09 M","- R$ 1,66 M","- R$ 39,43 M","- R$ 50,18 M","- R$ 0,74"
22,31/12/2018,"R$ 270,96 M","- R$ 57,62 M","- R$ 78,73 M","- R$ 1,65 M","- R$ 77,08 M","- R$ 86,06 M","- R$ 1,27"
23,30/09/2018,"R$ 325,65 M","R$ 58,67 M","- R$ 27,16 M","- R$ 2,71 M","- R$ 24,46 M","- R$ 23,09 M","- R$ 0,34"
24,30/06/2018,"R$ 215,87 M","R$ 48,42 M","- R$ 30,59 M","- R$ 4,60 M","- R$ 259,00 mil","- R$ 16,70 M","- R$ 0,25"
25,31/03/2018,"R$ 200,11 M","- R$ 10,70 M","- R$ 87,31 M","- R$ 4,51 M","- R$ 82,80 M","- R$ 78,07 M","- R$ 1,15"
26,31/12/2017,"R$ 146,26 M","- R$ 2,97 M","- R$ 68,41 M","- R$ 4,59 M","- R$ 63,83 M","- R$ 44,12 M","- R$ 0,65"
27,30/09/2017,"R$ 162,38 M","- R$ 31,52 M","- R$ 97,61 M","- R$ 4,57 M","- R$ 93,03 M","- R$ 92,11 M","- R$ 1,36"
28,30/06/2017,"R$ 185,50 M","- R$ 1,83 M","- R$ 77,31 M","- R$ 4,43 M","- R$ 72,88 M","- R$ 63,39 M","- R$ 0,94"
29,31/03/2017,"R$ 200,37 M","R$ 11,47 M","- R$ 45,12 M","- R$ 4,45 M","- R$ 40,67 M","- R$ 36,40 M","- R$ 0,54"
30,31/12/2016,"R$ 176,85 M","R$ 1,11 M","- R$ 189,71 M","- R$ 4,57 M","- R$ 185,13 M","- R$ 192,83 M","- R$ 2,85"
31,30/09/2016,"R$ 189,90 M","- R$ 17,46 M","- R$ 156,75 M","- R$ 4,57 M","- R$ 152,18 M","- R$ 154,57 M","- R$ 2,28"
32,30/06/2016,"R$ 197,21 M","- R$ 53,19 M","- R$ 100,67 M","- R$ 4,59 M","- R$ 96,08 M","- R$ 96,16 M","- R$ 1,42"
33,31/03/2016,"R$ 147,58 M","- R$ 119,59 M","- R$ 135,57 M","- R$ 4,56 M","- R$ 131,01 M","- R$ 121,72 M","- R$ 1,80"
34,31/12/2015,"R$ 199,96 M","- R$ 64,90 M","- R$ 130,68 M","- R$ 2,17 M","- R$ 128,51 M","- R$ 169,96 M","- R$ 0,13"
35,30/09/2015,"R$ 192,47 M","- R$ 27,22 M","- R$ 75,81 M","- R$ 4,49 M","- R$ 71,32 M","- R$ 140,45 M","- R$ 0,10"
36,30/06/2015,"R$ 171,95 M","- R$ 13,64 M","- R$ 47,04 M","- R$ 4,44 M","- R$ 42,60 M","- R$ 88,82 M","- R$ 0,07"
37,31/03/2015,"R$ 145,75 M","- R$ 18,54 M","- R$ 42,97 M","- R$ 6,47 M","- R$ 36,50 M","- R$ 83,40 M","- R$ 0,06"
38,31/12/2014,"R$ 122,53 M","- R$ 42,30 M","- R$ 98,59 M","- R$ 4,24 M","- R$ 94,36 M","- R$ 102,49 M","- R$ 0,08"
39,30/09/2014,"R$ 78,28 M","- R$ 16,41 M","- R$ 25,54 M","- R$ 4,24 M","- R$ 21,29 M","- R$ 26,70 M","- R$ 0,02"
40,30/06/2014,"R$ 15,90 M","- R$ 999,00 mil","- R$ 26,86 M","- R$ 4,21 M","- R$ 22,65 M","- R$ 50,49 M","- R$ 0,04"
41,31/03/2014,"R$ 21,46 M","- R$ 496,00 mil","- R$ 5,10 M","- R$ 4,16 M","- R$ 932,00 mil","- R$ 6,14 M","- R$ 0,01"
42,31/12/2013,"- R$ 51,98 M","- R$ 597,00 mil","- R$ 9,73 M","- R$ 4,30 M","- R$ 5,43 M","- R$ 9,29 M","- R$ 0,01"
43,30/09/2013,"R$ 26,09 M","R$ 301,00 mil","- R$ 260,72 M","- R$ 4,31 M","- R$ 256,41 M","- R$ 272,95 M","- R$ 0,29"
44,30/06/2013,"R$ 51,08 M","R$ 10,41 M","- R$ 126,35 M","- R$ 4,37 M","- R$ 121,98 M","- R$ 127,95 M","- R$ 0,14"
