,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 1,11 B","- R$ 609,47 M","R$ 994,29 M","R$ 1,49 B"
1,31/03/2024,"R$ 779,12 M","- R$ 568,63 M","- R$ 108,59 M","R$ 101,90 M"
2,31/12/2023,"R$ 1,07 B","- R$ 508,66 M","- R$ 600,25 M","- R$ 38,50 M"
3,30/09/2023,"R$ 975,52 M","- R$ 557,25 M","R$ 931,16 M","R$ 1,35 B"
4,30/06/2023,"R$ 932,36 M","- R$ 555,47 M","R$ 1,16 B","R$ 1,54 B"
5,31/03/2023,"R$ 540,19 M","- R$ 1,51 B","R$ 1,21 B","R$ 232,82 M"
6,31/12/2022,"R$ 683,22 M","- R$ 933,87 M","- R$ 1,40 B","- R$ 1,65 B"
7,30/09/2022,"R$ 1,02 B","- R$ 596,59 M","R$ 289,61 M","R$ 711,15 M"
8,30/06/2022,"R$ 1,02 B","- R$ 710,41 M","- R$ 660,20 M","- R$ 352,80 M"
9,31/03/2022,"R$ 1,18 B","- R$ 534,12 M","- R$ 151,23 M","R$ 498,13 M"
10,31/12/2021,"R$ 441,21 M","- R$ 1,12 B","- R$ 699,93 M","- R$ 1,38 B"
11,30/09/2021,"R$ 1,94 B","R$ 1,95 B","- R$ 464,12 M","R$ 3,42 B"
12,30/06/2021,"R$ 484,58 M","- R$ 364,34 M","- R$ 1,34 B","- R$ 1,21 B"
13,31/03/2021,"R$ 523,72 M","- R$ 432,71 M","- R$ 385,25 M","- R$ 294,24 M"
14,31/12/2020,"R$ 658,91 M","- R$ 523,28 M","- R$ 465,18 M","- R$ 329,55 M"
15,30/09/2020,"R$ 1,44 B","- R$ 392,56 M","- R$ 118,52 M","R$ 927,43 M"
16,30/06/2020,"R$ 1,01 B","- R$ 411,34 M","- R$ 714,46 M","- R$ 112,95 M"
17,31/03/2020,"R$ 830,58 M","- R$ 340,39 M","- R$ 416,96 M","R$ 73,23 M"
18,31/12/2019,"R$ 859,20 M","- R$ 562,89 M","R$ 619,03 M","R$ 915,34 M"
19,30/09/2019,"R$ 700,47 M","- R$ 327,19 M","- R$ 253,61 M","R$ 119,68 M"
20,30/06/2019,"R$ 582,25 M","- R$ 410,31 M","- R$ 319,19 M","- R$ 147,26 M"
21,31/03/2019,"R$ 803,09 M","- R$ 363,27 M","- R$ 334,27 M","R$ 105,56 M"
22,31/12/2018,"R$ 169,31 M","- R$ 677,69 M","R$ 1,60 B","R$ 1,09 B"
23,30/09/2018,"R$ 271,58 M","- R$ 537,64 M","- R$ 580,23 M","- R$ 846,29 M"
24,30/06/2018,"R$ 688,66 M","- R$ 494,36 M","- R$ 187,62 M","R$ 6,69 M"
25,31/03/2018,"R$ 641,42 M","- R$ 439,47 M","R$ 455,43 M","R$ 657,39 M"
26,31/12/2017,"- R$ 195,01 M","- R$ 205,89 M","R$ 135,58 M","- R$ 265,33 M"
