,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 27/09/2024,"6,74","1,42","1,28","2,51","0,42","R$ 9,18 B","3,38%"
1,30/06/2024,"7,39","1,55","1,40","2,75","0,46","R$ 10,06 B","3,09%"
2,31/03/2024,"7,31","1,57","1,57","2,87","0,53","R$ 10,79 B","3,99%"
3,31/12/2023,"9,69","1,50","1,54","4,18","0,50","R$ 9,70 B","4,53%"
4,30/09/2023,"9,97","1,97","1,95","3,92","0,64","R$ 12,16 B","4,79%"
5,30/06/2023,"11,98","2,00","1,94","4,22","0,64","R$ 12,15 B","4,79%"
6,31/03/2023,"13,08","2,25","2,00","4,45","0,71","R$ 13,28 B","3,02%"
7,31/12/2022,"9,08","1,71","1,57","3,49","0,52","R$ 9,89 B","4,06%"
8,30/09/2022,"7,19","1,79","1,55","3,27","0,54","R$ 9,76 B","7,96%"
9,30/06/2022,"8,06","2,26","1,99","3,60","0,68","R$ 12,19 B","6,37%"
10,31/03/2022,"10,04","2,79","2,60","4,31","0,86","R$ 14,86 B","5,55%"
11,31/12/2021,"9,30","2,81","2,52","4,28","0,94","R$ 13,60 B","6,07%"
12,30/09/2021,"14,25","3,30","2,92","6,30","1,07","R$ 14,79 B","2,90%"
13,30/06/2021,"10,96","2,45","2,40","4,19","0,84","R$ 10,98 B","3,91%"
14,31/03/2021,"14,43","3,36","3,11","5,89","1,08","R$ 13,38 B","1,43%"
15,31/12/2020,"13,69","2,93","2,75","4,67","0,96","R$ 11,81 B","1,62%"
16,30/09/2020,"8,46","2,16","1,92","3,01","0,64","R$ 7,89 B","2,42%"
17,30/06/2020,"12,38","2,42","2,07","3,93","0,69","R$ 8,21 B","2,33%"
18,31/03/2020,"11,07","2,11","1,91","3,61","0,58","R$ 7,07 B","3,29%"
19,31/12/2019,"15,77","2,48","2,50","4,75","0,80","R$ 9,18 B","2,54%"
20,30/09/2019,"22,29","1,98","1,95","4,05","0,59","R$ 6,80 B","1,63%"
21,30/06/2019,"23,94","2,05","2,15","4,39","0,58","R$ 7,22 B","1,52%"
22,31/03/2019,"23,59","2,18","2,20","4,41","0,76","R$ 7,41 B","2,52%"
23,31/12/2018,"17,50","2,00","1,99","4,38","0,71","R$ 6,68 B","2,80%"
24,30/09/2018,"15,26","2,27","2,17","5,06","0,77","R$ 7,39 B","2,53%"
25,30/06/2018,"14,22","2,11","2,01","4,38","0,72","R$ 6,81 B","2,74%"
26,31/03/2018,"13,21","1,97","1,89","4,31","0,71","R$ 6,49 B","1,56%"
27,31/12/2017,"14,60","1,98","2,11","5,61","0,72","R$ 6,68 B","1,52%"
28,30/09/2017,"18,88","1,96","2,26","5,90","0,69","R$ 6,52 B","1,56%"
29,30/06/2017,"17,29","1,94","2,18","5,53","0,68","R$ 6,24 B","1,63%"
30,31/03/2017,"20,35","1,70","2,21","6,09","0,66","R$ 5,78 B","1,03%"
31,31/12/2016,"29,79","2,21","2,72","8,67","0,87","R$ 6,67 B","0,84%"
32,30/09/2016,"27,49","2,38","2,67","9,64","0,90","R$ 6,80 B","0,82%"
33,30/06/2016,"28,42","2,05","2,28","7,98","0,80","R$ 5,76 B","0,97%"
34,31/03/2016,"30,95","2,27","2,57","8,02","0,81","R$ 6,01 B","1,13%"
35,31/12/2015,"28,95","2,12","2,30","5,98","0,74","R$ 5,27 B","1,29%"
36,30/09/2015,"31,60","2,06","2,40","5,97","0,69","R$ 5,04 B","1,35%"
37,30/06/2015,"14,04","1,31","1,87","4,89","0,49","R$ 3,56 B","1,91%"
38,31/03/2015,"15,17","1,66","2,27","5,38","0,61","R$ 4,34 B","0,94%"
39,31/12/2014,"16,28","1,71","2,41","11,65","0,57","R$ 3,84 B","1,06%"
40,30/09/2014,"19,91","1,92","3,04","14,07","0,65","R$ 4,29 B","0,95%"
41,30/06/2014,"25,97","1,92","2,76","10,79","0,77","R$ 4,18 B","0,97%"
42,31/03/2014,"33,22","2,16","2,92","9,47","0,89","R$ 4,48 B","0,67%"
43,31/12/2013,"21,58","1,47","1,63","4,97","0,61","R$ 3,05 B","0,99%"
44,30/09/2013,"30,19","1,68","1,88","5,84","0,70","R$ 3,49 B","0,87%"
45,30/06/2013,"26,50","1,37","1,54","4,51","0,57","R$ 2,79 B","1,08%"
46,31/03/2013,"40,27","1,40","1,80","5,94","0,52","R$ 2,94 B","1,24%"
47,31/12/2012,"73,33","1,59","2,20","9,66","0,60","R$ 3,28 B","1,11%"
48,30/09/2012,"31,02","1,42","1,95","6,36","0,52","R$ 2,88 B","1,26%"
49,30/06/2012,"28,01","1,28","1,92","6,68","0,47","R$ 2,55 B","1,42%"
50,31/03/2012,"19,19","1,20","1,78","5,19","0,51","R$ 2,43 B","1,25%"
51,31/12/2011,"16,46","1,15","1,70","4,46","0,49","R$ 2,36 B","1,28%"
52,30/09/2011,"14,02","1,19","1,69","4,36","0,53","R$ 2,36 B","2,12%"
53,30/06/2011,"15,88","1,28","1,91","4,69","0,61","R$ 2,56 B","1,95%"
54,31/03/2011,"19,44","1,42","2,14","5,81","0,69","R$ 2,77 B","1,26%"
55,31/12/2010,"17,01","1,34","1,88","5,28","0,62","R$ 2,58 B","1,35%"
56,30/09/2010,"22,90","1,25","1,84","5,32","0,54","R$ 2,40 B","1,40%"
57,30/06/2010,"23,24","1,01","1,55","5,12","0,45","R$ 1,94 B","1,74%"
58,31/03/2010,"17,06","0,94","1,34","3,86","0,48","R$ 1,59 B","1,15%"
59,31/12/2009,"18,38","1,19","1,77","5,04","0,57","R$ 1,94 B","0,95%"
