,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 27/09/2024,"8,71","0,73","0,65","6,60","0,40","R$ 143,41 M","9,26%"
1,30/06/2024,"9,19","0,77","0,68","6,96","0,42","R$ 151,34 M","8,77%"
2,31/03/2024,"11,07","0,83","0,74","8,05","0,44","R$ 159,93 M","8,30%"
3,31/12/2023,"11,76","0,94","0,82","4,43","0,51","R$ 178,43 M","7,44%"
4,30/09/2023,"12,86","0,89","0,79","3,45","0,58","R$ 175,13 M","6,85%"
5,30/06/2023,"11,62","1,03","0,87","5,13","0,66","R$ 198,26 M","6,05%"
6,31/03/2023,"6,11","0,84","0,68","5,78","0,50","R$ 160,59 M","7,47%"
7,31/12/2022,"5,16","0,90","0,69","27,97","0,61","R$ 169,84 M","7,07%"
8,30/09/2022,"4,67","0,90","0,70","11,70","0,58","R$ 175,79 M","4,06%"
9,30/06/2022,"5,25","1,04","0,80","4,05","0,65","R$ 196,94 M","3,62%"
10,31/03/2022,"6,64","1,21","0,91","3,93","0,68","R$ 214,78 M","3,32%"
11,31/12/2021,"10,04","1,55","1,18","3,66","0,90","R$ 260,38 M","5,42%"
12,30/09/2021,"11,49","1,80","1,45","4,00","1,09","R$ 296,73 M","4,75%"
13,30/06/2021,"13,94","2,09","1,79","5,02","1,35","R$ 330,43 M","7,92%"
14,31/03/2021,"19,35","2,26","2,19","5,93","1,41","R$ 361,49 M","5,31%"
15,31/12/2020,"20,54","1,95","2,02","10,66","1,48","R$ 304,66 M","6,30%"
16,30/09/2020,"24,19","1,87","2,02","14,07","1,32","R$ 287,48 M","14,38%"
17,30/06/2020,"28,70","1,99","2,29","23,98","1,54","R$ 319,20 M","12,95%"
18,31/03/2020,"16,36","1,52","1,67","11,95","1,18","R$ 243,86 M","12,00%"
19,31/12/2019,"14,04","1,58","1,69","7,86","1,11","R$ 252,45 M","11,59%"
20,30/09/2019,"24,13","1,75","2,18","9,54","1,40","R$ 319,20 M","0,00%"
21,30/06/2019,"27,66","1,67","1,99","13,82","1,32","R$ 298,05 M","0,00%"
22,31/03/2019,"25,61","0,99","1,15","7,47","0,76","R$ 172,49 M","0,00%"
23,31/12/2018,"57,25","1,13","1,30","11,08","0,90","R$ 194,29 M","0,00%"
24,30/09/2018,"-59,42","1,06","1,20","20,50","0,81","R$ 179,09 M","0,00%"
25,30/06/2018,"-32,88","0,93","1,04","8,88","0,71","R$ 155,30 M","0,00%"
26,31/03/2018,"-20,72","0,97","1,08","26,30","0,75","R$ 163,23 M","0,00%"
27,31/12/2017,"-29,52","1,12","1,19","53,90","0,87","R$ 187,69 M","0,00%"
28,30/09/2017,"-6,15","0,92","0,98","4.550,52","0,70","R$ 159,27 M","0,00%"
29,30/06/2017,"-4,30","0,76","0,78","-10,99","0,57","R$ 130,85 M","0,00%"
30,31/03/2017,"-5,52","0,84","0,83","-30,01","0,61","R$ 147,37 M","0,00%"
31,31/12/2016,"-7,95","1,11","1,04","19,02","0,83","R$ 192,97 M","0,00%"
32,30/09/2016,"163,28","0,84","0,85","8,41","0,63","R$ 167,20 M","4,49%"
33,30/06/2016,"28,12","1,14","1,13","8,35","0,86","R$ 230,64 M","3,25%"
34,31/03/2016,"12,42","0,72","0,67","5,89","0,52","R$ 145,39 M","5,16%"
35,31/12/2015,"10,69","0,71","0,63","6,09","0,52","R$ 140,10 M","5,35%"
36,30/09/2015,"-150,93","0,57","0,50","5,23","0,42","R$ 116,97 M","8,55%"
37,30/06/2015,"-105,38","0,70","0,59","5,07","0,52","R$ 141,42 M","7,07%"
38,31/03/2015,"-74,59","0,78","0,65","4,46","0,54","R$ 155,30 M","6,44%"
39,31/12/2014,"-49,40","0,62","0,49","3,92","0,44","R$ 118,96 M","8,41%"
40,30/09/2014,"18,06","0,90","0,77","8,03","0,69","R$ 193,63 M","3,36%"
41,30/06/2014,"22,04","1,17","0,98","10,84","0,93","R$ 248,48 M","2,62%"
42,31/03/2014,"23,91","1,38","1,13","8,84","1,08","R$ 290,78 M","11,20%"
43,31/12/2013,"19,33","1,29","1,03","7,64","1,03","R$ 265,01 M","12,29%"
44,30/09/2013,NA,"1,91",NA,"5,60","1,53","R$ 403,13 M","8,70%"
45,30/06/2013,NA,"1,86",NA,"6,86","1,53","R$ 388,59 M","9,02%"
46,31/03/2013,NA,"2,72",NA,"14,50","2,16","R$ 621,21 M","1,45%"
47,31/12/2012,"14,97","2,84","2,26","13,54","2,30","R$ 631,12 M","1,43%"
48,30/09/2012,"16,07","3,38","2,65","21,23","2,66","R$ 753,38 M","0,00%"
49,30/06/2012,"18,99","4,71","3,37","46,26","2,48","R$ 991,30 M","0,00%"
50,31/03/2012,"15,24","11,07","2,99","41,35","3,33","R$ 882,73 M","0,00%"
51,31/12/2011,"1,46","0,43","0,29","2,23","0,33","R$ 84,48 M","0,00%"
