,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker,fluxo_caixa_operacional_valor,fluxo_caixa_operacional_unidade,fluxo_caixa_investimentos_valor,fluxo_caixa_investimentos_unidade,fluxo_caixa_financiamentos_valor,fluxo_caixa_financiamentos_unidade,fluxo_caixa_equivalentes_valor,fluxo_caixa_equivalentes_unidade
0,31/12/2015,"R$ 98,56 M","- R$ 103,75 M","- R$ 15,10 M","- R$ 20,29 M",262,98560000.0,M,103750000.0,M,15100000.0,M,20290000.0,M
1,31/03/2016,"R$ 102,18 M","- R$ 101,91 M","- R$ 22,86 M","- R$ 22,58 M",262,102180000.0,M,101910000.0,M,22860000.0,M,22580000.0,M
2,30/06/2016,"R$ 86,57 M","- R$ 73,48 M","- R$ 9,76 M","R$ 3,34 M",262,86570000.0,M,73480000.0,M,9760000.0,M,3340000.0,M
3,30/09/2016,"R$ 82,10 M","- R$ 69,69 M","R$ 11,44 M","R$ 23,85 M",262,82100000.0,M,69690000.0,M,11440000.0,M,23850000.0,M
4,31/12/2016,"R$ 78,97 M","- R$ 150,64 M","R$ 209,07 M","R$ 137,41 M",262,78970000.0,M,150640000.0,M,209070000.0,M,137410000.0,M
5,31/03/2017,"R$ 81,26 M","- R$ 188,63 M","R$ 135,69 M","R$ 28,32 M",262,81260000.0,M,188630000.0,M,135690000.0,M,28320000.0,M
6,30/06/2017,"R$ 101,11 M","- R$ 250,07 M","R$ 176,26 M","R$ 27,30 M",262,101110000.0,M,250070000.0,M,176260000.0,M,27300000.0,M
7,30/09/2017,"R$ 112,00 M","- R$ 243,75 M","R$ 137,84 M","R$ 6,09 M",262,112000000.0,M,243750000.0,M,137840000.0,M,6090000.0,M
8,31/12/2017,"R$ 134,19 M","- R$ 167,98 M","- R$ 33,95 M","- R$ 67,74 M",262,134190000.0,M,167980000.0,M,33950000.0,M,67740000.0,M
9,31/03/2018,"R$ 144,32 M","- R$ 173,68 M","R$ 44,38 M","R$ 15,02 M",262,144320000.0,M,173680000.0,M,44380000.0,M,15020000.0,M
10,30/06/2018,"R$ 156,82 M","- R$ 132,11 M","- R$ 12,40 M","R$ 12,30 M",262,156820000.0,M,132110000.00000001,M,12400000.0,M,12300000.0,M
11,30/09/2018,"R$ 133,38 M","- R$ 127,40 M","- R$ 9,81 M","- R$ 3,84 M",262,133380000.0,M,127400000.0,M,9810000.0,M,3840000.0,M
12,31/12/2018,"R$ 161,19 M","- R$ 116,01 M","- R$ 63,61 M","- R$ 18,43 M",262,161190000.0,M,116010000.0,M,63610000.0,M,18430000.0,M
13,31/03/2019,"R$ 176,92 M","- R$ 75,91 M","- R$ 105,28 M","- R$ 4,26 M",262,176920000.0,M,75910000.0,M,105280000.0,M,4260000.0,M
