,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/06/2024,"0,66%","0,76%","1,01%","1,15%","-2,58%","-0,84%","-9,59%","-4,77%","4,48%","6,12%","0,18","2,58","1,58","28,10"
1,31/03/2024,"0,15%","0,17%","0,23%","0,26%","-7,94%","-2,63%","-7,07%","-13,29%","0,89%","2,75%","0,20","2,88","1,88","57,59"
2,31/12/2023,"-0,59%","-0,65%","-0,90%","-0,99%","-11,02%","-3,56%","-4,21%","-17,70%","-3,36%","-1,40%","0,20","3,00","2,00","-118,09"
3,30/09/2023,"-4,09%","-4,57%","-6,20%","-6,93%","-12,48%","-3,70%","3,46%","-18,28%","-23,01%","-20,38%","0,20","3,12","2,12","-8,08"
4,30/06/2023,"-3,62%","-4,08%","-5,48%","-6,18%","-9,97%","-3,44%","7,81%","-14,20%","-17,12%","-14,50%","0,24","3,08","2,08","-10,70"
5,31/03/2023,"-3,30%","-3,54%","-5,00%","-5,36%","-6,46%","-2,42%","9,94%","-9,51%","-14,73%","-12,12%","0,25","3,01","2,01","-12,68"
6,31/12/2022,"-2,43%","-2,58%","-3,69%","-3,92%","-4,58%","-1,76%","13,47%","-7,32%","-11,54%","-8,49%","0,24","3,10","2,10","-20,40"
7,30/09/2022,"2,17%","2,44%","3,28%","3,69%","-1,73%","-0,74%","16,71%","-2,95%","10,45%","13,59%","0,25","3,37","2,37","15,71"
8,30/06/2022,"3,41%","3,73%","5,17%","5,65%","1,54%","0,62%","23,32%","2,96%","19,18%","22,64%","0,21","2,90","1,90","8,80"
9,31/03/2022,"4,68%","5,05%","7,08%","7,65%","4,34%","1,58%","27,33%","8,11%","25,79%","28,97%","0,19","2,66","1,66","6,44"
10,31/12/2021,"5,13%","5,62%","7,78%","8,51%","5,20%","2,17%","25,50%","9,93%","25,74%","28,29%","0,22","2,60","1,60","6,63"
11,30/09/2021,"3,87%","4,25%","5,86%","6,43%","4,06%","1,78%","25,06%","5,21%","12,30%","13,58%","0,34","2,35","1,35","7,25"
12,30/06/2021,"2,80%","3,11%","4,24%","4,70%","-0,12%","-0,05%","21,84%","-0,12%","7,44%","8,44%","0,41","2,49","1,49","12,74"
13,31/03/2021,"0,80%","0,93%","1,21%","1,40%","-4,32%","-1,51%","20,30%","-3,88%","2,27%","3,18%","0,39","2,75","1,75","40,52"
14,31/12/2020,"0,13%","0,15%","0,19%","0,22%","-8,56%","-3,00%","20,50%","-8,66%","0,41%","1,34%","0,35","2,40","1,40","76,75"
15,30/09/2020,"-1,29%","-1,57%","-1,95%","-2,38%","-7,50%","-2,28%","24,71%","-13,92%","-8,61%","-6,61%","0,16","2,28","1,28","-26,59"
16,30/06/2020,"0,46%","0,59%","0,70%","0,89%","-0,64%","-0,15%","32,57%","-1,02%","3,28%","5,97%","0,15","2,40","1,40","30,35"
17,31/03/2020,"1,28%","1,65%","1,94%","2,49%","1,60%","0,31%","34,98%","1,90%","8,11%","11,29%","0,16","2,85","1,85","16,56"
18,31/12/2019,"0,38%","0,50%","0,57%","0,76%","-2,80%","-0,54%","29,41%","-3,43%","2,56%","6,10%","0,16","2,86","1,86","29,40"
19,30/09/2019,"-9,86%","-12,09%","-14,94%","-18,32%","-43,16%","-13,10%","6,91%","-76,32%","-67,84%","-64,28%","0,17","3,29","2,29","-2,33"
20,30/06/2019,"-10,58%","-12,85%","-16,03%","-19,47%","-44,17%","-13,88%","8,69%","-62,51%","-56,47%","-53,24%","0,22","4,20","3,20","-2,23"
21,31/03/2019,"-10,81%","-12,69%","-16,37%","-19,23%","-44,14%","-14,29%","11,66%","-50,14%","-44,29%","-41,65%","0,29","5,18","4,18","-2,27"
22,31/12/2018,"-10,94%","-13,06%","-16,58%","-19,79%","-55,53%","-14,58%","11,94%","-43,66%","-37,73%","-35,51%","0,33","5,14","4,14","-2,51"
23,30/09/2018,"-12,75%","-14,44%","-19,31%","-21,88%","-48,08%","-17,10%","-2,82%","-62,74%","-56,52%","-54,21%","0,27","3,30","2,30","-1,88"
24,30/06/2018,"-14,32%","-16,02%","-21,70%","-24,28%","-51,35%","-19,12%","-9,83%","-83,95%","-76,91%","-74,10%","0,23","3,18","2,18","-1,53"
25,31/03/2018,"-14,73%","-16,39%","-22,32%","-24,83%","-55,14%","-16,45%","-24,78%","-124,90%","-112,87%","-108,88%","0,13","3,09","2,09","-1,29"
26,31/12/2017,"-14,77%","-16,13%","-22,38%","-24,44%","-44,07%","-16,31%","-34,48%","-139,59%","-141,94%","-136,67%","0,12","3,81","2,81","-1,29"
27,30/09/2017,"-8,90%","-9,58%","-13,49%","-14,51%","-47,38%","-21,82%","-25,88%","-195,86%","-98,69%","-93,53%","0,11","2,81","1,81","-1,80"
