,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao
39,30/09/2014,"R$ 1,17 B","R$ 135,35 M","R$ 0,77",174.931.000,0,0,174.931.000,9.713.000,0,0,9.713.000,165.218.000,0,165.218.000
40,30/06/2014,"R$ 1,17 B","R$ 138,33 M","R$ 0,79",174.931.000,0,0,174.931.000,8.896.000,0,0,8.896.000,166.035.000,0,166.035.000
41,31/03/2014,"R$ 986,06 M","R$ 145,58 M","R$ 0,85",172.171.000,0,0,172.171.000,5.370.000,0,0,5.370.000,166.801.000,0,166.801.000
42,31/12/2013,"R$ 989,62 M","R$ 156,12 M","R$ 0,91",172.171.000,0,0,172.171.000,3.919.000,0,0,3.919.000,168.252.000,0,168.252.000
43,30/09/2013,"R$ 980,49 M","R$ 165,99 M","R$ 0,96",172.171.000,0,0,172.171.000,2.861.000,0,0,2.861.000,169.310.000,0,169.310.000
44,30/06/2013,"R$ 1,00 B","R$ 178,87 M","R$ 1,04",172.171.000,0,0,172.171.000,1.058.000,0,0,1.058.000,171.113.000,0,171.113.000
45,31/03/2013,"R$ 921,44 M","R$ 199,43 M","R$ 1,16",172.171.000,0,0,172.171.000,0,0,0,0,172.171.000,0,172.171.000
46,31/12/2012,"R$ 973,06 M","R$ 208,05 M","R$ 1,21",172.171.000,0,0,172.171.000,25.599.000,0,0,25.599.000,146.572.000,0,146.572.000
47,30/09/2012,"R$ 956,34 M","R$ 198,95 M","R$ 1,16",171.750.000,0,0,171.750.000,355.000,0,0,355.000,171.395.000,0,171.395.000
48,30/06/2012,"R$ 929,18 M","R$ 189,70 M","R$ 1,10",171.750.000,0,0,171.750.000,853.000,0,0,853.000,170.897.000,0,170.897.000
49,31/03/2012,"R$ 701,92 M","R$ 211,05 M","R$ 3,69",57.250.000,0,0,57.250.000,47.000,0,0,47.000,57.203.000,0,57.203.000
50,31/12/2011,"R$ 542,89 M","R$ 197,02 M","R$ 3,44",57.250.000,0,0,57.250.000,162.000,0,0,162.000,57.088.000,0,57.088.000
51,30/09/2011,"R$ 466,02 M","R$ 162,76 M","R$ 2,84",57.250.000,0,0,57.250.000,1.112.000,0,0,1.112.000,56.138.000,0,56.138.000
52,30/06/2011,"R$ 331,65 M","R$ 184,04 M","R$ 3,21",57.250.000,0,0,57.250.000,150.000,0,0,150.000,57.100.000,0,57.100.000
53,31/03/2011,"R$ 302,15 M","R$ 165,69 M","R$ 2,89",57.250.000,0,0,57.250.000,350.000,0,0,350.000,56.900.000,0,56.900.000
54,31/12/2010,"R$ 275,07 M","R$ 152,99 M","R$ 2,67",57.250.000,0,0,57.250.000,574.000,0,0,574.000,56.676.000,0,56.676.000
55,30/09/2010,"R$ 230,81 M","R$ 162,59 M","R$ 2,84",57.250.000,0,0,57.250.000,108.000,0,0,108.000,57.142.000,0,57.142.000
56,30/06/2010,"R$ 223,71 M","R$ 161,68 M","R$ 2,82",57.250.000,0,0,57.250.000,108.000,0,0,108.000,57.142.000,0,57.142.000
57,31/03/2010,"R$ 213,92 M","R$ 158,45 M","R$ 2,77",57.250.000,0,0,57.250.000,0,0,0,0,57.250.000,0,57.250.000
58,31/12/2009,"R$ 211,20 M","R$ 154,03 M","R$ 2,69",57.250.000,0,0,57.250.000,0,0,0,0,57.250.000,0,57.250.000
59,30/09/2009,"R$ 203,98 M","R$ 160,89 M","R$ 2,81",57.250.000,0,0,57.250.000,0,0,0,0,57.250.000,0,57.250.000
60,30/06/2009,"R$ 199,46 M","R$ 156,45 M","R$ 2,73",57.250.000,0,0,57.250.000,0,0,0,0,57.250.000,0,57.250.000
61,31/03/2009,"R$ 216,71 M","R$ 154,36 M","R$ 2,70",57.250.000,0,0,57.250.000,0,0,0,0,57.250.000,0,57.250.000
62,31/12/2008,"R$ 210,88 M","R$ 154,01 M","R$ 2,69",57.250.000,0,0,57.250.000,0,0,0,0,57.250.000,0,57.250.000
63,30/09/2008,"R$ 204,44 M","R$ 166,60 M","R$ 2,91",57.250.000,0,0,57.250.000,0,0,0,0,57.250.000,0,57.250.000
64,30/06/2008,"R$ 203,21 M","R$ 165,91 M","R$ 2,90",57.250.000,0,0,57.250.000,0,0,0,0,57.250.000,0,57.250.000
65,31/03/2008,"R$ 118,23 M","R$ 19,00 M","R$ 0,54",35.000.000,0,0,35.000.000,0,0,0,0,35.000.000,0,35.000.000
66,31/12/2007,"R$ 92,42 M","R$ 51,62 M","R$ 5,16",10.000.000,0,0,10.000.000,0,0,0,0,10.000.000,0,10.000.000
