,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 222,64 M","- R$ 12,27 M","- R$ 620,34 M","- R$ 409,98 M"
1,31/03/2024,"R$ 378,69 M","R$ 317,80 M","- R$ 532,46 M","R$ 164,03 M"
2,31/12/2023,"R$ 756,98 M","- R$ 163,00 M","- R$ 298,62 M","R$ 295,36 M"
3,30/09/2023,"R$ 239,63 M","R$ 344,10 M","- R$ 306,98 M","R$ 276,76 M"
4,30/06/2023,"R$ 132,72 M","- R$ 170,40 M","- R$ 484,99 M","- R$ 522,67 M"
5,31/03/2023,"R$ 198,67 M","- R$ 956,00 M","- R$ 50,28 M","- R$ 807,61 M"
6,31/12/2022,"R$ 805,79 M","- R$ 120,04 M","R$ 504,45 M","R$ 1,19 B"
7,30/09/2022,"R$ 429,69 M","- R$ 129,50 M","- R$ 328,84 M","- R$ 28,65 M"
8,30/06/2022,"R$ 12,70 M","- R$ 163,20 M","- R$ 374,17 M","- R$ 524,67 M"
9,31/03/2022,"- R$ 140,64 M","- R$ 119,78 M","- R$ 58,08 M","- R$ 318,50 M"
10,31/12/2021,"R$ 216,42 M","R$ 101,78 M","- R$ 63,83 M","R$ 254,37 M"
11,30/09/2021,"R$ 69,00 M","- R$ 82,60 M","- R$ 58,76 M","- R$ 72,36 M"
12,30/06/2021,"- R$ 55,09 M","- R$ 124,92 M","- R$ 625,99 M","- R$ 806,00 M"
13,31/03/2021,"- R$ 199,89 M","- R$ 51,02 M","- R$ 321,27 M","- R$ 572,18 M"
14,31/12/2020,"R$ 626,29 M","- R$ 94,86 M","- R$ 524,02 M","R$ 7,41 M"
15,30/09/2020,"R$ 588,62 M","- R$ 86,21 M","R$ 466,53 M","R$ 968,93 M"
16,30/06/2020,"R$ 313,31 M","R$ 267,41 M","R$ 785,00 M","R$ 1,37 B"
17,31/03/2020,"- R$ 137,79 M","- R$ 215,57 M","- R$ 9,76 M","- R$ 363,12 M"
18,31/12/2019,"R$ 595,35 M","- R$ 22,63 M","- R$ 210,31 M","R$ 362,40 M"
19,30/09/2019,"R$ 270,99 M","- R$ 378,24 M","R$ 255,23 M","R$ 147,98 M"
20,30/06/2019,"R$ 227,67 M","- R$ 82,00 M","- R$ 173,22 M","- R$ 27,55 M"
21,31/03/2019,"- R$ 498,24 M","- R$ 61,38 M","R$ 253,08 M","- R$ 306,54 M"
22,31/12/2018,"R$ 412,27 M","- R$ 107,79 M","R$ 64,12 M","R$ 368,59 M"
23,30/09/2018,"R$ 150,92 M","- R$ 97,39 M","- R$ 46,42 M","R$ 7,11 M"
24,30/06/2018,"- R$ 129,15 M","- R$ 99,32 M","R$ 448,99 M","R$ 220,53 M"
25,31/03/2018,"- R$ 155,30 M","- R$ 66,90 M","- R$ 17,60 M","- R$ 239,79 M"
26,31/12/2017,"R$ 264,44 M","- R$ 91,31 M","- R$ 91,14 M","R$ 81,99 M"
27,30/09/2017,"R$ 126,40 M","- R$ 8,49 M","- R$ 75,35 M","R$ 42,57 M"
28,30/06/2017,"R$ 117,66 M","- R$ 43,41 M","- R$ 221,80 M","- R$ 147,56 M"
29,31/03/2017,"- R$ 57,00 M","- R$ 28,84 M","- R$ 97,23 M","- R$ 183,07 M"
30,31/12/2016,"R$ 348,50 M","- R$ 41,43 M","R$ 4,94 M","R$ 312,01 M"
31,30/09/2016,"R$ 31,74 M","- R$ 133,45 M","- R$ 100,56 M","- R$ 202,26 M"
32,30/06/2016,"R$ 28,66 M","- R$ 54,81 M","R$ 113,36 M","R$ 87,21 M"
33,31/03/2016,"R$ 8,53 M","- R$ 49,22 M","R$ 92,74 M","R$ 52,05 M"
34,31/12/2015,"R$ 349,05 M","- R$ 175,40 M","- R$ 43,13 M","R$ 130,52 M"
35,30/09/2015,"R$ 150,74 M","- R$ 77,97 M","R$ 39,93 M","R$ 112,69 M"
36,30/06/2015,"R$ 18,52 M","- R$ 164,23 M","R$ 124,61 M","- R$ 21,10 M"
37,31/03/2015,"- R$ 172,44 M","- R$ 112,32 M","R$ 71,02 M","- R$ 213,75 M"
38,31/12/2014,"R$ 81,98 M","- R$ 104,32 M","R$ 260,74 M","R$ 238,41 M"
39,30/09/2014,"R$ 57,84 M","- R$ 130,84 M","- R$ 24,18 M","- R$ 97,18 M"
40,30/06/2014,"R$ 67,95 M","- R$ 78,90 M","- R$ 12,21 M","- R$ 23,17 M"
41,31/03/2014,"- R$ 17,33 M","- R$ 62,12 M","R$ 87,48 M","R$ 8,03 M"
42,31/12/2013,"R$ 259,04 M","- R$ 122,00 M","- R$ 43,07 M","R$ 93,97 M"
43,30/09/2013,"R$ 178,37 M","- R$ 90,14 M","- R$ 37,03 M","R$ 51,20 M"
44,30/06/2013,"R$ 78,67 M","- R$ 86,50 M","- R$ 38,64 M","- R$ 46,47 M"
45,31/03/2013,"- R$ 59,74 M","- R$ 117,05 M","R$ 13,76 M","- R$ 163,03 M"
46,31/12/2012,"R$ 203,07 M","- R$ 102,85 M","R$ 91,24 M","R$ 191,46 M"
47,30/09/2012,"R$ 104,47 M","- R$ 64,50 M","- R$ 34,96 M","R$ 5,02 M"
48,30/06/2012,"R$ 103,86 M","- R$ 55,99 M","- R$ 16,48 M","R$ 31,40 M"
