,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 26/09/2024,"178,94","3,89","1,44","5,20","0,98","R$ 3,65 B","0,00%"
1,30/06/2024,"203,47","4,42","1,64","5,91","1,12","R$ 4,15 B","0,00%"
2,31/03/2024,"142,70","4,50","1,79","7,98","1,18","R$ 4,28 B","0,00%"
3,31/12/2023,"73,25","4,69","1,88","8,71","1,22","R$ 4,40 B","0,00%"
4,30/09/2023,"11,86","4,66","2,00","8,76","1,31","R$ 4,56 B","0,00%"
5,30/06/2023,"13,50","5,45","2,35","9,58","1,51","R$ 5,13 B","0,00%"
6,31/03/2023,"12,45","5,23","2,14","7,65","1,41","R$ 4,79 B","0,00%"
7,31/12/2022,"8,90","4,13","1,75","6,37","1,05","R$ 3,62 B","0,00%"
8,30/09/2022,"27,88","6,65","2,03","6,99","1,27","R$ 3,88 B","0,00%"
9,30/06/2022,"22,94","6,78","2,15","7,33","1,28","R$ 3,75 B","0,00%"
10,31/03/2022,"13,75","5,24","1,91","6,35","1,00","R$ 2,85 B","0,00%"
11,31/12/2021,"27,05","5,79","1,89","6,34","1,08","R$ 2,64 B","0,00%"
12,30/09/2021,"10,77","5,16","1,70","6,25","1,01","R$ 2,26 B","0,00%"
13,30/06/2021,"12,66","5,04","1,58","6,05","0,93","R$ 2,01 B","0,00%"
14,31/03/2021,"20,18","6,52","1,86","8,55","0,98","R$ 2,15 B","0,00%"
15,31/12/2020,"115,42","4,22","1,33","6,21","0,68","R$ 1,49 B","0,00%"
16,30/09/2020,"-14,74","7,27","1,47","6,60","0,75","R$ 1,58 B","0,00%"
17,30/06/2020,"-12,56","8,24","1,59","7,15","0,84","R$ 1,67 B","0,00%"
18,31/03/2020,"-12,64","6,74","1,27","4,80","0,72","R$ 1,37 B","0,00%"
19,31/12/2019,"145,12","5,10","1,53","5,40","0,84","R$ 1,62 B","0,00%"
20,30/09/2019,"84,82","-3,32","1,06","4,62","0,86","R$ 1,10 B","0,00%"
21,30/06/2019,"22,12","-2,11","0,69","3,48","0,53","R$ 710,09 M","0,00%"
22,31/03/2019,"-10,86","-0,95","0,33","2,60","0,28","R$ 331,28 M","0,00%"
23,31/12/2018,"54,56","-0,92","0,34","3,29","0,29","R$ 327,45 M","0,00%"
24,30/09/2018,"-8,36","-0,60","0,23","1,61","0,19","R$ 224,76 M","0,00%"
25,30/06/2018,"-2,65","-0,31","0,13","0,62","0,10","R$ 116,77 M","0,00%"
26,31/03/2018,"-0,10","-0,16","0,06","0,22","0,05","R$ 55,82 M","0,00%"
27,31/12/2017,"-0,13","-0,20","0,09","0,34","0,07","R$ 80,35 M","0,00%"
28,30/09/2017,"-0,15","-0,21","0,10","0,34","0,07","R$ 79,18 M","0,00%"
29,30/06/2017,"-0,16","-0,24","0,11","0,50","0,07","R$ 87,36 M","0,00%"
30,31/03/2017,"1,91","0,48","0,12","0,69","0,05","R$ 96,23 M","0,00%"
31,31/12/2016,"0,73","0,36","0,09","0,37","0,04","R$ 68,78 M","0,00%"
