,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"- R$ 2,07 M","R$ 523,84 M","- R$ 841,83 M","- R$ 320,06 M",1
1,31/03/2024,"R$ 128,67 M","- R$ 268,35 M","- R$ 70,00 M","- R$ 209,68 M",1
2,31/12/2023,"R$ 312,77 M","- R$ 226,96 M","R$ 332,39 M","R$ 418,20 M",1
3,30/09/2023,"R$ 141,11 M","R$ 106,54 M","- R$ 362,31 M","- R$ 114,67 M",1
4,30/06/2023,"R$ 212,66 M","- R$ 253,81 M","- R$ 48,33 M","- R$ 89,48 M",1
5,31/03/2023,"R$ 13,32 M","R$ 880,09 M","- R$ 604,74 M","R$ 288,66 M",1
6,31/12/2022,"R$ 54,57 M","- R$ 9,23 M","- R$ 102,79 M","- R$ 57,45 M",1
7,30/09/2022,"- R$ 55,50 M","R$ 754,24 M","- R$ 1,47 B","- R$ 767,74 M",1
8,30/06/2022,"R$ 131,95 M","- R$ 381,17 M","- R$ 318,66 M","- R$ 567,87 M",1
9,31/03/2022,"- R$ 13,68 M","R$ 75,94 M","- R$ 148,90 M","- R$ 86,64 M",1
10,31/12/2021,"R$ 159,09 M","- R$ 143,29 M","R$ 452,41 M","R$ 468,22 M",1
11,30/09/2021,"R$ 130,60 M","R$ 134,92 M","- R$ 337,44 M","- R$ 71,91 M",1
12,30/06/2021,"R$ 60,70 M","- R$ 253,36 M","- R$ 87,42 M","- R$ 280,08 M",1
13,31/03/2021,"R$ 153,20 M","- R$ 131,88 M","- R$ 741,43 M","- R$ 720,11 M",1
14,31/12/2020,"R$ 88,83 M","R$ 602,81 M","- R$ 993,35 M","- R$ 301,71 M",1
15,30/09/2020,"R$ 189,09 M","- R$ 1,39 B","R$ 1,35 B","R$ 147,05 M",1
16,30/06/2020,"R$ 199,73 M","R$ 169,48 M","R$ 461,94 M","R$ 831,14 M",1
17,31/03/2020,"- R$ 221,30 M","- R$ 918,76 M","R$ 2,46 B","R$ 1,32 B",1
18,31/12/2019,"R$ 748,48 M","- R$ 390,82 M","- R$ 160,32 M","R$ 197,34 M",1
19,30/09/2019,"- R$ 221,22 M","R$ 498,93 M","- R$ 338,73 M","- R$ 61,02 M",1
20,30/06/2019,"R$ 159,38 M","- R$ 357,28 M","- R$ 1,05 B","- R$ 1,25 B",1
21,31/03/2019,"- R$ 267,42 M","R$ 270,56 M","- R$ 4,42 M","- R$ 1,28 M",1
22,31/12/2018,"R$ 60,00 M","- R$ 1,54 B","- R$ 408,08 M","- R$ 1,89 B",1
23,30/09/2018,"R$ 674,65 M","- R$ 2,95 B","R$ 5,24 B","R$ 2,97 B",1
24,30/06/2018,"R$ 383,31 M","- R$ 193,19 M","- R$ 596,33 M","- R$ 406,22 M",1
25,31/03/2018,"R$ 11,48 M","- R$ 111,65 M","- R$ 13,37 M","- R$ 113,54 M",1
26,31/12/2017,"R$ 564,32 M","- R$ 425,65 M","- R$ 228,73 M","- R$ 90,06 M",1
27,30/09/2017,"R$ 549,35 M","- R$ 155,05 M","- R$ 166,26 M","R$ 228,04 M",1
28,30/06/2017,"R$ 565,07 M","- R$ 392,89 M","- R$ 335,51 M","- R$ 163,33 M",1
29,31/03/2017,"R$ 147,67 M","- R$ 94,23 M","- R$ 47,13 M","R$ 6,31 M",1
30,31/12/2016,"R$ 665,10 M","- R$ 283,57 M","- R$ 212,59 M","R$ 168,93 M",1
31,30/09/2016,"R$ 511,00 M","- R$ 58,63 M","- R$ 206,01 M","R$ 246,37 M",1
32,30/06/2016,"R$ 681,33 M","- R$ 133,74 M","- R$ 188,21 M","R$ 359,39 M",1
33,31/03/2016,"- R$ 37,32 M","R$ 326,61 M","- R$ 118,23 M","R$ 171,06 M",1
34,31/12/2015,"R$ 217,91 M","- R$ 141,42 M","- R$ 155,11 M","- R$ 78,63 M",1
35,30/09/2015,"R$ 393,23 M","- R$ 68,41 M","- R$ 232,57 M","R$ 92,25 M",1
36,30/06/2015,"R$ 237,59 M","- R$ 94,27 M","- R$ 85,94 M","R$ 57,39 M",1
37,31/03/2015,"R$ 62,59 M","- R$ 115,54 M","- R$ 70,60 M","- R$ 123,55 M",1
38,31/12/2014,"R$ 342,84 M","- R$ 118,17 M","- R$ 166,75 M","R$ 57,92 M",1
39,30/09/2014,"R$ 416,93 M","R$ 26,80 M","- R$ 536,44 M","- R$ 92,70 M",1
40,30/06/2014,"R$ 263,15 M","- R$ 88,38 M","- R$ 217,58 M","- R$ 42,82 M",1
41,31/03/2014,"R$ 181,98 M","- R$ 39,86 M","- R$ 32,69 M","R$ 109,43 M",1
42,31/12/2013,"R$ 34,51 M","- R$ 49,63 M","- R$ 31,46 M","- R$ 46,58 M",1
43,30/09/2013,"R$ 185,92 M","- R$ 29,39 M","- R$ 43,79 M","R$ 112,74 M",1
44,30/06/2013,"R$ 206,92 M","- R$ 61,14 M","- R$ 104,03 M","R$ 41,75 M",1
45,31/03/2013,"R$ 132,25 M","- R$ 35,12 M","- R$ 1,72 M","R$ 95,41 M",1
46,31/12/2012,"R$ 76,76 M","- R$ 178,29 M","- R$ 1,44 M","- R$ 102,96 M",1
47,30/09/2012,"R$ 128,80 M","- R$ 37,95 M","- R$ 3,69 M","R$ 87,16 M",1
48,30/06/2012,"R$ 59,23 M","- R$ 348,31 M","- R$ 10,88 M","- R$ 299,95 M",1
49,31/03/2012,"R$ 49,36 M","- R$ 266,76 M","R$ 597,43 M","R$ 380,03 M",1
50,31/12/2011,"- R$ 26,66 M","- R$ 400,57 M","R$ 539,07 M","R$ 111,84 M",1
51,30/09/2011,"R$ 7,43 M","- R$ 273,83 M","R$ 289,06 M","R$ 22,66 M",1
52,30/06/2011,"R$ 4,99 M","- R$ 7,77 M","- R$ 7,96 M","- R$ 10,75 M",1
53,31/03/2011,"R$ 11,58 M","- R$ 9,96 M","- R$ 192,00 mil","R$ 1,42 M",1
