,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
0,30/06/2024,"95,87%","65,38%","92,43%","71,83%","0,91","1,34","0,34"
1,31/03/2024,"77,09%","51,08%","91,76%","84,24%","0,61","1,34","0,34"
2,31/12/2023,"-2,20%","-1,47%","91,91%","-2,42%","0,61","1,53","0,53"
3,30/09/2023,"-0,38%","-0,28%","92,38%","-0,43%","0,64","1,54","0,54"
4,30/06/2023,"8,62%","6,16%","94,22%","8,23%","0,75","1,47","0,47"
5,31/03/2023,"15,92%","10,68%","95,46%","13,01%","0,82","1,51","0,51"
6,31/12/2022,"63,38%","37,49%","97,47%","27,93%","1,34","1,49","0,49"
7,30/09/2022,"57,96%","38,09%","98,70%","29,07%","1,31","1,38","0,38"
8,30/06/2022,"52,40%","33,90%","99,19%","27,56%","1,23","1,40","0,40"
9,31/03/2022,"67,14%","32,54%","100,00%","30,89%","1,05","1,49","0,49"
10,31/12/2021,"41,78%","22,28%","100,00%","21,57%","1,03","1,69","0,69"
11,30/09/2021,"46,50%","29,28%","100,00%","25,25%","1,16","1,52","0,52"
12,30/06/2021,"96,37%","54,03%","100,00%","33,45%","1,62","1,55","0,55"
13,31/03/2021,"146,24%","69,08%","100,00%","35,50%","1,95","2,06","1,06"
14,31/12/2020,"240,49%","84,31%","100,00%","40,02%","2,11","1,88","0,88"
15,30/09/2020,"278,19%","93,92%","100,00%","44,46%","2,11","1,59","0,59"
16,30/06/2020,"172,38%","60,21%","100,00%","41,37%","1,46","1,78","0,78"
17,31/03/2020,"121,75%","38,30%","100,00%","40,65%","0,94","2,12","1,12"
18,31/12/2019,"70,11%","18,80%","100,00%","22,35%","0,84","2,85","1,85"
19,30/09/2019,"218,81%","31,22%","100,00%","28,69%","1,09","2,96","1,96"
20,30/06/2019,"-399,73%","88,27%","100,00%","47,33%","1,87","2,86","1,86"
21,31/03/2019,"-252,37%","97,29%","100,00%","62,16%","1,57","3,18","2,18"
22,31/12/2018,"-174,10%","135,20%","100,00%","88,78%","1,52","3,73","2,73"
23,30/09/2018,"-123,19%","216,99%","100,00%","193,24%","1,12","7,01","6,01"
24,30/06/2018,"-79,44%","315,63%","100,00%","20.696,43%","0,02","-4,53","-5,53"
25,31/03/2018,NA,NA,"0,00%","0,00%",NA,"-2,59","-3,59"
26,31/12/2017,NA,NA,"0,00%","0,00%",NA,"-2,59","-3,59"
27,30/09/2017,NA,NA,"44,14%","-3.561,28%",NA,"-0,57","-1,57"
28,30/06/2017,NA,NA,"44,14%","-3.561,28%",NA,"-0,57","-1,57"
29,31/03/2017,NA,NA,"44,14%","-3.646,39%",NA,"-0,25","-1,25"
30,31/12/2016,"1,83%","-25,30%","0,00%","0,00%","0,00","-0,07","-1,07"
31,30/09/2016,"0,88%","-12,13%","0,00%","0,00%","0,00","-0,07","-1,07"
32,30/06/2016,"0,88%","-12,13%","0,00%","0,00%","0,00","-0,07","-1,07"
33,31/03/2016,"-0,30%","4,16%","0,00%","0,00%","0,00","-0,07","-1,07"
34,31/12/2015,"0,06%","-0,87%","0,00%","0,00%","0,00","-0,07","-1,07"
35,30/09/2015,"2,49%","-34,15%","0,00%","0,00%","0,00","-0,07","-1,07"
36,30/06/2015,"5,86%","-80,00%","0,00%","0,00%","0,00","-0,07","-1,07"
37,31/03/2015,"9,10%","-121,94%","0,00%","0,00%","0,00","-0,07","-1,07"
38,31/12/2014,"14,90%","-192,02%","0,00%","0,00%","0,00","-0,07","-1,07"
39,30/09/2014,"5,37%","-246,99%","0,00%","0,00%","0,00","-0,07","-1,07"
40,30/06/2014,"5,82%","-267,81%","0,00%","0,00%","0,00","-0,07","-1,07"
41,31/03/2014,"6,55%","-300,19%","0,00%","0,00%","0,00","-0,07","-1,07"
42,31/12/2013,"6,96%","-316,37%","0,00%","0,00%","0,00","-0,08","-1,08"
43,30/09/2013,"10,85%","-472,58%","0,00%","0,00%","0,00","-0,02","-1,02"
44,30/06/2013,"10,43%","-455,69%","0,00%","0,00%","0,00","-0,02","-1,02"
45,31/03/2013,"9,52%","-416,73%","0,00%","0,00%","0,00","-0,02","-1,02"
46,31/12/2012,"9,52%","-416,73%","0,00%","0,00%","0,00","-0,02","-1,02"
47,30/09/2012,"2,27%","-102,51%","0,00%","0,00%","0,00","-0,02","-1,02"
48,30/06/2012,"2,09%","-95,94%","0,00%","0,00%","0,00","-0,02","-1,02"
49,31/03/2012,"2,13%","-101,57%","0,00%","0,00%","0,00","-0,02","-1,02"
50,31/12/2011,"2,23%","-107,32%","0,00%","0,00%","0,00","-0,02","-1,02"
51,30/09/2011,"2,67%","-160,29%","0,00%","0,00%","0,00","-0,02","-1,02"
52,30/06/2011,"2,93%","-174,79%","0,00%","0,00%","0,00","-0,02","-1,02"
53,31/03/2011,"3,04%","-179,66%","0,00%","0,00%","0,00","-0,02","-1,02"
54,31/12/2010,"3,38%","-196,85%","0,00%","0,00%","0,00","-0,02","-1,02"
55,30/09/2010,"4,32%","-249,57%","0,00%","0,00%","0,00","-0,02","-1,02"
56,30/06/2010,"4,25%","-248,97%","0,00%","0,00%","0,00","-0,02","-1,02"
57,31/03/2010,"4,29%","-253,89%","0,00%","0,00%","0,00","-0,02","-1,02"
58,31/12/2009,"3,77%","-221,26%","0,00%","0,00%","0,00","-0,02","-1,02"
59,30/09/2009,"3,93%","-930,49%","0,00%","0,00%","0,00","-0,02","-1,02"
60,30/06/2009,"4,09%","-958,54%","0,00%","0,00%","0,00","-0,02","-1,02"
61,31/03/2009,"4,12%","-953,66%","0,00%","0,00%","0,00","-0,02","-1,02"
62,31/12/2008,"4,20%","-998,73%","0,00%","0,00%","0,00","-0,02","-1,02"
63,30/09/2008,"4,65%","-1.091,14%","0,00%","0,00%","0,00","0,00","-1,00"
64,30/06/2008,"4,82%","-625,53%","0,00%","0,00%","0,00","0,00","-1,00"
65,31/03/2008,"4,74%","-609,93%","0,00%","0,00%","0,00","0,00","-1,00"
66,31/12/2007,"5,25%","-462,07%","0,00%","0,00%","0,00","0,00","-1,00"
67,30/09/2007,"4,67%","-407,39%","0,00%","0,00%","0,00","0,00","-1,00"
68,30/06/2007,"4,61%","-298,15%","0,00%","0,00%","0,00","-0,01","-1,01"
69,31/03/2007,"4,42%","-286,19%","0,00%","0,00%","0,00","-0,01","-1,01"
70,31/12/2006,"4,42%","-229,79%","0,00%","0,00%","0,00","-0,01","-1,01"
71,30/09/2006,"4,82%","-248,93%","0,00%","0,00%","0,00","-0,01","-1,01"
72,30/06/2006,"4,29%","-182,14%","0,00%","0,00%","0,00","-0,02","-1,02"
73,31/03/2006,"5,38%","-198,88%","0,00%","0,00%","0,00","-0,02","-1,02"
74,31/12/2005,"5,12%","-177,61%","0,00%","0,00%","0,00","-0,02","-1,02"
75,30/09/2005,"5,06%","-155,34%","0,00%","0,00%","0,00","-0,02","-1,02"
76,30/06/2005,"5,14%","-158,37%","0,00%","0,00%","0,00","-0,02","-1,02"
77,31/03/2005,"5,56%","-173,25%","0,00%","0,00%","0,00","-0,03","-1,03"
78,31/12/2004,"5,55%","-153,68%","0,00%","0,00%","0,00","-0,03","-1,03"
79,30/09/2004,"6,08%","-87,22%","0,00%","0,00%","0,00","-0,03","-1,03"
80,30/06/2004,"5,73%","-77,09%","0,00%","0,00%","0,00","-0,03","-1,03"
81,31/03/2004,"7,61%","-47,73%","0,00%","0,00%","0,00","-0,03","-1,03"
82,31/12/2003,"9,02%","-55,05%","0,00%","0,00%","0,00","-0,04","-1,04"
83,30/09/2003,"11,52%","-67,50%","0,00%","0,00%","0,00","-0,07","-1,07"
84,30/06/2003,"15,27%","-83,15%","0,00%","0,00%","0,00","-0,07","-1,07"
85,31/03/2003,"17,16%","-87,90%","0,00%","0,00%","0,00","-0,16","-1,16"
86,31/12/2002,"19,83%","-119,26%","0,00%","0,00%","0,00","-0,16","-1,16"
87,30/09/2002,"-15,98%","-13,95%","0,00%","0,00%","0,00","-0,17","-1,17"
88,30/06/2002,"-15,75%","-13,75%","100,00%","-290.360,00%","0,00","-0,18","-1,18"
89,31/03/2002,"-1.226,62%","-90,09%","100,00%","-294.633,33%","0,00","-0,20","-1,20"
90,31/12/2001,"-911,24%","-95,78%","100,00%","-299.493,33%","0,00","-0,17","-1,17"
91,31/03/2001,"-94,22%","-26,60%","-39,26%","3.515,74%","-0,01","14,43","13,43"
92,31/12/2000,"-93,85%","-33,59%","44,14%","-3.674,02%","0,01","9,59","8,59"
93,30/09/2000,"-83,86%","-44,87%","21,18%","1.707,16%","-0,03","3,30","2,30"
94,30/06/2000,"-83,63%","-49,15%","-121,21%","-8.608,57%","0,01","4,78","3,78"
