,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 30/09/2024,"3,23","1,58","2,32","293,79","1,18","R$ 60,23 M","0,00%"
1,30/06/2024,"2,49","1,22","1,79","226,44","0,91","R$ 46,42 M","0,00%"
2,31/03/2024,"2,68","1,32","2,26","76,32","0,98","R$ 51,89 M","0,00%"
3,31/12/2023,"-89,67","2,73","2,17","10,10","1,78","R$ 46,18 M","16,51%"
4,30/09/2023,"-492,44","2,75","2,14","7,76","1,79","R$ 50,23 M","15,18%"
5,30/06/2023,"27,48","3,12","2,26","9,57","2,13","R$ 60,70 M","12,56%"
6,31/03/2023,"16,81","2,61","2,19","6,23","1,73","R$ 65,46 M","11,65%"
7,31/12/2022,"5,13","2,19","1,43","6,75","1,47","R$ 51,42 M","3,19%"
8,30/09/2022,"5,47","2,12","1,59","6,07","1,54","R$ 56,66 M","2,90%"
9,30/06/2022,"7,03","2,55","1,94","7,11","1,82","R$ 65,46 M","2,51%"
10,31/03/2022,"7,03","2,55","1,94","7,11","1,82","R$ 65,46 M","2,51%"
11,31/12/2021,"4,64","1,97","1,43","4,53","1,32","R$ 48,27 M","2,99%"
12,30/09/2021,"10,72","4,60","2,71","10,75","3,02","R$ 82,13 M","7,63%"
13,30/06/2021,"9,50","6,31","3,18","17,62","4,08","R$ 112,01 M","5,60%"
14,31/03/2021,"13,90","11,59","4,93","99,85","5,62","R$ 179,72 M","3,49%"
15,31/12/2020,"6,69","5,68","2,68","21,61","3,03","R$ 82,55 M","0,00%"
16,30/09/2020,"6,04","4,44","2,68","14,74","2,80","R$ 73,14 M","0,00%"
17,30/06/2020,"7,96","5,04","3,29","11,91","2,82","R$ 61,65 M","0,00%"
18,31/03/2020,"6,24","3,43","2,54","6,04","1,62","R$ 30,30 M","0,00%"
19,31/12/2019,"9,99","4,12","2,23","4,39","1,44","R$ 21,11 M","0,00%"
20,30/09/2019,"10,42","7,15","2,99","7,87","2,41","R$ 31,14 M","0,00%"
21,30/06/2019,"10,42","7,15","2,99","7,87","2,41","R$ 31,14 M","0,00%"
22,31/03/2019,"6,31","8,42","2,99","14,51","2,94","R$ 37,83 M","0,00%"
23,31/12/2018,"6,97","16,36","6,19","24,18","4,39","R$ 49,32 M","0,00%"
24,30/09/2018,"7,75","41,15","14,97","18,68","5,87","R$ 56,22 M","0,00%"
25,30/06/2018,"8,11","-31,37","1.679,30","10,09","6,93","R$ 47,02 M","0,00%"
26,31/03/2018,"10,61","-22,77","0,00","6,96","8,78","R$ 59,56 M","0,00%"
27,31/12/2017,"16,04","-16,04","0,00","13,35","12,45","R$ 65,20 M","0,00%"
28,30/09/2017,"-0,83","-10,32","29,69","17,83","18,19","R$ 60,81 M","0,00%"
29,30/06/2017,"-0,78","-8,02","28,57","28,39","31,87","R$ 58,51 M","0,00%"
30,31/03/2017,"-390,21","-11,43","0,00","-267,16","160,21","R$ 94,04 M","0,00%"
31,31/12/2016,"-698,51","-12,54","0,00","-243,39","173,73","R$ 101,98 M","0,00%"
32,30/09/2016,"-1.456,89","-12,67","0,00","-11,95","173,73","R$ 101,98 M","0,00%"
33,30/06/2016,"12.748,39","-38,24","0,00","-36,16","521,23","R$ 305,96 M","0,00%"
34,31/03/2016,"254.967,80","-191,51","0,00","-202,68","2.606,14","R$ 1,53 B","0,00%"
35,31/12/2015,"-305.961,36","-191,59","0,00","-207,21","2.651,31","R$ 1,53 B","0,00%"
