,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
0,30/06/2024,"R$ 1,04 B","R$ 347,43 M","R$ 267,60 M","- R$ 1,17 M","R$ 268,77 M","R$ 272,69 M","R$ 1,37"
1,31/03/2024,"R$ 1,03 B","R$ 351,70 M","R$ 262,51 M","- R$ 1,07 M","R$ 263,57 M","R$ 275,84 M","R$ 1,38"
2,31/12/2023,"R$ 903,33 M","R$ 299,36 M","R$ 220,13 M","- R$ 917,00 mil","R$ 221,05 M","R$ 231,45 M","R$ 1,16"
3,30/09/2023,"R$ 794,92 M","R$ 262,18 M","R$ 159,67 M","- R$ 771,00 mil","R$ 160,44 M","R$ 175,78 M","R$ 0,88"
4,30/06/2023,"R$ 718,76 M","R$ 241,76 M","R$ 142,51 M","- R$ 761,00 mil","R$ 143,27 M","R$ 154,83 M","R$ 0,78"
5,31/03/2023,"R$ 614,93 M","R$ 201,56 M","R$ 101,39 M","- R$ 808,00 mil","R$ 102,20 M","R$ 119,42 M","R$ 0,60"
6,31/12/2022,"R$ 555,33 M","R$ 186,34 M","R$ 86,52 M","- R$ 875,00 mil","R$ 87,40 M","R$ 114,89 M","R$ 0,58"
7,30/09/2022,"R$ 517,33 M","R$ 178,58 M","R$ 85,87 M","- R$ 924,00 mil","R$ 86,79 M","R$ 106,92 M","R$ 0,54"
8,30/06/2022,"R$ 537,84 M","R$ 194,69 M","R$ 104,33 M","- R$ 915,00 mil","R$ 105,25 M","R$ 124,94 M","R$ 0,63"
9,31/03/2022,"R$ 618,40 M","R$ 251,18 M","R$ 169,77 M","- R$ 867,00 mil","R$ 170,64 M","R$ 181,76 M","R$ 0,87"
10,31/12/2021,"R$ 609,27 M","R$ 253,72 M","R$ 176,56 M","- R$ 791,00 mil","R$ 177,35 M","R$ 177,73 M","R$ 0,85"
11,30/09/2021,"R$ 679,09 M","R$ 282,61 M","R$ 212,44 M","- R$ 660,00 mil","R$ 213,10 M","R$ 206,66 M","R$ 0,96"
12,30/06/2021,"R$ 616,46 M","R$ 257,42 M","R$ 198,49 M","- R$ 602,00 mil","R$ 199,09 M","R$ 178,66 M","R$ 0,83"
13,31/03/2021,"R$ 407,48 M","R$ 169,39 M","R$ 126,48 M","- R$ 506,00 mil","R$ 126,98 M","R$ 101,58 M","R$ 0,47"
14,31/12/2020,"R$ 359,51 M","R$ 149,79 M","R$ 118,84 M","- R$ 435,00 mil","R$ 119,27 M","R$ 93,52 M","R$ 0,44"
15,30/09/2020,"R$ 259,06 M","R$ 106,35 M","R$ 84,83 M","- R$ 413,00 mil","R$ 85,24 M","R$ 59,19 M","R$ 0,28"
16,30/06/2020,"R$ 201,91 M","R$ 76,14 M","R$ 62,03 M","- R$ 435,00 mil","R$ 62,47 M","R$ 47,89 M","R$ 0,45"
17,31/03/2020,"R$ 230,10 M","R$ 84,28 M","R$ 67,76 M","- R$ 404,00 mil","R$ 68,16 M","R$ 55,70 M","R$ 0,52"
18,31/12/2019,"R$ 193,80 M","R$ 69,31 M","R$ 52,82 M","- R$ 393,00 mil","R$ 53,22 M","R$ 44,24 M","R$ 0,98"
