,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/06/2024,"9,03%","9,97%","13,68%","15,10%","-37,78%","8,29%","45,19%","7,48%","8,91%","11,71%","1,11","-7,70","-8,70","5,90"
1,31/03/2024,"8,56%","9,46%","12,97%","14,33%","-30,09%","7,42%","44,05%","6,65%","8,47%","11,32%","1,12","-6,28","-7,28","6,47"
2,31/12/2023,"10,14%","11,16%","15,37%","16,90%","-27,18%","7,00%","42,78%","6,31%","10,14%","12,84%","1,11","-5,72","-6,72","5,78"
3,30/09/2023,"9,64%","10,66%","14,61%","16,15%","-23,62%","6,37%","40,51%","6,12%","10,29%","13,11%","1,04","-5,00","-6,00","6,20"
4,30/06/2023,"8,21%","9,07%","12,44%","13,74%","-17,56%","4,75%","38,57%","4,46%","8,73%","11,41%","1,07","-4,56","-5,56","7,30"
5,31/03/2023,"5,15%","5,65%","7,81%","8,56%","-3,99%","0,96%","36,19%","0,97%","5,77%","8,42%","0,99","-4,05","-5,05","10,14"
6,31/12/2022,"2,80%","2,92%","4,24%","4,43%","15,79%","-3,35%","35,60%","-3,45%","3,02%","5,64%","0,97","-3,88","-4,88","16,09"
7,30/09/2022,"3,84%","4,09%","5,81%","6,19%","10,42%","-2,57%","35,60%","-2,50%","3,99%","6,51%","1,03","-3,71","-4,71","14,06"
8,30/06/2022,"5,12%","5,40%","7,75%","8,18%","-2,22%","0,66%","36,88%","0,62%","5,10%","7,60%","1,07","-3,70","-4,70","12,51"
9,31/03/2022,"9,28%","9,81%","14,06%","14,86%","-17,03%","5,80%","39,80%","5,31%","8,98%","11,40%","1,09","-4,17","-5,17","8,60"
10,31/12/2021,"12,53%","13,30%","18,99%","20,15%","-30,03%","11,30%","40,55%","10,46%","12,21%","14,65%","1,08","-4,71","-5,71","6,85"
11,30/09/2021,"10,19%","10,60%","15,44%","16,07%","-26,39%","10,46%","41,56%","10,63%","10,45%","12,97%","0,98","-4,05","-5,05","8,40"
12,30/06/2021,"24,94%","26,21%","37,79%","39,71%","-36,65%","24,84%","42,12%","20,41%","21,80%","24,32%","1,22","-3,38","-4,38","4,69"
13,31/03/2021,"19,44%","20,48%","29,46%","31,03%","-29,24%","19,41%","40,73%","18,79%","20,24%","23,12%","1,03","-2,94","-3,94","5,76"
14,31/12/2020,"20,40%","22,54%","30,91%","34,16%","-29,53%","21,14%","40,29%","21,18%","22,07%","25,09%","1,00","-2,66","-3,66","5,50"
15,30/09/2020,"25,81%","28,65%","39,11%","43,41%","-40,27%","37,21%","39,59%","37,10%","27,74%","30,91%","1,00","-2,52","-3,52","4,67"
16,30/06/2020,"9,92%","11,04%","15,04%","16,72%","-14,54%","12,26%","38,13%","13,58%","12,04%","15,52%","0,90","-1,48","-2,48","10,23"
17,31/03/2020,"10,93%","12,16%","16,56%","18,42%","-7,69%","5,98%","38,92%","6,16%","12,37%","16,04%","0,97","-1,51","-2,51","9,29"
18,31/12/2019,"9,29%","10,10%","14,07%","15,31%","4,78%","-3,64%","40,44%","-3,69%","10,29%","13,60%","0,99","-1,40","-2,40","11,29"
19,30/09/2019,"10,68%","11,71%","16,19%","17,74%","31,52%","-24,30%","41,37%","-24,91%","11,32%","14,55%","0,98","-1,08","-2,08","12,07"
20,30/06/2019,"12,09%","13,28%","18,32%","20,12%","30,01%","-21,86%","42,02%","-21,66%","12,28%","15,25%","1,01","-1,19","-2,19","10,87"
21,31/03/2019,"15,52%","17,82%","23,52%","27,00%","23,14%","-16,40%","43,17%","-16,55%","16,06%","18,48%","0,99","-1,29","-2,29","8,74"
22,31/12/2018,"13,87%","15,99%","21,02%","24,23%","25,31%","-16,32%","42,99%","-16,64%","14,57%","17,32%","0,98","-1,31","-2,31","8,88"
23,30/09/2018,"14,10%","16,63%","21,37%","25,20%","26,66%","-17,39%","43,11%","-16,80%","13,12%","15,83%","1,03","-1,30","-2,30","9,08"
24,30/06/2018,"18,33%","22,53%","27,77%","34,13%","14,79%","-10,17%","42,18%","-10,06%","17,27%","20,15%","1,01","-1,37","-2,37","7,12"
