,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
1,31/03/2024,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
2,31/12/2023,"R$ 95,65 M","- R$ 5,59 M","R$ 66,04 M","R$ 156,10 M"
3,30/09/2023,"R$ 108,91 M","- R$ 4,82 M","- R$ 149,39 M","- R$ 45,29 M"
4,30/06/2023,"R$ 216,94 M","- R$ 5,28 M","- R$ 161,92 M","R$ 49,75 M"
5,31/03/2023,"R$ 129,07 M","- R$ 2,46 M","- R$ 80,03 M","R$ 46,59 M"
6,31/12/2022,"R$ 190,90 M","- R$ 6,42 M","- R$ 126,37 M","R$ 58,12 M"
7,30/09/2022,"- R$ 104,61 M","- R$ 3,64 M","- R$ 183,33 M","- R$ 291,58 M"
8,30/06/2022,"R$ 211,35 M","- R$ 5,67 M","R$ 1.000,00","R$ 205,69 M"
9,31/03/2022,"R$ 159,81 M","- R$ 16,12 M","- R$ 80,00 M","R$ 63,69 M"
10,31/12/2021,"R$ 84,26 M","- R$ 12,76 M","- R$ 5,00 mil","R$ 71,50 M"
11,30/09/2021,"- R$ 29,87 M","- R$ 4,38 M","- R$ 183,33 M","- R$ 217,58 M"
12,30/06/2021,"R$ 158,24 M","- R$ 8,44 M","- R$ 357,35 M","- R$ 207,55 M"
13,31/03/2021,"- R$ 1,02 B","- R$ 2,46 M","R$ 452,34 M","- R$ 571,61 M"
14,31/12/2020,"R$ 91,71 M","- R$ 9,41 M","R$ 1.000,00","R$ 82,31 M"
15,30/09/2020,"R$ 143,29 M","- R$ 13,84 M","- R$ 345,03 M","- R$ 215,58 M"
16,30/06/2020,"R$ 150,99 M","- R$ 4,82 M","- R$ 79,99 M","R$ 66,18 M"
17,31/03/2020,"R$ 120,10 M","- R$ 6,87 M","- R$ 57,79 M","R$ 55,44 M"
18,31/12/2019,"R$ 104,83 M","- R$ 27,98 M","- R$ 120,03 M","- R$ 43,18 M"
19,30/09/2019,"R$ 139,03 M","- R$ 13,78 M","R$ 217,00 mil","R$ 125,46 M"
20,30/06/2019,"R$ 256,48 M","- R$ 6,05 M","- R$ 280,65 M","- R$ 30,22 M"
21,31/03/2019,"R$ 147,06 M","- R$ 5,27 M","- R$ 63,05 M","R$ 78,74 M"
22,31/12/2018,"R$ 160,09 M","- R$ 18,27 M","- R$ 119,98 M","R$ 21,83 M"
23,30/09/2018,"- R$ 7,63 M","- R$ 11,05 M","- R$ 243,49 M","- R$ 262,16 M"
24,30/06/2018,"R$ 243,28 M","- R$ 4,22 M","R$ 113,60 M","R$ 352,66 M"
25,31/03/2018,"- R$ 24,10 M","- R$ 10,90 M","- R$ 63,06 M","- R$ 98,07 M"
26,31/12/2017,"R$ 131,42 M","- R$ 17,20 M","- R$ 120,50 M","- R$ 6,28 M"
27,30/09/2017,"R$ 202,98 M","- R$ 22,96 M","R$ 333,13 M","R$ 513,16 M"
28,30/06/2017,"R$ 158,23 M","- R$ 25,40 M","- R$ 433,04 M","- R$ 300,21 M"
29,31/03/2017,"R$ 65,68 M","- R$ 20,09 M","- R$ 128,00 M","- R$ 82,40 M"
30,31/12/2016,"R$ 242,42 M","- R$ 20,20 M","- R$ 178,33 M","R$ 43,90 M"
31,30/09/2016,"R$ 208,55 M","- R$ 17,04 M","R$ 75,14 M","R$ 266,65 M"
32,30/06/2016,"R$ 219,49 M","- R$ 12,80 M","- R$ 115,92 M","R$ 90,77 M"
33,31/03/2016,"R$ 100,82 M","R$ 5,69 M","- R$ 119,35 M","- R$ 12,83 M"
34,31/12/2015,"R$ 229,98 M","- R$ 15,68 M","- R$ 76,67 M","R$ 137,63 M"
35,30/09/2015,"R$ 179,86 M","- R$ 22,33 M","- R$ 1.000,00","R$ 157,53 M"
36,30/06/2015,"R$ 127,67 M","- R$ 167,45 M","R$ 67,30 M","R$ 27,52 M"
37,31/03/2015,"R$ 43,35 M","- R$ 3,51 M","- R$ 62,72 M","- R$ 22,89 M"
38,31/12/2014,"R$ 96,04 M","- R$ 11,94 M","- R$ 716,12 M","- R$ 632,02 M"
39,30/09/2014,"- R$ 8,11 M","- R$ 8,32 M","- R$ 333,52 M","- R$ 349,95 M"
40,30/06/2014,"R$ 197,16 M","- R$ 10,50 M","R$ 264,43 M","R$ 451,09 M"
41,31/03/2014,"R$ 126,94 M","- R$ 9,35 M","- R$ 56,99 M","R$ 60,60 M"
42,31/12/2013,"R$ 210,06 M","- R$ 16,27 M","- R$ 186,28 M","R$ 7,52 M"
43,30/09/2013,"R$ 86,77 M","- R$ 15,53 M","R$ 180,78 M","R$ 252,02 M"
44,30/06/2013,"R$ 195,53 M","- R$ 9,72 M","- R$ 83,97 M","R$ 101,84 M"
45,31/03/2013,"R$ 172,78 M","- R$ 5,40 M","- R$ 86,64 M","R$ 80,75 M"
46,31/12/2012,"R$ 155,00 M","- R$ 11,46 M","- R$ 206,74 M","- R$ 63,21 M"
47,30/09/2012,"R$ 90,91 M","- R$ 4,44 M","- R$ 362,24 M","- R$ 275,77 M"
48,30/06/2012,"R$ 186,95 M","- R$ 3,76 M","- R$ 98,70 M","R$ 84,50 M"
49,31/03/2012,"R$ 163,79 M","- R$ 1,97 M","R$ 51,84 M","R$ 213,67 M"
50,31/12/2011,"R$ 134,28 M","- R$ 5,00 M","- R$ 144,21 M","- R$ 14,93 M"
51,30/09/2011,"R$ 52,05 M","- R$ 6,88 M","- R$ 62,44 M","- R$ 17,28 M"
52,30/06/2011,"R$ 136,60 M","- R$ 3,76 M","- R$ 125,47 M","R$ 7,37 M"
53,31/03/2011,"R$ 116,32 M","- R$ 1,11 M","- R$ 375,78 M","- R$ 260,57 M"
