,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao
33,31/03/2016,"R$ 2,27 B","- R$ 413,57 M","- R$ 2,77",86.124.000,63.136.000,63.136.000,149.260.000,0,0,0,0,86.124.000,63.136.000,149.260.000
34,31/12/2015,"R$ 2,29 B","- R$ 349,45 M","- R$ 2,34",86.124.000,63.136.000,63.136.000,149.260.000,0,0,0,0,86.124.000,63.136.000,149.260.000
35,30/09/2015,"R$ 2,53 B","- R$ 1,41 B","- R$ 13,67",39.892.000,63.136.000,63.136.000,103.028.000,0,0,0,0,39.892.000,63.136.000,103.028.000
36,30/06/2015,"R$ 2,72 B","- R$ 1,05 B","- R$ 10,21",39.892.000,63.136.000,63.136.000,103.028.000,0,0,0,0,39.892.000,63.136.000,103.028.000
37,31/03/2015,"R$ 2,67 B","- R$ 1,14 B","- R$ 11,08",39.892.000,63.136.000,63.136.000,103.028.000,0,0,0,0,39.892.000,63.136.000,103.028.000
38,31/12/2014,"R$ 2,67 B","- R$ 1,10 B","- R$ 10,65",39.892.000,63.136.000,63.136.000,103.028.000,0,0,0,0,39.892.000,63.136.000,103.028.000
39,30/09/2014,"R$ 2,92 B","- R$ 526,00 M","- R$ 5,11",39.892.000,63.136.000,63.136.000,103.028.000,0,0,0,0,39.892.000,63.136.000,103.028.000
40,30/06/2014,"R$ 3,13 B","- R$ 82,21 M","- R$ 0,80",39.892.000,63.136.000,63.136.000,103.028.000,0,0,0,0,39.892.000,63.136.000,103.028.000
41,31/03/2014,"R$ 3,21 B","R$ 47,84 M","R$ 0,46",39.892.000,63.136.000,63.136.000,103.028.000,0,0,0,0,39.892.000,63.136.000,103.028.000
42,31/12/2013,"R$ 3,27 B","R$ 103,08 M","R$ 1,00",39.892.000,63.136.000,63.136.000,103.028.000,0,0,0,0,39.892.000,63.136.000,103.028.000
43,30/09/2013,"R$ 3,81 B","R$ 401,79 M","R$ 3,90",39.892.000,63.136.000,63.136.000,103.028.000,0,0,0,0,39.892.000,63.136.000,103.028.000
44,30/06/2013,"R$ 3,70 B","R$ 454,46 M","R$ 4,41",39.892.000,63.136.000,63.136.000,103.028.000,0,0,0,0,39.892.000,63.136.000,103.028.000
45,31/03/2013,"R$ 3,62 B","R$ 510,04 M","R$ 5,33",37.165.000,58.495.000,58.495.000,95.660.000,0,0,0,0,37.165.000,58.495.000,95.660.000
46,31/12/2012,"R$ 4,33 B","R$ 548,44 M","R$ 5,73",37.165.000,58.495.000,58.495.000,95.660.000,0,0,0,0,37.165.000,58.495.000,95.660.000
47,30/09/2012,"R$ 4,25 B","R$ 553,24 M","R$ 5,37",39.892.000,63.136.000,63.136.000,103.028.000,0,0,0,0,39.892.000,63.136.000,103.028.000
48,30/06/2012,"R$ 4,15 B","R$ 572,17 M","R$ 5,55",39.892.000,63.136.000,63.136.000,103.028.000,0,0,0,0,39.892.000,63.136.000,103.028.000
49,31/03/2012,"R$ 3,81 B","R$ 617,07 M","R$ 6,45",37.165.000,58.495.000,58.495.000,95.660.000,0,0,0,0,37.165.000,58.495.000,95.660.000
50,31/12/2011,"R$ 3,76 B","R$ 633,09 M","R$ 6,62",37.165.000,58.495.000,58.495.000,95.660.000,0,0,0,0,37.165.000,58.495.000,95.660.000
51,30/09/2011,"R$ 3,72 B","R$ 566,86 M","R$ 5,93",37.165.000,58.495.000,58.495.000,95.660.000,0,0,0,0,37.165.000,58.495.000,95.660.000
52,30/06/2011,"R$ 3,57 B","R$ 589,63 M","R$ 6,16",37.165.000,58.495.000,58.495.000,95.660.000,0,0,0,0,37.165.000,58.495.000,95.660.000
53,31/03/2011,"R$ 3,59 B","R$ 600,47 M","R$ 6,28",37.165.000,58.495.000,58.495.000,95.660.000,0,0,0,0,37.165.000,58.495.000,95.660.000
54,31/12/2010,"R$ 3,41 B","R$ 679,26 M","R$ 7,10",37.165.000,58.495.000,58.495.000,95.660.000,0,0,0,0,37.165.000,58.495.000,95.660.000
