,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 25/09/2024,"0,18","-0,07","12,88","-2,29","0,08","R$ 84,20 M","0,00%"
1,30/06/2024,"182,94","-67,22","13.165,54","-2.340,02","78,29","R$ 85,46 B","0,00%"
2,31/03/2024,"255,47","-105,28","17.589,93","-4.890,01","107,81","R$ 120,86 B","0,00%"
3,31/12/2023,"0,31","-0,13","22,76","-5,85","0,13","R$ 140,74 M","0,00%"
4,30/09/2023,"-0,50","-0,11","21,14","-6,51","0,16","R$ 181,11 M","0,00%"
5,30/06/2023,"-0,38","-0,09","17,05","-2,61","0,12","R$ 143,64 M","0,00%"
6,31/03/2023,"-0,49","-0,11","20,67","2,69","0,15","R$ 176,82 M","0,00%"
7,31/12/2022,"-0,53","-0,12","18,61","2,98","0,15","R$ 186,27 M","0,00%"
8,30/09/2022,"0,21","-0,16","9,55","2,00","0,17","R$ 219,94 M","0,00%"
9,30/06/2022,"129,08","-107,96","6.074,58","1.244,08","109,59","R$ 147,89 B","0,00%"
10,31/03/2022,"0,13","-0,12","6,44","160,14","0,11","R$ 163,67 M","0,00%"
11,31/12/2021,"0,17","-0,18","9,16","2,07","0,15","R$ 225,25 M","0,00%"
12,30/09/2021,"-0,74","-0,10","31,08","247,33","0,18","R$ 266,23 M","0,00%"
13,30/06/2021,"-0,07","-0,01","2,92","-1,67","0,02","R$ 24,93 M","0,00%"
14,31/03/2021,"-0,07","-0,01","3,82","-2,72","0,02","R$ 31,45 M","0,00%"
15,31/12/2020,"-0,95","-0,18","60,62","-4,22","0,29","R$ 462,69 M","0,00%"
16,30/09/2020,"-0,18","-0,04","10,54","-31,35","0,06","R$ 76,27 M","0,00%"
17,30/06/2020,"-0,09","-0,02","7,19","-2,30","0,03","R$ 41,02 M","0,00%"
18,31/03/2020,"-0,08","-0,02","4,30","-2,03","0,03","R$ 41,09 M","0,00%"
19,31/12/2019,"-0,12","-0,03","4,35","-2,68","0,04","R$ 54,09 M","0,00%"
20,30/09/2019,"-0,15","-0,03","2,17","-1,08","0,04","R$ 58,47 M","0,00%"
21,30/06/2019,"-0,19","-0,04","1,27","-6,55","0,05","R$ 69,69 M","0,00%"
22,31/03/2019,"-0,20","-0,04","1,16","-1,97","0,04","R$ 60,93 M","0,00%"
23,31/12/2018,"-0,19","-0,04","1,26","-28,19","0,04","R$ 64,31 M","0,00%"
24,30/09/2018,"-0,14","-0,03","0,86","-2,63","0,02","R$ 36,42 M","0,00%"
