,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"- R$ 36,79 M","- R$ 260,34 M","R$ 298,19 M","R$ 1,06 M"
1,31/03/2024,"- R$ 25,46 M","- R$ 64,52 M","R$ 90,15 M","R$ 174,00 mil"
2,31/12/2023,"- R$ 25,24 M","- R$ 36,68 M","R$ 62,04 M","R$ 122,00 mil"
3,30/09/2023,"- R$ 30,41 M","- R$ 10,53 M","R$ 42,95 M","R$ 2,01 M"
4,30/06/2023,"- R$ 58,61 M","- R$ 29,31 M","R$ 69,41 M","- R$ 18,52 M"
5,31/03/2023,"R$ 71,66 M","- R$ 7,27 M","- R$ 64,52 M","- R$ 123,00 mil"
6,31/12/2022,"R$ 67,02 M","- R$ 7,69 M","- R$ 67,80 M","- R$ 8,47 M"
7,30/09/2022,"R$ 115,10 M","- R$ 40,77 M","- R$ 73,57 M","R$ 757,00 mil"
8,30/06/2022,"R$ 119,89 M","- R$ 38,61 M","- R$ 62,89 M","R$ 18,39 M"
9,31/03/2022,"R$ 1,02 M","- R$ 37,79 M","- R$ 27,73 M","- R$ 64,50 M"
10,31/12/2021,"R$ 107,69 M","- R$ 37,70 M","- R$ 59,91 M","R$ 10,08 M"
11,30/09/2021,"R$ 1,06 M","R$ 36,39 M","- R$ 37,45 M","- R$ 7,00 mil"
12,30/06/2021,"- R$ 14,91 M","R$ 50,86 M","- R$ 36,01 M","- R$ 63,00 mil"
13,31/03/2021,"- R$ 11,45 M","R$ 52,42 M","R$ 23,86 M","R$ 64,83 M"
14,31/12/2020,"- R$ 110,30 M","R$ 55,31 M","R$ 54,72 M","- R$ 271,00 mil"
15,30/09/2020,"- R$ 2,45 M","- R$ 12,99 M","R$ 14,81 M","- R$ 640,00 mil"
16,30/06/2020,"- R$ 18,19 M","- R$ 26,70 M","R$ 44,80 M","- R$ 89,00 mil"
17,31/03/2020,"- R$ 20,15 M","- R$ 24,11 M","R$ 43,78 M","- R$ 479,00 mil"
18,31/12/2019,"- R$ 21,37 M","- R$ 25,60 M","R$ 44,95 M","- R$ 2,02 M"
19,30/09/2019,"- R$ 53,22 M","R$ 14,73 M","R$ 37,52 M","- R$ 978,00 mil"
20,30/06/2019,"- R$ 10,40 M","R$ 11,34 M","- R$ 1,81 M","- R$ 872,00 mil"
21,31/03/2019,"- R$ 29,57 M","R$ 8,16 M","R$ 21,34 M","- R$ 67,00 mil"
22,31/12/2018,"- R$ 2,19 M","R$ 7,71 M","- R$ 6,50 M","- R$ 975,00 mil"
23,30/09/2018,"- R$ 14,20 M","R$ 17,82 M","- R$ 2,69 M","R$ 924,00 mil"
24,30/06/2018,"- R$ 13,95 M","R$ 15,94 M","- R$ 3,62 M","- R$ 1,63 M"
25,31/03/2018,"R$ 9,22 M","R$ 13,83 M","- R$ 23,69 M","- R$ 633,00 mil"
26,31/12/2017,"- R$ 13,07 M","R$ 10,94 M","R$ 4,04 M","R$ 1,91 M"
27,30/09/2017,"- R$ 239,67 M","R$ 247,81 M","- R$ 8,15 M","- R$ 5,00 mil"
28,30/06/2017,"- R$ 236,48 M","R$ 246,99 M","- R$ 9,50 M","R$ 1,01 M"
29,31/03/2017,"- R$ 231,51 M","R$ 243,41 M","- R$ 12,36 M","- R$ 464,00 mil"
30,31/12/2016,"- R$ 235,69 M","R$ 244,59 M","- R$ 12,36 M","- R$ 3,45 M"
31,30/09/2016,"R$ 237,17 M","- R$ 12,02 M","- R$ 231,56 M","- R$ 6,41 M"
32,30/06/2016,"R$ 268,65 M","- R$ 23,17 M","- R$ 246,28 M","- R$ 805,00 mil"
33,31/03/2016,"R$ 202,24 M","R$ 37,44 M","- R$ 243,72 M","- R$ 4,04 M"
34,31/12/2015,"R$ 207,23 M","R$ 36,78 M","- R$ 243,73 M","R$ 281,00 mil"
35,30/09/2015,"R$ 54,70 M","R$ 45,13 M","- R$ 105,54 M","- R$ 5,72 M"
36,30/06/2015,"R$ 390,00 mil","R$ 55,07 M","- R$ 104,47 M","- R$ 49,01 M"
37,31/03/2015,"R$ 138,45 M","R$ 26,65 M","- R$ 216,54 M","- R$ 51,45 M"
38,31/12/2014,"R$ 96,25 M","R$ 161,86 M","- R$ 350,31 M","- R$ 92,20 M"
39,30/09/2014,"R$ 269,49 M","R$ 71,89 M","- R$ 394,45 M","- R$ 53,08 M"
40,30/06/2014,"R$ 290,54 M","R$ 59,75 M","- R$ 350,27 M","R$ 23,00 mil"
41,31/03/2014,"R$ 244,33 M","- R$ 402,00 mil","- R$ 245,07 M","- R$ 1,14 M"
42,31/12/2013,"R$ 300,42 M","- R$ 161,07 M","- R$ 117,23 M","R$ 22,12 M"
43,30/09/2013,"R$ 220,18 M","- R$ 537,16 M","R$ 243,19 M","- R$ 73,80 M"
44,30/06/2013,"R$ 223,76 M","- R$ 548,46 M","R$ 260,23 M","- R$ 64,46 M"
45,31/03/2013,"R$ 212,49 M","- R$ 509,64 M","R$ 220,96 M","- R$ 76,19 M"
46,31/12/2012,"R$ 232,86 M","- R$ 482,86 M","R$ 128,35 M","- R$ 121,65 M"
47,30/09/2012,"R$ 435,77 M","- R$ 653,40 M","R$ 236,04 M","R$ 18,42 M"
48,30/06/2012,"R$ 497,29 M","- R$ 644,28 M","R$ 181,91 M","R$ 34,91 M"
49,31/03/2012,"R$ 161,67 M","- R$ 229,81 M","R$ 103,67 M","R$ 35,53 M"
50,31/12/2011,"R$ 175,67 M","- R$ 382,06 M","R$ 293,74 M","R$ 87,35 M"
51,30/09/2011,"R$ 129,55 M","- R$ 277,59 M","R$ 152,02 M","R$ 3,97 M"
52,30/06/2011,"R$ 2,19 M","- R$ 299,37 M","R$ 290,50 M","- R$ 6,67 M"
53,31/03/2011,"- R$ 1,00 M","- R$ 291,32 M","R$ 291,70 M","- R$ 628,00 mil"
