,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"22,18%","12,00%","33,60%","18,19%","17,74%","9,99%","43,42%","17,80%","25,98%","36,03%","0,56","1,95","0,95","1,86"
1,30/06/2024,"22,41%","12,31%","33,95%","18,64%","19,38%","10,87%","43,05%","19,08%","26,17%","36,34%","0,57","1,88","0,88","1,67"
2,31/03/2024,"21,32%","11,42%","32,31%","17,30%","18,67%","10,28%","41,34%","18,49%","23,99%","34,53%","0,56","1,82","0,82","1,47"
3,31/12/2023,"21,68%","11,50%","32,85%","17,42%","19,01%","10,46%","41,35%","18,63%","24,16%","34,83%","0,56","1,87","0,87","1,44"
4,30/09/2023,"19,59%","10,67%","29,68%","16,16%","17,97%","10,36%","40,21%","18,47%","23,61%","34,71%","0,56","1,78","0,78","1,38"
5,30/06/2023,"18,68%","9,90%","28,30%","15,00%","15,42%","8,67%","39,51%","16,06%","22,15%","33,45%","0,54","1,78","0,78","1,43"
6,31/03/2023,"19,17%","9,97%","29,05%","15,10%","14,70%","8,23%","39,84%","15,65%","22,89%","34,20%","0,53","1,82","0,82","1,35"
7,31/12/2022,"17,93%","8,76%","27,16%","13,27%","12,48%","6,63%","37,49%","13,65%","20,27%","32,10%","0,49","1,82","0,82","1,52"
8,30/09/2022,"15,74%","7,32%","23,84%","11,09%","9,61%","5,03%","35,28%","10,40%","16,58%","29,26%","0,48","1,73","0,73","1,68"
9,30/06/2022,"11,29%","5,27%","17,11%","7,99%","6,30%","3,60%","33,75%","7,10%","12,42%","25,20%","0,51","1,78","0,78","1,93"
10,31/03/2022,"11,85%","5,37%","17,95%","8,13%","7,34%","4,09%","34,62%","8,16%","12,70%","25,56%","0,50","1,79","0,79","1,92"
11,31/12/2021,"13,26%","5,93%","20,09%","8,98%","8,33%","4,57%","36,46%","9,12%","14,36%","27,07%","0,50","1,88","0,88","1,68"
12,30/09/2021,"16,54%","7,88%","25,06%","11,93%","10,38%","6,17%","40,73%","12,83%","19,34%","31,07%","0,48","1,91","0,91","1,41"
13,30/06/2021,"20,67%","10,04%","31,32%","15,21%","13,87%","8,15%","44,28%","17,15%","25,20%","37,02%","0,47","1,75","0,75","1,24"
14,31/03/2021,"18,64%","9,16%","28,25%","13,88%","12,76%","7,48%","44,84%","16,09%","24,20%","36,24%","0,46","1,79","0,79","1,36"
15,31/12/2020,"17,89%","8,87%","27,10%","13,44%","12,11%","7,08%","44,99%","15,28%","23,96%","36,06%","0,46","1,82","0,82","1,54"
16,30/09/2020,"16,96%","8,74%","25,69%","13,24%","12,15%","7,01%","44,16%","15,15%","23,69%","35,67%","0,46","1,68","0,68","1,18"
17,30/06/2020,"16,08%","8,33%","24,36%","12,62%","11,68%","6,63%","43,31%","14,33%","22,66%","34,58%","0,46","1,70","0,70","1,30"
18,31/03/2020,"15,89%","8,27%","24,07%","12,52%","11,45%","6,48%","42,41%","13,94%","22,46%","34,27%","0,46","1,71","0,71","1,47"
19,31/12/2019,"20,50%","8,06%","31,06%","12,22%","12,12%","6,75%","41,81%","14,63%","22,40%","34,10%","0,46","1,71","0,71","1,58"
20,30/09/2019,"19,30%","7,52%","29,24%","11,39%","10,95%","6,10%","40,90%","13,53%","21,07%","32,91%","0,45","1,73","0,73","1,74"
21,30/06/2019,"17,47%","6,91%","26,48%","10,47%","9,99%","5,70%","39,05%","12,53%","19,60%","31,51%","0,45","1,76","0,76","1,95"
22,31/03/2019,"17,82%","7,04%","27,01%","10,67%","9,50%","5,45%","38,93%","12,48%","19,94%","31,82%","0,44","1,77","0,77","1,96"
23,31/12/2018,"16,93%","6,80%","25,65%","10,30%","9,27%","5,35%","39,04%","12,22%","19,47%","31,47%","0,44","1,80","0,80","2,17"
24,30/09/2018,"17,21%","6,94%","26,08%","10,51%","8,84%","5,02%","39,36%","11,82%","19,82%","31,95%","0,42","1,79","0,79","2,06"
25,30/06/2018,"17,76%","7,19%","26,91%","10,89%","9,38%","5,26%","40,34%","12,57%","20,99%","33,37%","0,42","1,75","0,75","1,97"
26,31/03/2018,"32,80%","7,22%","49,69%","10,93%","9,51%","5,26%","42,10%","13,05%","21,76%","34,55%","0,40","1,74","0,74","1,76"
27,31/12/2017,"34,02%","7,23%","51,55%","10,96%","9,44%","5,12%","42,42%","12,95%","22,11%","35,15%","0,40","1,73","0,73","1,79"
28,30/09/2017,"33,69%","7,13%","51,05%","10,80%","9,23%","4,93%","42,80%","13,03%","22,59%","36,50%","0,38","1,76","0,76","1,69"
29,30/06/2017,"31,96%","6,80%","48,43%","10,31%","8,68%","4,66%","44,20%","12,26%","22,09%","36,39%","0,38","1,78","0,78","1,80"
30,31/03/2017,"31,21%","6,60%","47,29%","9,99%","8,64%","4,59%","40,87%","12,13%","21,63%","36,20%","0,38","1,81","0,81","1,85"
31,31/12/2016,"29,82%","6,09%","45,18%","9,23%","7,69%","3,97%","38,40%","10,77%","19,82%","34,62%","0,37","1,84","0,84","2,00"
32,30/09/2016,"19,74%","4,25%","29,90%","6,43%","4,62%","2,41%","35,24%","6,49%","13,93%","28,35%","0,37","1,87","0,87","2,47"
33,30/06/2016,"17,61%","3,86%","26,69%","5,85%","2,87%","1,54%","31,85%","4,03%","12,69%","27,04%","0,38","1,86","0,86","2,77"
34,31/03/2016,"13,59%","2,97%","20,59%","4,50%","1,11%","0,60%","30,63%","1,57%","9,93%","24,16%","0,38","1,88","0,88","3,24"
35,31/12/2015,"11,19%","2,41%","16,95%","3,64%","-0,21%","-0,11%","29,63%","-0,30%","8,21%","22,55%","0,38","1,94","0,94","3,48"
36,30/09/2015,"14,93%","3,10%","22,62%","4,70%","0,92%","0,52%","30,36%","1,31%","10,41%","24,39%","0,39","1,92","0,92","3,26"
37,30/06/2015,"16,14%","3,39%","24,45%","5,13%","2,56%","1,45%","30,36%","3,47%","10,75%","23,75%","0,42","1,86","0,86","3,19"
38,31/03/2015,"19,50%","4,15%","29,55%","6,29%","4,02%","2,31%","32,19%","5,34%","12,81%","25,25%","0,43","1,85","0,85","3,06"
39,31/12/2014,"23,15%","4,97%","35,08%","7,53%","5,96%","3,39%","34,08%","7,70%","15,00%","26,82%","0,44","1,84","0,84","2,80"
40,30/09/2014,"27,92%","6,01%","42,30%","9,11%","7,75%","4,28%","35,22%","9,76%","17,55%","29,09%","0,44","1,77","0,77","2,54"
41,30/06/2014,"28,62%","6,24%","43,37%","9,46%","8,42%","4,60%","36,60%","10,97%","18,77%","30,63%","0,42","1,76","0,76","2,51"
42,31/03/2014,"29,74%","6,38%","45,07%","9,66%","8,38%","4,56%","36,88%","10,99%","19,03%","30,66%","0,42","1,74","0,74","2,47"
43,31/12/2013,"30,11%","6,35%","45,62%","9,62%","8,41%","4,65%","37,27%","11,24%","19,45%","30,99%","0,41","1,76","0,76","2,50"
44,30/09/2013,"31,22%","6,59%","47,30%","9,98%","9,02%","4,95%","36,26%","11,61%","19,33%","30,25%","0,43","1,81","0,81","2,36"
45,30/06/2013,"30,54%","6,57%","46,28%","9,96%","9,21%","5,02%","37,78%","12,01%","19,80%","30,72%","0,42","1,83","0,83","2,33"
46,31/03/2013,"34,11%","7,04%","51,69%","10,67%","10,29%","5,39%","38,27%","13,28%","21,24%","32,16%","0,41","1,84","0,84","2,19"
47,31/12/2012,"32,79%","7,09%","49,68%","10,75%","10,63%","5,83%","38,40%","13,69%","21,69%","32,48%","0,43","1,81","0,81","2,24"
48,30/09/2012,"41,21%","7,23%","62,44%","10,95%","10,34%","5,82%","39,20%","13,72%","21,46%","32,34%","0,42","1,82","0,82","2,28"
49,30/06/2012,"41,01%","7,38%","62,13%","11,19%","10,33%","5,92%","39,38%","13,66%","21,89%","32,27%","0,43","1,84","0,84","2,36"
50,31/03/2012,"43,50%","7,53%","65,92%","11,42%","10,64%","6,11%","40,41%","14,06%","22,07%","32,07%","0,43","1,91","0,91","2,39"
51,31/12/2011,"41,37%","7,72%","62,68%","11,70%","11,00%","6,32%","40,36%","14,40%","22,82%","32,61%","0,44","1,82","0,82","2,44"
52,30/09/2011,"55,77%","11,75%","84,50%","17,81%","17,38%","9,48%","39,46%","21,19%","32,15%","42,89%","0,45","1,78","0,78","1,54"
53,30/06/2011,"55,14%","12,00%","83,54%","18,18%","17,61%","9,59%","38,42%","20,98%","31,50%","41,85%","0,46","1,74","0,74","1,55"
54,31/03/2011,"55,72%","12,26%","84,42%","18,58%","18,05%","9,85%","37,09%","20,89%","30,34%","40,46%","0,47","1,74","0,74","1,50"
55,31/12/2010,"53,10%","11,99%","80,45%","18,17%","17,95%","9,67%","36,90%","20,68%","29,33%","39,28%","0,47","1,74","0,74","1,63"
56,30/09/2010,"8,30%","8,65%","12,57%","13,10%","12,38%","7,60%","36,67%","14,93%","20,69%",NA,"0,51","1,83","0,83",NA
57,30/06/2010,"8,65%","9,06%","13,11%","13,72%","13,01%","7,87%","35,62%","15,30%","20,41%",NA,"0,51","1,84","0,84",NA
58,31/03/2010,"9,02%","9,46%","13,67%","14,34%","12,95%","7,73%","35,66%","15,30%","20,63%",NA,"0,51","1,83","0,83",NA
59,31/12/2009,"9,26%","10,20%","14,03%","15,46%","14,37%","8,30%","35,91%","16,06%","21,31%",NA,"0,52","1,86","0,86",NA
60,30/09/2009,"5,87%","6,20%","8,89%","9,39%","7,24%","4,48%","52,34%","12,61%","19,22%",NA,"0,36","1,63","0,63",NA
61,30/06/2009,"6,04%","6,39%","9,15%","9,68%","8,02%","5,05%","53,20%","13,80%","19,49%",NA,"0,37","1,65","0,65",NA
62,31/03/2009,"6,38%","6,73%","9,66%","10,20%","8,49%","5,24%","53,94%","14,37%","19,67%",NA,"0,36","1,67","0,67",NA
63,31/12/2008,"5,66%","5,99%","8,57%","9,07%","7,41%","4,52%","52,85%","12,64%","17,53%",NA,"0,36","1,73","0,73",NA
64,30/09/2008,"10,68%","11,27%","16,19%","17,07%","14,61%","9,07%","52,55%","24,48%","31,64%",NA,"0,37","1,62","0,62",NA
65,30/06/2008,NA,NA,NA,NA,NA,NA,"52,25%","18,74%","25,47%",NA,NA,"1,59","0,59",NA
66,31/03/2008,NA,NA,NA,NA,NA,NA,"52,07%","17,86%","24,70%",NA,NA,"1,62","0,62",NA
67,31/12/2007,NA,NA,NA,NA,NA,NA,"52,45%","17,67%","23,81%",NA,NA,"1,64","0,64",NA
68,30/09/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,61","0,61",NA
69,30/06/2007,"9,45%","10,03%","14,32%","15,19%","12,13%","8,26%","53,18%","21,74%","28,54%",NA,"0,38","1,49","0,49",NA
70,31/03/2007,"9,28%","9,90%","14,07%","15,00%","11,91%","8,09%","53,50%","21,34%","27,46%",NA,"0,38","1,52","0,52",NA
71,31/12/2006,"9,28%","10,26%","14,07%","15,54%","17,32%","9,94%","55,03%","21,19%","27,12%",NA,"0,47","1,51","0,51",NA
72,30/09/2006,"9,61%","10,37%","14,56%","15,71%","16,89%","9,92%","55,65%","21,21%","27,42%",NA,"0,47","1,48","0,48",NA
73,30/06/2006,"9,19%","9,95%","13,93%","15,07%","15,78%","9,31%","55,51%","19,62%","25,91%",NA,"0,47","1,47","0,47",NA
74,31/03/2006,"9,09%","9,84%","13,78%","14,90%","16,73%","9,99%","55,40%","20,87%","26,20%",NA,"0,48","1,47","0,47",NA
75,31/12/2005,"8,44%","9,13%","12,79%","13,83%","15,18%","9,00%","54,07%","19,55%","25,35%",NA,"0,46","1,74","0,74",NA
76,30/09/2005,"8,26%","9,12%","12,52%","13,82%","17,55%","9,85%","53,28%","22,43%","25,24%",NA,"0,44","1,70","0,70",NA
77,30/06/2005,"6,96%","7,68%","10,55%","11,64%","16,05%","9,22%","51,72%","21,85%","22,53%",NA,"0,42","1,69","0,69",NA
78,31/03/2005,"8,13%","9,12%","12,31%","13,81%","19,42%","10,14%","50,70%","21,87%","23,84%",NA,"0,46","1,67","0,67",NA
79,31/12/2004,"7,58%","8,48%","11,49%","12,85%","18,39%","9,54%","50,37%","21,18%","23,05%",NA,"0,45","1,69","0,69",NA
80,30/09/2004,"7,82%","8,47%","11,84%","12,84%","16,94%","8,97%","50,17%","19,84%","23,54%",NA,"0,45","1,78","0,78",NA
