,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield,ticker
0,Atual - 16/09/2024,"-36,87","7,71","2,24","20,64","0,89","R$ 11,69 B","0,00%",205
1,30/06/2024,"-43,37","9,07","2,64","24,27","1,04","R$ 13,75 B","0,00%",205
2,31/03/2024,"-8,66","1,26","0,36","6,10","0,15","R$ 1,82 B","1,23%",205
3,31/12/2023,"-45,88","1,50","0,53","9,48","0,22","R$ 2,61 B","0,86%",205
4,30/09/2023,"-13,43","1,72","0,36","5,84","0,16","R$ 1,70 B","0,89%",205
5,30/06/2023,"-20,59","2,21","0,52","15,52","0,22","R$ 2,36 B","0,64%",205
6,31/03/2023,"-26,23","1,78","0,52","10,81","0,21","R$ 2,15 B","0,00%",205
7,31/12/2022,"33,89","2,05","0,57","5,68","0,22","R$ 2,16 B","1,58%",205
8,30/09/2022,"37,11","3,31","1,04","-247,74","0,42","R$ 3,42 B","1,00%",205
9,30/06/2022,"25,24","2,93","1,04","13,68","0,48","R$ 3,04 B","1,13%",205
10,31/03/2022,"21,03","3,24","1,38","15,01","0,56","R$ 3,35 B","1,02%",205
11,31/12/2021,"24,56","3,01","1,85","21,51","0,73","R$ 3,54 B","0,30%",205
12,30/09/2021,"35,95","4,14","3,33","15,63","1,03","R$ 4,87 B","0,22%",205
13,30/06/2021,"61,43","5,17","5,75","-75,11","1,59","R$ 5,86 B","0,18%",205
14,31/03/2021,"45,13","2,43","3,67","67,90","1,55","R$ 3,02 B","0,35%",205
15,31/12/2020,"59,06","2,20","3,77","277,98","1,61","R$ 2,65 B","0,00%",205
16,30/09/2020,"151,53","2,47","5,00","891,77","1,90","R$ 2,99 B","0,00%",205
17,30/06/2020,"55,29","8,14","3,46","33,70","2,01","R$ 1,89 B","0,00%",205
18,31/03/2020,"60,70","9,43","3,91","36,17","2,85","R$ 2,03 B","0,00%",205
19,31/12/2019,"64,37","10,39","4,19","27,78","3,26","R$ 2,03 B","0,00%",205
