,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"26,02%","11,22%","39,42%","17,00%","15,77%","8,18%","58,29%","22,12%","34,90%","42,83%","0,37","1,91","0,91","1,65"
1,30/06/2024,"26,27%","11,69%","39,81%","17,71%","16,67%","8,57%","59,03%","22,76%","36,04%","43,79%","0,38","1,94","0,94","1,69"
2,31/03/2024,"27,81%","12,32%","42,14%","18,67%","17,17%","9,12%","60,04%","23,91%","37,33%","44,94%","0,38","1,96","0,96","1,53"
3,31/12/2023,"28,48%","12,23%","43,14%","18,54%","17,11%","9,03%","60,03%","23,89%","37,30%","44,93%","0,38","1,93","0,93","1,59"
4,30/09/2023,"28,64%","12,26%","43,40%","18,57%","17,71%","9,21%","60,10%","24,53%","36,99%","44,72%","0,38","1,93","0,93","1,62"
5,30/06/2023,"27,75%","11,56%","42,04%","17,52%","16,81%","8,73%","60,18%","23,19%","34,84%","42,57%","0,38","1,95","0,95","1,78"
6,31/03/2023,"27,71%","10,82%","41,99%","16,39%","14,52%","7,54%","58,36%","20,61%","32,27%","40,03%","0,37","1,88","0,88","1,73"
7,31/12/2022,"28,59%","10,77%","43,32%","16,31%","14,71%","7,87%","57,99%","20,30%","31,52%","39,16%","0,39","1,90","0,90","1,74"
8,30/09/2022,"28,74%","11,04%","43,55%","16,72%","14,95%","7,91%","58,56%","20,29%","31,66%","39,20%","0,39","1,92","0,92","1,68"
9,30/06/2022,"30,01%","11,42%","45,47%","17,31%","15,39%","8,11%","58,35%","20,56%","32,78%","40,35%","0,39","1,93","0,93","1,63"
10,31/03/2022,"34,88%","12,85%","52,85%","19,47%","17,01%","8,78%","60,18%","22,71%","36,04%","43,57%","0,39","1,93","0,93","1,34"
11,31/12/2021,"35,76%","12,76%","54,18%","19,34%","16,96%","8,93%","60,60%","22,63%","36,10%","43,68%","0,39","1,87","0,87","1,38"
12,30/09/2021,"34,99%","13,10%","53,02%","19,85%","17,09%","8,67%","60,97%","22,48%","36,72%","44,36%","0,39","1,89","0,89","1,33"
13,30/06/2021,"31,55%","11,87%","47,81%","17,98%","15,94%","8,07%","60,03%","21,09%","33,99%","41,69%","0,38","1,90","0,90","1,49"
14,31/03/2021,"29,26%","11,36%","44,34%","17,21%","15,35%","7,85%","59,41%","20,64%","32,74%","40,46%","0,38","1,94","0,94","1,44"
15,31/12/2020,"29,55%","11,54%","44,77%","17,49%","16,14%","8,34%","59,97%","20,76%","32,72%","40,26%","0,40","1,90","0,90","1,44"
16,30/09/2020,"33,30%","12,36%","50,45%","18,72%","18,11%","9,44%","60,30%","22,26%","33,91%","41,13%","0,42","1,97","0,97","1,34"
17,30/06/2020,"37,47%","13,44%","56,77%","20,37%","20,24%","10,27%","61,00%","23,78%","35,81%","42,88%","0,43","1,97","0,97","1,32"
18,31/03/2020,"76,15%","13,23%","115,38%","20,04%","18,85%","10,05%","61,18%","22,97%","34,87%","41,89%","0,44","1,95","0,95","1,30"
19,31/12/2019,"86,63%","13,22%","131,26%","20,02%","18,89%","10,02%","60,64%","22,87%","34,60%","41,75%","0,44","1,93","0,93","1,42"
20,30/09/2019,"77,93%","12,56%","118,08%","19,03%","18,76%","9,61%","59,82%","22,62%","33,35%","40,53%","0,42","1,92","0,92","1,57"
21,30/06/2019,"67,86%","11,83%","102,82%","17,92%","17,11%","8,68%","59,06%","20,78%","31,84%","38,87%","0,42","1,97","0,97","1,70"
22,31/03/2019,"76,26%","12,29%","115,54%","18,62%","17,29%","8,92%","59,46%","21,66%","32,79%","39,55%","0,41","1,88","0,88","1,51"
23,31/12/2018,"81,90%","12,33%","124,09%","18,68%","17,32%","8,82%","59,64%","21,44%","32,93%","39,45%","0,41","1,89","0,89","1,49"
24,30/09/2018,"80,02%","11,85%","121,24%","17,95%","14,44%","7,36%","59,62%","17,77%","31,30%","37,90%","0,41","1,95","0,95","1,58"
25,30/06/2018,"78,77%","12,04%","119,34%","18,25%","15,85%","8,05%","60,60%","18,99%","31,62%","38,08%","0,42","1,97","0,97","1,58"
26,31/03/2018,"72,91%","11,49%","110,47%","17,41%","14,35%","7,34%","59,96%","18,09%","30,66%","37,12%","0,41","1,94","0,94","1,48"
27,31/12/2017,"72,93%","10,90%","110,50%","16,51%","14,27%","7,26%","59,78%","17,73%","29,36%","35,76%","0,41","1,96","0,96","1,58"
28,30/09/2017,"71,19%","10,08%","107,86%","15,27%","15,72%","7,70%","59,44%","18,32%","27,14%","33,37%","0,42","1,96","0,96","1,67"
29,30/06/2017,"68,50%","9,51%","103,79%","14,41%","14,73%","7,38%","59,25%","17,37%","26,27%","32,61%","0,43","1,97","0,97","1,83"
30,31/03/2017,"76,18%","9,96%","115,43%","15,09%","14,88%","7,63%","59,79%","17,86%","27,22%","33,44%","0,43","1,95","0,95","1,64"
31,31/12/2016,"77,87%","9,91%","117,99%","15,02%","15,00%","7,60%","58,44%","18,03%","27,43%","33,67%","0,42","1,97","0,97","1,77"
32,30/09/2016,"65,86%","10,03%","99,79%","15,20%","15,13%","7,44%","58,14%","17,93%","27,60%","33,97%","0,41","2,04","1,04","2,00"
33,30/06/2016,"73,03%","10,35%","110,65%","15,68%","15,57%","7,18%","56,71%","18,06%","27,62%","33,94%","0,40","1,99","0,99","2,10"
34,31/03/2016,"55,14%","8,88%","83,54%","13,45%","12,78%","6,43%","54,82%","15,96%","24,91%","31,36%","0,40","1,95","0,95","2,23"
35,31/12/2015,"62,69%","8,24%","94,98%","12,49%","11,53%","5,81%","54,73%","14,76%","23,55%","30,09%","0,39","1,97","0,97","2,43"
36,30/09/2015,"7,53%","8,57%","11,40%","12,98%","11,26%","5,73%","54,15%","14,78%","24,30%","30,81%","0,39","2,03","1,03","2,47"
37,30/06/2015,"7,21%","8,28%","10,93%","12,55%","10,91%","5,52%","54,82%","14,58%","23,53%","30,21%","0,38","2,17","1,17","2,42"
38,31/03/2015,"7,05%","8,17%","10,68%","12,38%","10,54%","5,61%","56,21%","14,69%","23,66%","30,40%","0,38","1,99","0,99","2,33"
39,31/12/2014,"7,57%","8,93%","11,48%","13,52%","11,82%","6,25%","57,39%","16,11%","25,25%","31,94%","0,39","1,99","0,99","2,16"
40,30/09/2014,"7,08%","8,91%","10,72%","13,50%","11,55%","5,95%","58,29%","15,32%","23,96%","30,64%","0,39","1,97","0,97","2,00"
41,30/06/2014,"7,70%","12,85%","11,66%","19,47%","16,62%","6,48%","59,15%","16,59%","25,89%","32,54%","0,39","1,98","0,98","1,79"
42,31/03/2014,"8,15%","13,70%","12,35%","20,76%","16,66%","6,59%","59,95%","17,17%","27,29%","33,95%","0,38","1,88","0,88","1,64"
43,31/12/2013,"8,04%","13,38%","12,18%","20,27%","16,59%","6,53%","60,29%","17,00%","27,11%","33,87%","0,38","1,89","0,89","1,64"
44,30/09/2013,"7,48%","11,82%","11,34%","17,91%","13,75%","5,84%","60,35%","15,19%","25,65%","32,48%","0,38","1,94","0,94","1,53"
45,30/06/2013,"7,33%","11,58%","11,10%","17,54%","13,75%","5,80%","61,05%","14,97%","25,38%","32,26%","0,39","2,56","1,56","1,14"
46,31/03/2013,"7,52%","12,18%","11,39%","18,46%","14,35%","5,94%","61,37%","15,66%","26,54%","33,43%","0,38","2,53","1,53","0,94"
47,31/12/2012,"7,65%","12,10%","11,59%","18,34%","14,53%","6,03%","61,44%","15,81%","26,94%","33,94%","0,38","2,54","1,54","1,03"
48,30/09/2012,"8,07%","12,76%","12,23%","19,34%","16,08%","6,75%","61,62%","18,49%","30,25%","37,50%","0,37","2,36","1,36","1,00"
