,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 172,58 M","- R$ 668,92 M","R$ 522,28 M","R$ 25,95 M"
1,31/03/2024,"R$ 146,22 M","R$ 429,86 M","- R$ 569,01 M","R$ 7,06 M"
2,31/12/2023,"R$ 23,10 M","- R$ 201,48 M","- R$ 127,95 M","- R$ 306,33 M"
3,30/09/2023,"R$ 228,57 M","R$ 278,54 M","- R$ 122,83 M","R$ 384,28 M"
4,30/06/2023,"R$ 188,47 M","- R$ 154,51 M","- R$ 392,28 M","- R$ 358,32 M"
5,31/03/2023,"R$ 60,63 M","R$ 77,95 M","- R$ 141,24 M","- R$ 2,65 M"
6,31/12/2022,"- R$ 147,25 M","- R$ 221,57 M","R$ 598,94 M","R$ 230,12 M"
7,30/09/2022,"R$ 192,39 M","R$ 102,68 M","- R$ 249,00 M","R$ 46,08 M"
8,30/06/2022,"R$ 79,86 M","R$ 33,21 M","- R$ 195,94 M","- R$ 82,87 M"
9,31/03/2022,"R$ 102,95 M","R$ 123,95 M","- R$ 167,04 M","R$ 59,86 M"
10,31/12/2021,"- R$ 48,75 M","R$ 218,17 M","- R$ 175,10 M","- R$ 5,67 M"
11,30/09/2021,"R$ 175,86 M","- R$ 51,03 M","- R$ 91,09 M","R$ 33,74 M"
12,30/06/2021,"R$ 118,39 M","- R$ 2,41 B","R$ 2,37 B","R$ 78,95 M"
13,31/03/2021,"R$ 131,67 M","- R$ 77,85 M","- R$ 64,77 M","- R$ 10,95 M"
14,31/12/2020,"- R$ 51,78 M","- R$ 773,33 M","R$ 813,96 M","- R$ 11,15 M"
15,30/09/2020,"R$ 74,31 M","- R$ 46,30 M","R$ 14,40 M","R$ 42,42 M"
16,30/06/2020,"R$ 42,84 M","R$ 66,11 M","- R$ 103,48 M","R$ 5,47 M"
17,31/03/2020,"R$ 59,15 M","- R$ 923,80 M","R$ 869,54 M","R$ 4,89 M"
18,31/12/2019,"R$ 41,30 M","- R$ 241,07 M","R$ 203,37 M","R$ 3,60 M"
19,30/09/2019,"R$ 54,06 M","- R$ 94,82 M","R$ 38,40 M","- R$ 2,35 M"
20,30/06/2019,"R$ 22,52 M","R$ 11,30 M","- R$ 48,01 M","- R$ 14,20 M"
21,31/03/2019,"R$ 42,26 M","- R$ 50,40 M","- R$ 46,86 M","- R$ 55,01 M"
22,31/12/2018,"- R$ 5,68 M","R$ 89,54 M","- R$ 7,70 M","R$ 76,16 M"
23,30/09/2018,"R$ 29,15 M","- R$ 104,02 M","- R$ 37,20 M","- R$ 112,07 M"
24,30/06/2018,"R$ 110,62 M","- R$ 104,59 M","R$ 103,05 M","R$ 109,08 M"
25,31/03/2018,"R$ 31,65 M","- R$ 20,66 M","- R$ 18,58 M","- R$ 7,58 M"
26,31/12/2017,"R$ 11,65 M","R$ 2,84 M","- R$ 18,12 M","- R$ 3,63 M"
27,30/09/2017,"R$ 109,08 M","- R$ 17,91 M","- R$ 84,44 M","R$ 6,73 M"
28,30/06/2017,"R$ 8,55 M","R$ 23,80 M","- R$ 29,91 M","R$ 2,44 M"
29,31/03/2017,"R$ 27,97 M","- R$ 25,21 M","- R$ 13,95 M","- R$ 11,19 M"
30,31/12/2016,"R$ 6,50 M","R$ 34,80 M","- R$ 25,15 M","R$ 16,15 M"
31,30/09/2016,"R$ 110,37 M","- R$ 35,79 M","- R$ 73,69 M","R$ 886,00 mil"
32,30/06/2016,"R$ 16,14 M","- R$ 66,24 M","R$ 48,16 M","- R$ 1,94 M"
33,31/03/2016,"- R$ 10,92 M","R$ 24,79 M","- R$ 14,87 M","- R$ 1,00 M"
34,31/12/2015,"- R$ 38,11 M","R$ 54,73 M","- R$ 10,05 M","R$ 6,57 M"
35,30/09/2015,"R$ 37,71 M","- R$ 214,97 M","R$ 181,42 M","R$ 4,16 M"
36,30/06/2015,"- R$ 52,90 M","R$ 58,00 M","- R$ 16,01 M","- R$ 10,91 M"
37,31/03/2015,"R$ 17,54 M","R$ 6,49 M","- R$ 14,23 M","R$ 9,79 M"
38,31/12/2014,"- R$ 12,53 M","R$ 53,69 M","- R$ 44,08 M","- R$ 2,91 M"
39,30/09/2014,"R$ 51,97 M","- R$ 29,87 M","- R$ 10,49 M","R$ 11,62 M"
40,30/06/2014,"R$ 14,59 M","R$ 624,00 mil","- R$ 17,42 M","- R$ 2,21 M"
41,31/03/2014,"R$ 33,48 M","- R$ 25,54 M","- R$ 10,78 M","- R$ 2,84 M"
42,31/12/2013,"R$ 1,45 M","- R$ 372,34 M","R$ 370,23 M","- R$ 657,00 mil"
43,30/09/2013,"R$ 13,46 M","- R$ 15,10 M","- R$ 5,79 M","- R$ 7,43 M"
44,30/06/2013,"R$ 28,38 M","- R$ 73,42 M","R$ 28,90 M","- R$ 16,14 M"
45,31/03/2013,"R$ 22,70 M","- R$ 54,75 M","R$ 63,01 M","R$ 30,96 M"
46,31/12/2012,NA,NA,NA,NA
