,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 27/09/2024,"-0,84","-0,02","0,05","1,08","0,08","R$ 61,34 M","0,00%"
1,30/06/2024,"-0,85","-0,02","0,05","1,09","0,08","R$ 62,73 M","0,00%"
2,31/03/2024,"-0,34","-0,02","0,05","1,08","0,09","R$ 65,17 M","0,00%"
3,31/12/2023,"-0,28","-0,02","0,04","1,03","0,08","R$ 55,09 M","0,00%"
4,30/09/2023,"-0,12","-0,02","0,04","0,60","0,06","R$ 35,34 M","0,00%"
5,30/06/2023,"-0,14","-0,02","0,04","0,84","0,07","R$ 40,87 M","0,00%"
6,31/03/2023,"-0,07","-0,01","0,02","0,50","0,04","R$ 25,33 M","0,00%"
7,31/12/2022,"-0,07","-0,01","0,02","0,58","0,04","R$ 24,31 M","0,00%"
8,30/09/2022,"-0,13","-0,01","0,03","0,55","0,05","R$ 29,69 M","0,00%"
9,30/06/2022,"-0,18","-0,02","0,03","0,95","0,06","R$ 36,20 M","0,00%"
10,31/03/2022,"-0,17","-0,01","0,03","0,67","0,05","R$ 41,48 M","0,00%"
11,31/12/2021,"-0,31","-0,02","0,05","1,02","0,08","R$ 45,76 M","0,00%"
12,30/09/2021,"-0,36","-0,03","0,05","4,55","0,08","R$ 56,83 M","0,00%"
13,30/06/2021,"-0,36","-0,03","0,06","16,28","0,10","R$ 62,06 M","0,00%"
14,31/03/2021,"-0,41","-0,04","0,09","-8,00","0,12","R$ 77,88 M","0,00%"
15,31/12/2020,"-0,29","-0,03","0,08","12,15","0,10","R$ 65,56 M","0,00%"
16,30/09/2020,"-0,37","-0,04","0,11","4,78","0,14","R$ 130,29 M","0,00%"
17,30/06/2020,"-0,01","0,00","0,00","0,05","0,00","R$ 1,53 M","0,00%"
18,31/03/2020,"-0,11","-0,02","0,04","0,84","0,05","R$ 13,91 M","0,00%"
19,31/12/2019,"-0,10","-0,01","0,04","0,97","0,05","R$ 12,02 M","0,00%"
20,30/09/2019,"-0,10","-0,02","0,04","0,86","0,05","R$ 12,52 M","0,00%"
21,30/06/2019,"-0,12","-0,02","0,05","1,87","0,05","R$ 13,85 M","0,00%"
22,31/03/2019,"-0,08","-0,01","0,03","3,01","0,03","R$ 9,49 M","0,00%"
23,31/12/2018,"-0,10","-0,01","0,03","5,17","0,04","R$ 10,06 M","0,00%"
24,30/09/2018,"-0,05","-0,01","0,02","-26,66","0,02","R$ 5,95 M","0,00%"
25,30/06/2018,"-0,03","0,00","0,01","3,18","0,01","R$ 3,77 M","0,00%"
26,31/03/2018,"-0,03","-0,01","0,01","1,16","0,01","R$ 3,77 M","0,00%"
27,31/12/2017,"-0,03","-0,01","0,01","0,47","0,01","R$ 3,92 M","0,00%"
28,30/09/2017,"-0,03","-0,01","0,01","0,26","0,01","R$ 3,54 M","0,00%"
29,30/06/2017,"-0,03","-0,01","0,01","0,29","0,01","R$ 3,80 M","0,00%"
30,31/03/2017,"-0,03","-0,01","0,01","0,30","0,01","R$ 3,80 M","0,00%"
31,31/12/2016,"-0,04","-0,01","0,01","0,37","0,01","R$ 3,80 M","0,00%"
32,30/09/2016,"-0,04","-0,01","0,01","0,35","0,01","R$ 3,80 M","0,00%"
33,30/06/2016,"-0,04","-0,01","0,01","0,44","0,01","R$ 3,80 M","0,00%"
34,31/03/2016,"-0,04","-0,01","0,01","0,41","0,01","R$ 3,80 M","0,00%"
35,31/12/2015,"-3,75","-0,79","1,16","51,91","1,13","R$ 379,68 M","0,00%"
36,30/09/2015,"-3,91","-0,84","1,11","502,37","1,10","R$ 379,68 M","0,00%"
37,30/06/2015,"-4,33","-0,90","1,06","24,01","1,09","R$ 379,68 M","0,00%"
38,31/03/2015,"-4,23","-0,94","1,07","21,87","1,11","R$ 379,68 M","0,00%"
39,31/12/2014,"-4,60","-1,01","1,09","25,52","1,11","R$ 379,68 M","0,00%"
40,30/09/2014,"-4,95","-1,07","1,08","17,94","1,09","R$ 379,68 M","0,00%"
41,30/06/2014,"-5,53","-1,14","1,09","32,00","1,09","R$ 379,68 M","0,00%"
42,31/03/2014,"-6,36","-1,21","1,08","26,63","1,14","R$ 379,68 M","0,00%"
43,31/12/2013,"-7,20","-1,29","1,07","15,93","1,14","R$ 379,68 M","0,00%"
44,30/09/2013,"-10,78","-1,38","1,04","15,54","1,14","R$ 379,68 M","0,00%"
45,30/06/2013,"-10,76","-1,43","1,06","14,72","1,20","R$ 379,68 M","0,00%"
46,31/03/2013,"-10,38","-1,50","1,08","15,92","1,24","R$ 379,68 M","0,00%"
47,31/12/2012,"-8,83","-1,57","1,11","18,55","1,23","R$ 379,68 M","0,00%"
48,30/09/2012,"-6,69","-1,58","1,21","18,30","1,30","R$ 379,68 M","0,00%"
49,30/06/2012,"-6,56","-1,65","1,23","17,37","1,31","R$ 379,68 M","0,00%"
50,31/03/2012,"-7,22","-1,76","1,27","14,85","1,39","R$ 379,68 M","0,00%"
51,31/12/2011,"-7,81","-1,91","1,30","13,38","1,40","R$ 379,68 M","0,00%"
52,30/09/2011,"-8,94","-2,06","1,28","15,42","1,44","R$ 379,68 M","0,00%"
53,30/06/2011,"-12,58","-2,21","1,26","12,86","1,48","R$ 379,68 M","0,00%"
54,31/03/2011,"-13,11","-2,32","1,29","15,51","1,48","R$ 379,68 M","0,00%"
55,31/12/2010,"-15,13","-2,53","1,32","17,74","1,52","R$ 379,68 M","0,00%"
56,30/09/2010,"-17,70","-2,68","1,40","16,29","1,59","R$ 379,68 M","0,00%"
57,30/06/2010,"-13,33","-2,67","1,58","24,72","1,69","R$ 379,68 M","0,00%"
58,31/03/2010,"-13,12","-2,82","1,70","23,63","1,76","R$ 379,68 M","0,00%"
