,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 79,62 M","- R$ 214,40 M","R$ 221,26 M","R$ 86,47 M"
1,31/03/2024,"R$ 139,26 M","- R$ 33,30 M","R$ 55,61 M","R$ 161,57 M"
2,31/12/2023,"- R$ 124,40 M","- R$ 44,56 M","- R$ 64,28 M","- R$ 233,24 M"
3,30/09/2023,"- R$ 130,34 M","- R$ 118,46 M","R$ 421,31 M","R$ 172,51 M"
4,30/06/2023,"- R$ 226,93 M","- R$ 149,78 M","R$ 439,75 M","R$ 63,05 M"
5,31/03/2023,"- R$ 115,43 M","- R$ 169,24 M","R$ 298,87 M","R$ 14,19 M"
6,31/12/2022,"R$ 144,85 M","- R$ 160,11 M","R$ 592,68 M","R$ 577,41 M"
7,30/09/2022,"R$ 135,32 M","- R$ 166,96 M","R$ 108,93 M","R$ 77,29 M"
8,30/06/2022,"R$ 171,30 M","- R$ 136,02 M","R$ 61,46 M","R$ 96,74 M"
9,31/03/2022,"R$ 147,26 M","- R$ 120,97 M","R$ 97,92 M","R$ 124,21 M"
10,31/12/2021,"R$ 134,66 M","- R$ 116,11 M","- R$ 194,73 M","- R$ 176,19 M"
11,30/09/2021,"R$ 148,27 M","- R$ 27,75 M","- R$ 62,39 M","R$ 58,13 M"
12,30/06/2021,"R$ 120,86 M","- R$ 22,12 M","- R$ 34,50 M","R$ 64,24 M"
13,31/03/2021,"R$ 147,61 M","- R$ 10,44 M","R$ 7,41 M","R$ 144,58 M"
14,31/12/2020,"R$ 150,23 M","- R$ 10,18 M","R$ 113,95 M","R$ 254,00 M"
15,30/09/2020,"R$ 139,04 M","- R$ 7,78 M","R$ 21,16 M","R$ 152,42 M"
16,30/06/2020,"R$ 127,85 M","- R$ 8,52 M","R$ 21,25 M","R$ 140,58 M"
17,31/03/2020,"R$ 99,82 M","R$ 26,69 M","R$ 44,04 M","R$ 170,55 M"
18,31/12/2019,"R$ 85,89 M","R$ 28,24 M","- R$ 49,86 M","R$ 64,28 M"
19,30/09/2019,"- R$ 55,71 M","- R$ 51,88 M","- R$ 75,78 M","- R$ 16,50 M"
20,30/06/2019,"- R$ 64,98 M","- R$ 50,07 M","- R$ 39,02 M","R$ 12,80 M"
21,31/03/2019,"R$ 48,59 M","- R$ 3,78 M","- R$ 51,45 M","- R$ 6,65 M"
22,31/12/2018,"R$ 40,19 M","- R$ 2,92 M","- R$ 44,46 M","- R$ 7,19 M"
23,30/09/2018,"R$ 35,75 M","- R$ 1,19 M","- R$ 44,08 M","- R$ 9,51 M"
24,30/06/2018,"R$ 40,92 M","R$ 22,45 M","- R$ 72,88 M","- R$ 9,51 M"
25,31/03/2018,"R$ 24,34 M","R$ 20,51 M","- R$ 299,71 M","- R$ 254,87 M"
26,31/12/2017,"R$ 24,49 M","R$ 13,45 M","- R$ 300,80 M","- R$ 262,86 M"
27,30/09/2017,"R$ 26,38 M","R$ 10,97 M","- R$ 300,34 M","- R$ 262,99 M"
28,30/06/2017,"R$ 48,02 M","R$ 9,26 M","- R$ 344,26 M","- R$ 286,98 M"
29,31/03/2017,"R$ 80,43 M","R$ 11,52 M","- R$ 176,56 M","- R$ 84,60 M"
30,31/12/2016,"R$ 133,07 M","R$ 17,59 M","- R$ 51,99 M","R$ 98,67 M"
31,30/09/2016,"R$ 164,30 M","R$ 17,74 M","- R$ 51,99 M","R$ 130,05 M"
32,30/06/2016,"R$ 168,99 M","R$ 21,30 M","R$ 28,48 M","R$ 218,77 M"
33,31/03/2016,"R$ 193,62 M","R$ 6,22 M","R$ 9,67 M","R$ 209,51 M"
34,31/12/2015,"R$ 200,35 M","R$ 2,10 M","- R$ 164,10 M","R$ 38,35 M"
35,30/09/2015,"R$ 161,76 M","R$ 45,18 M","- R$ 175,48 M","R$ 31,46 M"
36,30/06/2015,"R$ 205,36 M","R$ 20,28 M","- R$ 181,34 M","R$ 44,31 M"
37,31/03/2015,"R$ 236,50 M","- R$ 36,56 M","R$ 5,62 M","R$ 205,56 M"
38,31/12/2014,"R$ 241,44 M","- R$ 125,30 M","R$ 51,72 M","R$ 167,86 M"
39,30/09/2014,"R$ 236,75 M","- R$ 220,96 M","R$ 99,54 M","R$ 115,32 M"
40,30/06/2014,"R$ 263,67 M","- R$ 320,29 M","R$ 103,07 M","R$ 46,45 M"
41,31/03/2014,"R$ 246,80 M","- R$ 236,13 M","- R$ 26,72 M","- R$ 16,05 M"
42,31/12/2013,"R$ 263,44 M","- R$ 258,13 M","- R$ 23,71 M","- R$ 18,40 M"
43,30/09/2013,"R$ 250,77 M","- R$ 375,60 M","- R$ 128,80 M","- R$ 253,62 M"
44,30/06/2013,"R$ 227,16 M","- R$ 348,29 M","R$ 139,16 M","R$ 18,03 M"
45,31/03/2013,"R$ 209,89 M","- R$ 419,45 M","R$ 203,81 M","- R$ 5,75 M"
46,31/12/2012,"R$ 202,32 M","- R$ 393,09 M","R$ 199,79 M","R$ 9,02 M"
47,30/09/2012,"R$ 204,39 M","- R$ 270,74 M","R$ 293,47 M","R$ 227,12 M"
48,30/06/2012,"R$ 157,47 M","- R$ 331,45 M","R$ 24,21 M","- R$ 149,78 M"
49,31/03/2012,"R$ 172,72 M","- R$ 368,94 M","R$ 222,18 M","R$ 25,96 M"
50,31/12/2011,"R$ 140,56 M","- R$ 359,41 M","R$ 247,84 M","R$ 28,99 M"
51,30/09/2011,"R$ 162,78 M","- R$ 311,00 M","R$ 215,67 M","R$ 67,45 M"
52,30/06/2011,"R$ 98,96 M","- R$ 141,74 M","R$ 234,21 M","R$ 179,04 M"
53,31/03/2011,"R$ 116,09 M","- R$ 458,41 M","R$ 344,83 M","R$ 2,50 M"
