,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,JCP,"0,070059",27/09/2024,30/09/2024,12/03/2025,56
1,Dividendo,"0,187552",02/08/2024,05/08/2024,14/08/2024,56
2,JCP,"0,062765",28/06/2024,01/07/2024,14/08/2024,56
3,JCP,"0,057765",22/03/2024,25/03/2024,14/08/2024,56
4,Dividendo,"0,297943",23/02/2024,26/02/2024,13/03/2024,56
5,JCP,"0,071941",15/12/2023,18/12/2023,13/03/2024,56
6,JCP,"0,059824",24/09/2023,25/09/2023,13/03/2024,56
7,Dividendo,"0,145202",21/07/2023,24/07/2023,16/08/2023,56
8,JCP,"0,058294",23/06/2023,26/06/2023,16/08/2023,56
9,JCP,"0,053235",17/03/2023,20/03/2023,16/08/2023,56
10,Dividendo,"0,226303",17/02/2023,22/02/2023,15/03/2023,56
11,JCP,"0,054352",16/12/2022,19/12/2022,15/03/2023,56
12,JCP,"0,044118",23/09/2022,26/09/2022,15/03/2023,56
13,Dividendo,"0,131948",22/07/2022,25/07/2022,17/08/2022,56
14,JCP,"0,043294",24/06/2022,27/06/2022,17/08/2022,56
15,JCP,"0,036764",25/03/2022,28/03/2022,17/08/2022,56
16,Dividendo,"0,205203",18/02/2022,21/02/2022,16/03/2022,56
17,JCP,"0,032000",17/12/2021,20/12/2021,16/03/2022,56
18,JCP,"0,020705",24/09/2021,27/09/2021,16/03/2022,56
19,Dividendo,"0,158175",30/07/2021,02/08/2021,11/08/2021,56
20,JCP,"0,020529",25/06/2021,28/06/2021,11/08/2021,56
21,JCP,"* 0,016911",26/03/2021,29/03/2021,11/08/2021,56
22,Dividendo,"* 0,174678",26/02/2021,01/03/2021,10/03/2021,56
23,JCP,"* 0,018441",21/12/2020,22/12/2020,10/03/2021,56
24,JCP,"* 0,017235",25/09/2020,28/09/2020,10/03/2021,56
25,Dividendo,"* 0,063400",24/07/2020,27/07/2020,12/08/2020,56
26,JCP,"* 0,019117",26/06/2020,29/06/2020,12/08/2020,56
27,Dividendo,"* 0,083880",25/02/2020,26/02/2020,11/03/2020,56
28,JCP,"* 0,019117",20/12/2019,23/12/2019,11/03/2020,56
29,JCP,"* 0,020441",20/09/2019,23/09/2019,11/03/2020,56
30,Dividendo,"* 0,044551",26/07/2019,29/07/2019,14/08/2019,56
31,JCP,"* 0,021441",28/06/2019,01/07/2019,14/08/2019,56
32,JCP,"* 0,023206",22/03/2019,25/03/2019,14/08/2019,56
33,Dividendo,"* 0,041453",22/02/2019,25/02/2019,13/03/2019,56
34,JCP,"* 0,025705",21/12/2018,26/12/2018,13/03/2019,56
35,JCP,"* 0,019647",21/09/2018,24/09/2018,13/03/2019,56
36,Dividendo,"* 0,041197",20/07/2018,23/07/2018,15/08/2018,56
37,JCP,"* 0,019588",29/06/2018,02/07/2018,15/08/2018,56
38,JCP,"* 0,026235",23/03/2018,26/03/2018,15/08/2018,56
