,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,JCP,"0,337384",14/08/2024,15/08/2024,02/10/2024,101
1,Dividendo,"0,147614",19/03/2024,20/03/2024,01/04/2024,101
2,JCP,"0,265580",15/12/2023,18/12/2023,28/12/2023,101
3,JCP,"0,169221",04/09/2023,05/09/2023,31/10/2023,101
4,JCP,"0,294479",19/12/2022,20/12/2022,29/12/2022,101
5,Dividendo,"0,709812",22/03/2022,23/03/2022,04/04/2022,101
6,JCP,"0,094793",20/12/2021,21/12/2021,30/12/2021,101
7,JCP,"0,133860",03/08/2021,04/08/2021,16/08/2021,101
8,Dividendo,"0,494362",02/03/2021,03/03/2021,02/04/2021,101
9,JCP,"0,234649",06/01/2021,07/01/2021,05/03/2021,101
10,Dividendo,"0,624283",26/02/2020,27/02/2020,03/04/2020,101
11,JCP,"0,112479",02/01/2020,03/01/2020,17/01/2020,101
12,JCP,"0,200270",30/07/2019,31/07/2019,04/10/2019,101
13,Dividendo,"0,687431",06/03/2019,07/03/2019,31/05/2019,101
14,JCP,"0,126960",02/01/2019,03/01/2019,18/01/2019,101
15,JCP,"0,182569",31/07/2018,01/08/2018,15/08/2018,101
16,Dividendo,"0,647735",06/03/2018,07/03/2018,02/04/2018,101
17,JCP,"0,131540",28/12/2017,02/01/2018,15/01/2018,101
18,JCP,"0,187238",01/08/2017,02/08/2017,15/08/2017,101
19,Dividendo,"* 0,226371",14/03/2017,15/03/2017,28/03/2017,101
20,Dividendo,"* 0,702800",12/12/2016,13/12/2016,23/12/2016,101
21,JCP,"* 0,351400",12/12/2016,13/12/2016,23/12/2016,101
22,Dividendo,"* 0,101650",02/08/2016,03/08/2016,15/08/2016,101
23,Dividendo,"* 0,068350",08/04/2016,11/04/2016,29/04/2016,101
24,JCP,"* 0,031050",18/08/2015,19/08/2015,31/08/2015,101
25,Dividendo,"* 0,020800",12/06/2015,15/06/2015,24/06/2015,101
26,Dividendo,"* 0,319900",06/11/2014,07/11/2014,21/11/2014,101
27,Dividendo,"* 0,319900",28/04/2014,29/04/2014,28/05/2014,101
28,Dividendo,"* 0,064000",09/12/2013,10/12/2013,20/12/2013,101
29,Dividendo,"* 0,058500",06/11/2013,07/11/2013,21/11/2013,101
30,Dividendo,"* 0,139650",07/08/2013,08/08/2013,21/08/2013,101
31,JCP,"* 0,051200",17/12/2012,18/12/2012,28/12/2012,101
32,Dividendo,"* 0,064000",03/08/2012,06/08/2012,17/08/2012,101
33,JCP,"* 0,032000",19/12/2011,20/12/2011,29/12/2011,101
34,JCP,"* 0,068550",19/08/2011,22/08/2011,31/08/2011,101
35,JCP,"* 0,090550",17/12/2010,20/12/2010,29/12/2010,101
36,JCP,"* 0,061800",11/08/2010,12/08/2010,30/08/2010,101
