,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,JCP,"0,270042",01/01/2024,02/01/2024,10/01/2024,222
1,JCP,"0,115732",30/11/2023,01/12/2023,12/12/2023,222
2,JCP,"0,173317",20/12/2022,21/12/2022,13/01/2023,222
3,JCP,"0,270570",19/11/2021,22/11/2021,01/12/2021,222
4,Dividendo,"0,133400",30/04/2014,02/05/2014,14/05/2014,222
5,Dividendo,"0,204500",29/04/2013,30/04/2013,10/05/2013,222
6,Dividendo,"0,139600",23/04/2012,24/04/2012,07/05/2012,222
7,Dividendo,"0,131500",29/04/2011,02/05/2011,12/05/2011,222
8,Dividendo,"0,261400",30/04/2010,03/05/2010,12/05/2010,222
9,Dividendo,"0,114800",13/04/2009,14/04/2009,27/04/2009,222
10,Dividendo,"0,080900",03/04/2008,04/04/2008,14/04/2008,222
11,JCP,"0,140800",28/12/2007,02/01/2008,14/04/2008,222
